print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;paine;goto_job;;;;;Холодное туманное утро превращает все дома Лондона в серую каменную массу. Но почта выделяется среди них, какой бы непроглядной ни была серая пелена. Я захожу на почту и достаю из кармана письмо, написанное накануне. Я внимательно перечитываю строчки: «Повысьте нам, пожалуйста, зарплату, а то она у нас такая маленькая, что нам ничего не остается, как брать взятки».<br/>Я перечитываю указанные в письме фамилии почтовых служащих, включая и мою собственную, и с чистым сердцем, отправляю письмо. Ну, вот и всё...  Но теперь мне предстоит решить.;Стоит ли мне завтра идти на работу?...;{comm}Стоит{ecomm}{say}Я честный человек и сказал всю правду. Мне нечего бояться!{said}Иди {page:arest_at_job}{3mm}{comm}Не стоит{ecomm}{say}Кажется, не все в этой стране готовы к тому, чтобы принимать истину о себе. Мои коллеги могут понять меня превратно...{said}Иди {page:to_america}; ;;;
1;common;paine;arest_at_job;;;;;Разумеется, я тщательно всё обдумываю и взвешиваю и иду на работу. Ведь я делаю правое дело, а оно должно принести благо. Я прихожу на работу, но меня встречает конвой из полисменов. Впрочем, не только меня.<br/>— Вы арестованы! — произносит старший, — и полисмены хватают и уводят всех служащих, имена которых я перечислил в своем письме. <br/>Вся наша акцизная контора попадает под суд за взяточничество. День за днем, просыпаясь в холодной, сырой тюремной камере, я понимаю, что не ко всякой идее люди готовы…;;{hypno_end};;;;
1;common;paine;to_america;;;;;Я всё тщательно взвешиваю и обдумываю и прихожу к выводу, что мой долг выполнен, и следующий шаг должно сделать правительство. Причём мне при этом присутствовать вовсе не обязательно. Вместо этого я отправляюсь в Новый Свет, и не с пустыми руками! В моём кармане рекомендательное письмо моего доброго знакомого, сэра Бенджамина Франклина, выдающегося человека. Но что же мне делать там, за океаном? ;Должен ли я устроиться на работу, используя письмо? Или следует рассказать американцам всю правду об Англии?..;{comm}Устроиться на работу{ecomm}{say}Всякому человеку нужно добывать себе на хлеб! Без еды - мыслей нет!{said}С этой мыслью иди {page:good_job}{3mm}{comm}Рассказать правду об Англии{ecomm}{say}Найти работу не так важно, как рассказать людям в Америке о том, чем и как живёт Британская метрополия.{said}Узнай, что из этого вышло, перейдя {page:exposure};;;;
1;common;paine;good_job;;;;;Что ж, грех, имея такие рекомендации, не воспользоваться ими! Тем более, что Америка привлекательная страна. Да… я устраиваюсь на работу, и меня с готовностью принимают. Подумать только — маленький скромный почтовый чиновник, не имевший достаточно средств, чтобы купить дрова для отопления, я теперь получаю приличную зарплату в Новом Свете. У меня наконец-то началась спокойная, сытая, а главное — правильная жизнь. Я даже обзавелся семьей, женившись на скромной и приличной девушке по имени Эбигейл. И теперь, просыпаясь по утрам, я понимаю, что в моей жизни все хорошо…;;{hypno_end};;;;
1;common;paine;exposure;;;;;По случаю моего прибытия и готовности рассказать правду, собирается большой митинг. Я не скрываю и популярно рассказываю всё, что могу, о правительстве Короны и о том, насколько американцам следует держаться от Британии подальше. Увы, иногда даже океан не помогает. Местные жители поддерживают меня, и более того, они готовы написать письмо-прошение от их имени, от колонистов, самому королю! Кажется, именно меня выбрали парламентёром и посредником, который должен будет отдать монарху этот документ.;Стоит ли мне отвезти письмо английскому королю? Или мне нужно воздержаться от этой авантюры?;{comm}Плыть в Англию, везти письмо королю{ecomm}{say}Люблю плавать через Атлантику! К тому же, Британия — мой дом! Я-то точно знаю, чего она стоит!{said}Плыви с письмом {page:courier}{3mm}{comm}Воздержаться от этой авантюры{ecomm}{say}Я не такой дурак, чтобы плыть обратно в Лондон, рискуя быть арестованным, как мои бывшие коллеги. Нет-нет, у меня совершенно другие планы на жизнь!{said}Ступай {page:canada};;;;
1;common;paine;canada;;;;;Взвесив всё, я прихожу к выводу, что моё изначальное решение было неверным. Тогда я кардинально меняю курс. Я плыву, нет, не в Англию, там меня ждёт арест!  Я двигаюсь на север, к берегам Канады! Мы, англичане, слишком косны в своих неизменных привычках. Никто не сможет этого переломить, что бы он ни думал про себя.{1mm}Авантюры и напрасный риск — не мой выбор. Я выбираю спокойную жизнь в стране бескрайних озер, нетронутых лесов и спокойных, обстоятельных людей… Жениться, что ли, на какой-нибудь юной деве? Хоть бы и по имени Эбигейл!;;{hypno_end};;;;
1;common;paine;courier;;;;;Итак, я гордо доставил прошение! Но я жду день, два.. Я начинаю беспокоиться. В конце концов, мне становится известно, что доставленное мной письмо не только не затронуло сердце короля, но он предпочёл проигнорировать его и уничтожить! Но как же так, что же теперь делать? Есть ли смысл вообще пытаться что-то предпринять?;Должен ли я начать смотреть на вещи здраво и не делать резких движений в этой ситуации? Или мне следует рискнуть и попробовать донести до всех, что можно жить иначе?...;{comm}Смотри на вещи здраво и без глупостей{ecomm}{say}Что ж, всегда следует сначала думать, а потом делать!{said}Получи <b>1 Синий</b> Камень и иди {page:arest_in_england~+B}{3mm}{comm}Рискнуть донести до всех мысль о возможности другой жизни!{ecomm}{say}В конце концов, правда важнее всего! Я должен объяснить всем, как важно прислушаться к голосу из Америки!{said}Рискованно, но иди {page:first_book};Если ты <b>НЕ согласен</b> с решением Гипнотизера — ты <b>можешь вслух усомниться</b> в мудрости его решения и <b>выбрать вместо него</b> второй вариант.;;;
1;common;paine;arest_in_england;;;;;Я остаюсь жить в Англии, потому что ничего не поделаешь. Не возвращаться же мне в Америку с пустыми руками?... Но кажется, моей спокойной жизни приходит конец. В один солнечный день в мою дверь стучатся полисмены. О, нет! Кажется, они до сих пор помнят дело о взятках!{1mm}Теперь, работая на каменоломнях, я имею в достатке времени, чтобы лишний раз убедиться в своей правоте! Маленький человек не может изменить в этом мире ничего — и ему остается лишь надеяться на мудрость и милость тех, кто наделен властью. Но что это? Настало новое утро и пора просыпаться и отправляться на работы!..;;{hypno_end};;;;
1;common;paine;first_book;;heap: +B, +G;$heap->add('BG');;Не бытие определяет сознание, но сознание определяет бытие! Мне больше нечего делать на островах Британской короны, и я возвращаюсь в Америку. Я донесу до людей, что каждый народ имеет полное право устроить у себя правительство, какое ему нравится. Потому что это же жизнь, согласно Здравому Смыслу! Именно так я и нарекаю свой труд — {quot}Здравый Смысл{quot}. О, да он воистину совершает переворот в сознании людей! Началась настоящая война! Неужели — это моих рук дело?..  И я задумался: правильно ли меня поняли или нет?..  ;Должен ли я поддержать людей? Или мне следует объяснить им, в чем они не правы?;{comm}Поддержи дух людей!{ecomm}{say}Идея выражается в словах, слово — вдохновляет. Если я способен к тому, чтобы вдохновлять словом, то должен так и поступить!{said}Иди {page:hard_choice}{3mm}{comm}Объяснить, в чем люди ошибаются{ecomm}{say}Нет, не правильно, всё не так! Мои слова были поняты превратно, я совсем не имел в виду {quot}начните войну прямо сейчас!{quot}{said}Иди {page:alone};;;;
1;common;paine;alone;; +B, drop heap;$sack->add('B');;Наконец-то, в тишине и спокойствии, я изложил на бумаге все мои мысли, которые касались устоев жизни американцев и англичан. Я подробно описал, что я хотел бы донести до людей, что за идеи преследовал и какой смысл вкладывал в каждое слово. Наконец, в моих руках книга, которая никого не введёт в заблуждение! Но… быть может, люди хотят быть обманутыми? Запутанными? Видят между строк то, что хотят увидеть, а не то, что я хочу им показать?... Это единственное объяснение, которое я могу предположить, того, почему им так не понравилась эта моя книга. Люди не хотят правды. Они хотят красивых слов и толчка к войне. Всего-то...;;{hypno_end};;;;
