print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm};{say}{said};—;«»;{comm}{say}{said}{page:}{ecomm}{comm}{say}{said}{page:}{ecomm}{3mm}
1;common;pastor;entry_street;;;;;...Я стою на центральной площади города. Время близится к вечеру, в окнах горит свет, а на улицах уже темно. Только снег помогает хоть как-то сориентироваться и не забрести в узкие подворотни, из которых, кажется, нет выхода вовсе, кроме выхода в саму Преисподнюю. Необычайно тихо. Тихо, холодно, темно. Воздух чист, как взгляд юной девы, поэтому мне слышно, как на другом конце города проскакала лошадь и как по соседней улице двигаются в сторону своих домов гуляки из кабака. Наконец я нахожу глазами ближайшие источники света и тепла — это церковь и рядом стоящий дом пастора. На мгновение я забываю, что на улице зима и снег, мне становится тепло и уютно, будто я сижу перед камином в гостиной. Внутри меня разливается тепло, я хочу попасть внутрь, и мне кажется, что так я обрету уверенность и покой.;Должен ли я идти в церковь, или мне следует посетить дом пастора?;{comm}Идти в церковь{ecomm}{say}Я иду в церковь, и с каждым шагом я осознаю, насколько тяжела и праведна работа служителей Бога - потому что именно тут, под сводами храма, объединяются силы против всего зла на Земле.{said}Иди {page:church}{3mm}{comm}Зайди к пастору{ecomm}{say}Я иду к пасторскому дому, ни на миг не поколебавшись в том, будет ли это вежливо. Я знаю, что пастор Паррис принимает любого добропорядочного горожанина и готов оказать ему всяческую поддержку, если этот горожанин проявляет сознательность.{said}Иди {page:home};;;;;;
1;common;pastor;church;;;;;...В церкви действительно светло и очень уютно. Горят свечи, пахнет благовониями. Пастор ведёт вечернюю службу. Я слышу его уверенный голос, его молитвы и благословения. Даже отсюда, от дверей, я вижу его лицо — он уверен в себе и в своём деле. О, он истинный пуританин, но морщины и тёмные круги под глазами выдают его усталость и долгие бессонные ночи, проведенные на коленях перед ликом Господним. Кажется, прихожане меня не заметили, а вот он — да, хоть и не отрывается от проповеди.;Следует ли мне остаться и послушать проповедь? Или мне стоит вернуться и подождать пастора в его доме?;{comm}Остаться на проповеди{ecomm}{say}Я остаюсь и занимаю свободное место, чтобы вместе со всеми вознести молитву Богу и послушать проповедь пастора Парриса.{said}Иди {page:messa}{3mm}{comm}Подождать пастора в его доме{ecomm}{say}Я иду обратно на улицу, убеждённый, что не стоит отвлекать пастора немедленно. Вместо этого я направляюсь к нему домой и жду его там.{said} Иди {page:first_main_choice};;;;;;
1;common;pastor;home;;;;;...Я стою у дома пастора. Несмотря на то, что здесь почти так же уютно, как в церкви, атмосфера тяжела, и в воздухе пахнет горем... Мне открывает пожилая и суровая женщина и с порога спрашивает: <br/>— Чего вам угодно, добрый человек?<br/>— Я хотел бы увидеть пастора Парриса. Могу ли я подождать его здесь?<br/>— Что ж... коли вы добрый прихожанин, то подождите его. Он нонче вечером в церкви проповедует, но обещал скоро вернуться. Я приготовлю вам чай.;Должен ли я спросить, чем огорчена уважаемая женщина, или смиренно промолчать и вежливо ожидать пастора?;{comm}Задать вопрос женщине{ecomm}{say}Я участливо интересуюсь, что беспокоит почтенную миссис, что за горе их постигло, и слушаю её ответ.{said}Иди {page:talk_women}{3mm}{comm}Промолчать и ждать пастора{ecomm}{say}Я благодарю уважаемую женщину и остаюсь ждать пастора, который должен с минуты на минуту придти со службы.{said}Иди {page:first_main_choice};;;;;;
1;common;pastor;messa;; +R;$sack->add('R');;...Несмотря на то, что служба уже подходит к концу, я успеваю впитать слова пастора, который говорит уверенным и проникновенным голосом. Каждое его слово — золото, поэтому все замерли в благоговейной тишине.<br/>— ...Украшать себя женам следует не золотом, не жемчугом, не плетением волос или многоценными одеждами, но добрыми делами, стыдливостью и смирением! Жена — да учится в безмолвии и покорности мужа своего... Материнство — её главенствующая цель и миссия на земле, поэтому учить женам мужей не подобает. Ибо сперва был Адам создан, а затем — Ева, из ребра его. И не Адам прельстился, а жена его прельстилась и пошла на преступление против Божьего закона. Но всякая жена спасётся от греха через чадородие, если она пребудет в вере и любви и в святости к целомудрию… — говорит пастор Паррис.<br/>Служба окончена и прихожане благодарят пастора за его проповедь, и за то, что в трудный час он помнит про их нужды. Они все хотят быть ближе к Богу и защититься от пагубного влияния дьявола. Женщины продолжают каяться и просят благословения, и пастор отпускает их с Богом и наказанием читать наизусть молитвы перед образами. Они уходят довольными. Пастор также собирается уходить, и он не против того, чтобы мы пошли вместе.;;Иди {page:first_main_choice};;;;;;
1;common;pastor;talk_women;; +R;$sack->add('R');;... Женщина всплеснула руками и начала говорить. Она говорила так яростно, так страстно, что нельзя было не проникнуться чувством глубокой солидарности к ней.<br/>—Как же мне это не огорчаться, если супротив нас, супротив пастора Парриса, его семьи и племянниц обратились нечистые силы самой Преисподней?! В нашем городе было тихо и мирно, пока злобные колдуньи не начали своё ведовство! И что же теперь — у добрых прихожан скотина рождается о двух головах! А наши девочки — Элизабет и Эбигейл! Они сколько уже страдают от этой напасти! Не зря доктор Григгс, да хранит его Господь, сказал, что ведьма — ведьма причина всем злоключениям! Ведь на что покусились — на святое, на детей покусились, бесстыжие шлюхи дьяволовы, да простит Бог мою грешную душу, — она крестится. — Ничего, ничего, не добраться им до святого нашего, не дадим мы им осквернить всё на свете, вина их очевидна же!<br/>Я слушаю, и слушаю очень внимательно. Наконец, когда женщина умолкает, я могу что-то ответить ей.<br/>— Прискорбно это слышать! Я выражаю вам и пастору моё глубочайшее сожаление! Мне искренне жаль девочек. И всех других правоверных пуританок, которые пострадали от этих паршивок ведьм! Что же будет делать пастор?<br/>— Вот увидите, благодаря его святым деяниям получат они по заслугам! И в огне будут гореть. Суд вот-вот свершится. Сперва мирской, а там и Божий суд над ними свершится!<br/>На этом наш с ней диалог сам собой завершился…;;Иди {page:first_main_choice};;;;;;
1;common;pastor;first_main_choice;;;;;...Пастор Сэмюэль Паррис, казалось, занимает собой всю прихожую. Его сухощавая фигура возвышается надо мной. У него идеальная осанка и ровные плечи. Уверенный и проницательный взгляд, а также — голос, который способен удержать заблудшую душу на границе пропасти, если та ищет спасения, или столкнуть грешника в предназначенный ему котел. В глазах Сэмюэля Парриса светится понимание, когда он смотрит на меня. Он уверен и чуть напряжён, но даже слепцу становится ясно, что это всё от того, что он держит руку на пульсе событий города и не даёт Салему пасть жертвой разобщённости и утратить веру в Господа. Он поворачивается ко мне:<br/>— Знаешь ли ты, дитя моё, что в городе Салем прямо у нас перед глазами зародилось гнездо порока и разврата, — тут он крестится. — Ведьмы творят своё колдовство не стесняясь ни церкви, ни слуг Божьих. От их дьявольских деяний пострадали мои  близкие — дочь Элизабет и племянница Эбигейл, и ещё десятки прихожан и жителей города. Но, к счастью, мы вовремя успели обнаружить источник заразы, и нынче все три ведьмы под арестом. Завтра над ними свершится справедливый суд, и они предстанут перед ликом Господа нашего, где им воздастся за злодеяния.;Следует ли мне поддержать пастора? Или я должен усомниться в справедливости его слов и заступиться за ведьм?;{comm}Поддержать пастора{ecomm}{say}Воистину, те, кто совращены дьяволом, имеют скверную душу и должны быть осуждены. Будет здорово, если мне удастся помочь моему городу и приложить руку к искоренению этой заразы.{said}Иди {page:choice_join_jury} {3mm}{comm}Усомниться и заступиться за ведьм{ecomm}{say}Прискорбно слышать о таких известиях, и я скорблю вместе с вами. Но неужели добрые женщины могли быть повинны в столь ужасных, чёрных делах? Верно ли, что Господь не защитил детей своих? Быть может, не они вовсе тому виной?{said}Ты идешь {page:escape_great_wiseman};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;;;;;
1;common;pastor;choice_join_jury;;;;;...Разговор с пастором был одним из нелёгких в моей жизни, но Сэмюэль Паррис будто видел меня насквозь, как и моё желание помочь, вникнуть в общественное дело. Поэтому после небольшой паузы, он говорит мне:<br/>—Дитя моё, я не могу не видеть, что твоё сердце открыто Господу и верно ему, хотя все мы грешны. Но твоё желание помочь осудить ведьм вызывает во мне исключительно ответные чувства. Я хотел бы твоего присутствия на суде, и не просто присутствия, а разделения долга суда — будь одним из присяжных. Ты, я уверен, справишься достойно...;Следует ли мне согласиться? Или отказаться?;{comm}Согласиться{ecomm}{say}— О, отец Сэмюэль! Это огромная честь для меня, — с жаром говорю я ему в ответ. — Это будет справедливо и почётно! Разумеется, я принимаю ваше предложение, и, уверяю, вам не придётся жалеть о своём выборе!{said}Иди {page:witches}{3mm}{comm}Отказаться{ecomm}{say}— Отец Сэмюэль, это большая честь для меня, — осторожно начинаю я свой ответ. — Но… но я не могу. Мне очень жаль, пастор, но это и правда слишком большая честь. Я не смогу взять на себя такую ответственность.{said}Иди {page:main_square_before};;;;;;
1;common;pastor;witches;; +R;$sack->add('R');;...Совсем немного остаётся времени до грядущего суда. Я и пастор Паррис отправляемся к зданию городского собрания и находящейся там же тюрьме. Нам предстоит взглянуть в глаза тем ведьмам, которые насылали проклятия на добрых прихожан Церкви, которые обрекали детей на болезни, а скот — на вымирание.<br/>Мы видим перед собой нищих, обреченных женщин, уже немолодых и некрасивых. Передо мной негритянка. Она смотрит на меня и на пастора, будто зная, что принесёт ей наш визит, но ничего не говорит нам, только шепчет что-то на непонятном языке. Передо мной сморщенная старуха, которая скрючившись едва сидит на соломе и тоже что-то повторяет про себя, устремив взгляд в одну точку. Передо мной ещё одна женщина, немного помоложе, и она-то как раз кричит и отнекивается. Но и я, и пастор — мы остаёмся молчаливы.;Следует ли мне осудить их в речи перед пастором? Или я должен пожалеть их?;{comm}Осудить{ecomm}{say}Воистину, на их лицах даже я вижу отпечатки дьявольщины. {quot}Кто усомнится в том, что эти женщины — ведьмы, тот сам отравлен их ядом!{quot} — так я говорю пастору, когда мы выходим наружу.{said}Иди {page:gw_imperio}{3mm}{comm}Пожалеть{ecomm}{say}— Они выглядят ужасно, эти женщины, — я осторожно подбираю слова. Ну, раз уж начал говорить, теперь придется решиться и закончить. — Мне жаль их. Одна из них — иностранка, другая — нищенка, а третья — несчастная вдова. Их беда в том, что мы их отвергли. Может быть, можно было бы им помочь?..{said}{1mm}Иди {page:main_choice};;;;;;
1;common;pastor;main_choice;; +B, -RR;$sack->swapSoft('RR', 'B');;Пастор Паррис смотрит на меня с удивлением и тревогой. Воздух звенит от напряжения, когда он начинает говорить, взвешенно подбирая каждое слово:<br/>— Сын мой… Не позволяй отродьям дьявола обмануть себя. Слуги Преисподней хитры и коварны. Они пойдут на любую ложь и мерзость, чтобы запутать тебя и сбить с пути. Они пойдут на все, чтобы сохранить свои жизни. Но мы все знаем правду про этих ведьм. Или я ошибся, позвав тебя участвовать в суде? Неужели позволишь ты минутной слабости помешать нашему общему делу? Неужели ты не ставишь спасение души, благо нашего города и безопасность честных горожан на первое место? Подумай внимательно, сын мой!..;Соглашусь ли я с пастором? Или же я осмелюсь возразить ему?;{comm}Согласиться{ecomm}{say}— Ваши слова, святой отец, — говорю я, — укрепили мою веру! И теперь я вижу, как чуть было не позволил ведьмам обмануть меня. Но вы можете положиться на меня, я не подведу вас!{said}Иди {page:gw_imperio} {3mm}{comm}Возразить{ecomm}{say}— Простите меня, святой отец, — говорю я, — Я хочу быть честным пуританином, и помочь моему городу. Но душа моя полна сомнений. И потому, боюсь, я не могу взять на себя такую ответственность и держать слово в суде.{said}Ты идешь {page:escape_great_wiseman};На этой странице, если ты <b>НЕ согласен</b> с решением Гипнотизера поддержать Пастора — ты <b>можешь потратить 1 Зеленый</b> Камень из мешка, чтобы проявить волю, явно сказать «нет!» и <b>выбрать другой вариант</b>.{1mm}Если же ты согласен с Пастором, а не Гипнотизером — ты <b>можешь</b> просто выбрать первый вариант.;;;;;
1;common;pastor;gw_imperio;;;;;...Пастор смотрит на меня внимательно и говорит:<br/>—Ведьмовство — это страшный грех, и каждая ведьма, которая творит его, должна быть наказана нашим обществом! — он важно поднимает палец, делает паузу, а затем продолжает речь...<br/>— Верь мне, дитя моё… — говорит мне пастор.<br/>...Но что это такое? Я не слышу его голоса. НЕ слышу его голоса! Я хочу услышать, что он говорит! Это так важно! ;Что же он говорит мне?;Выслушай Гипнотизера, если он готов сказать тебе что-то.{1mm}Теперь ты <b>точно помнишь</b>, как эти слова произносил давным-давно <b>крайне авторитетный</b> для тебя человек — и они западают тебе в душу, как важная <b>прописная истина</b> из далекого детства.{3mm}Потом иди {page:reflection};Твой персонаж НЕ запомнит эту часть сеанса (события на этой странице).<br/>Однако выслушай Гипнотизера внимательно, если он что-то тебе скажет!;;;;;
