print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;common;philip_war;entry_choice;;;;;Я вдыхаю запах железа, кожаных ремней и пороха. Я смотрю на решительные лица мужчин, окружающих меня. Я смотрю вперед, на нашего предводителя. Я…;;<b>Если ты Индеец, либо если Сеанс проходит у шамана индейцев</b>, читай текст ниже.{2mm}{say}Я охотник и воин, как и мой отец и отец моего отца. Веками мы жили на этой земле, от залива на востоке и до предгорий на западе. Мы чтили законы предков, мы слушали добрых духов и прогоняли духов злых. Земля была щедра к нам, а наши сахемы — мудры и справедливы. И вот этот день настал...{1mm}Лица мужчин серьезны и торжественны. В руках у них — короткие копья и огненные трубки пришлых. Бледнолицые называют их {quot}мушкетами{quot} — что ж, их оружие готово послужить и нам. Но сейчас не время для охоты. Здесь, в сердце нашей земли, в Монтауп, нас собрал великий сахем Метаком, наш вождь и предводитель, сын великого сахема Массасойта. И мы готовы услышать его слово!..{said}{1mm}Отправляйся {page:indian}{3mm}{3mm}<b>В остальных случаях</b> читай этот текст.{2mm}{say}Я англичанин, поселенец и колонист, белый человек в диких землях. Мои мать и отец никогда не жили здесь, готовые довольствоваться малым — но я переплыл океан в поисках лучшей доли. И эта земля оказалась богата и обильна. Однако этот день настал...{1mm}Лица мужчин серьезны и озадачены. На поясах у некоторых висят палаши, а кое-кто даже не расстается с мушкетом. На деревянном возвышении стоит мужчина в парике и дорогом костюме — лично губернатор, собственной персоной, собрал нас, глав семей c окрестных ферм и поселений, чтобы сделать важное объявление. Что ж, мы готовы услышать его слово. Но пусть оно будет не про налоги!..{said}{1mm}Отправляйся {page:colonist};Развитие этой истории будет зависеть от места проведения Сеанса и твоего персонажа!;;;;;
1;common;philip_war;indian;;;;"~consumed~$sack->drop('GG')->addRand('B','R');";— Я — Метаком! — говорит мужчина перед нами, — Сын Массасойта, великого сахема вампаноагов. Ваш вождь. Сорок зим назад мой отец впервые принимал бледнолицых на наших землях. Их племя было слабым и немногочисленным. У них не было своей земли. Не было одежд и жилища, чтобы пережить зиму. В тот день мой отец курил с их вождем трубку мира, как велит священный обычай наших предков. Мой отец был великим и мудрым человеком, и знал: мир — это то, чего желают добрые духи. Мой отец был щедрым человеком — и подарил бледнолицым часть земли наших предков. Он был добр. И он всегда держал свое слово, как и подобает мужчине и сахему.{1mm}Мы поддерживаем вождя одобрительным гулом, вспоминая великого человека. Но вместе с тем я ощущаю и невысказанное недовольство. С того дня бледнолицых стало слишком много, и они постоянно прибывают на наши земли из-за великой соленой воды на восходе, словно бегут от чего-то невыразимо ужасного. Массасойт держал свое слово, соблюдал мир и продавал всё новые земли бледнолицым — и теперь их поселения повсюду, среди полей и лесов. И многие наши соплеменники, соблазнившись ложного слова и огненной воды, приняли чуждую нам веру и теперь живут среди пришлых. Они утратили свое достоинство, они отвергли память предков и не слышат их голосов. Но мы — нет! Я понимаю, к чему клонит наш сахем. Но...;Должен ли я уйти? Или мне следует остаться с мужчинами?;{comm}Уйти{ecomm}{say}Я качаю головой. Шаман научил меня слушать и слышать. И я слышу — устами сахема говорят злые духи… Духи войны, духи, которые более всего любят звон металла, свист стрелы, воинственные крики и стоны раненых. И я не буду плясать танец войны и смерти под звуки их барабанов! Я ухожу...{said}Ступай {page:consumed~2G->R or B}{3mm}{comm}Остаться{ecomm}{say}Я поддерживаю нашего сахема, потрясая оружием, и слышу вокруг одобрительный гул. Наше племя едино и сильно!..{said}{1mm}Ты  отправляешься вперед, {page:to_war}{3mm};Это важное решение — но ты можешь принять его сам, отвергнув выбор Гипнотизера.;;;;;
1;common;philip_war;consumed;;;;;Мы продолжили жить, как жили ранее, и великая река несла нас. Однако обстоятельства оказались сильнее... Английские поселения разрастались со скоростью лесного пожара, и их силы тоже. Все новые чужаки прибывали на наши земли и теснили нас. Они говорили на своем языке, и они называли нас дикарями, а нашу веру — суеверием. Но мы не отвечали на их оскорбления и не нападали на бледнолицых. Топор войны оставался глубоко в земле, а мы, утратив решимость, забыли, как лежит копье в руке и как свистит стрела, настигая добычу или врага...{1mm}Наши дети начали носить одежду бледнолицых и слушать их шаманов, и мы стали делать как они. Пахать, сеять, одеваться и ковать металл. Это оказалось не так сложно. И тогда...{1mm}Тогда шаман сказал, что больше добрые духи не говорят с нами. И мы это чувствовали, каждый из нас. Мы боялись это услышать, но час настал. Теперь лишь злые духи смеются в ночи...;;{hypno_end};;;;;;
1;common;philip_war;to_war;;;$sack->add('R');;— Десять зим назад, — продолжает Метаком, — мой отец ушел по тропе предков, в мир добрых духов и вечной охоты. И я, и мой старший брат Вамсутта, мы оба готовы были держать его слово и блюсти мир. Однако бледнолицые показали, что не имеют чести! Они отравили моего брата! Каждое лето они требуют всё новых договоров и клятв, словно раз данное слово ничего не значит для них и увядает каждую зиму! Они обращают наших братьев и сестер в свою веру и забирают себе всё новые, лучшие земли! Так более продолжаться не может!..{1mm}Воины поддержали сахема одобрительными криками! Метакому потребовалось немало времени, чтобы успокоить разгоряченных мужчин и продолжить.{1mm}— Теперь же всё изменится! Бледнолицых много, как перелетных птиц. Но разве не умеем мы добывать зверя и птицу? И разве не слишком они задержались на наших землях? Недавно я заключил союзы с соседними племенами. И я добыл оружие чужаков, вот оно, в ваших руках. Силен ли наш дух? Сильны ли воины моего племени? — так говорил наш сахем.;Должны ли мы продолжать вооружаться и готовиться дать отпор бледнолицым? Или нам следует смириться и жить с ними в мире?;{comm}Готовиться к войне{ecomm}{say}Боевой клич был ответом нашему вождю. Мы не нарушим данного слова. Но и терпеть бесчинства чужаков на нашей земле мы не станем!.. Я оглядываюсь по сторонам и вижу вокруг себя решительные лица других воинов, моих братьев и друзей. Они готовы пойти до конца!{said}Иди {page:war_begun}{3mm}{comm}Жить в мире{ecomm}{say}— Два волка, черный и белый, живут в душе каждого человека, — так говорил наш шаман. И теперь я повторяю его слова, и воины слушают меня в задумчивости. — Побеждает же тот, которого ты кормишь. Так не будем же копить оружие бледнолицых, потому что оно создано не для охоты, но лишь для убийства! — я покидаю собрание, и многие следуют за мной.{said}Ступай с миром {page:consumed}{3mm};Это важное решение — но ты можешь принять его сам, отвергнув выбор Гипнотизера.;;;;;
1;common;philip_war;war_begun;;heap: place ALL G+R/B, drop 1;"$sack->pass($heap, '?????'); $sack->pass($heap, '*G'); $heap->drop('?')";;— Пять зим назад, — на лице нашего сахема боевая раскраска, а в руках — огненное оружие чужаков, — вы стояли здесь, на священной земле наших предков. Вы слышали мои слова, и я слышал ваше! Я говорил вам, что бледнолицым нельзя доверять, и призывал готовиться! Но даже тогда мы держали свое слово! Слово вампаноагов. Слово мужчин. Наш мир с бледнолицыми был худым, но даже его мы принимали, верные слову моего отца!.. Теперь всё изменилось. Подлые чужаки повесили троих наших братьев! Они обвиняли их в смерти Сассамона, изменника, предавшего наших предков и ушедших на службу к чужакам. Но мы знаем — это ложь! — сахем внезапно указывает на меня и говорит, — Ведь Намаскет был твоим другом, не так ли?{1mm}Я киваю, вспоминая, как еще мальчишками мы охотились в лесах на кроликов и фазанов. Что ж... Кровь на руках чужаков, и время пришло. Довольно они попирали земли наших предков! Теперь их ждет ВОЙНА!! Мужчины отвечают вождю воинственным кличем, уже много лет не звучавшим над этими землями. А затем мы переправляем женщин и детей на другой берег залива и выступаем.{1mm}Мы сжигаем ближайшие поселения бледнолицых, убиваем их мужчин и идем дальше. Бой барабанов и стук крови в ушах оглушает. Льется кровь — и мы мстим чужакам за годы унижений и лжи. Наши мервые кивают нам, зная, что мы справедливо воздадим за их смерти. Но вскоре бледнолицые опомнились и послали против нас своих воинов. Их племя велико, и у каждого есть огненная трубка. Мы были неосторожны, и чужаки застали нас врасплох, убив многих.{1mm}Но это наша земля — и мы уходим из окружения звериными тропами. Мертвые остаются позади, и взывают к отмщению. И теперь самое время решить...;Должны ли мы продолжить войну? Или время закончить ее?;{comm}Вести войну{ecomm}{say}Мы воины и мужчины. И теперь, когда мы вышли на тропу войны, ничто не остановит нас...{said}{if:$heap->getCount()}Иди {page:full_scale_war}{else}Иди {page:indian_death}{endif}{3mm}{2mm}{comm}Прекратить войну{ecomm}{say}Довольно смертей, мы должны остановиться, пока не поздно!..{said}Ступай {page:evil_spirits};Это важное решение — но ты можешь принять его сам, отвергнув выбор Гипнотизера.;;;;;
1;common;philip_war;full_scale_war;;heap: drop 1;$heap->drop('?');;Скорость и скрытность стали нашими союзниками… Лесные чащобы и болота, непроходимые для чужаков, были открыты для воинов Вампаноагов. Как духи смерти налетали мы на поселения бледнолицых, сжигая дома и убивая их мужчин. Когда же англичане послали против нас своих лучших воинов, мы заманили их в болота и показали им, что значит настоящий воин на тропе войны. Лишь немногим удалось ускользнуть на лодках, спешно присланных из самого Род-Айленда. Враги бежали, бросив своих убитых. И мы смеялись им вслед...{1mm}Но словно сами злые духи встали на сторону бледнолицых!.. Порох не кончался у их воинов, а на смену одному убитому прибывало двое новых. Мы продолжили сражаться, схлестнувшись в яростном бою с воинами их вождя, капитана Чёрча. И наш дух был силен — и многие его воины пали в болотах, а остальные отступили. Но им на помощь спешили все новые отряды, и каждый из нас понимал, что так войну не выиграть. Так что же?;Должны ли мы продолжить войну? Или время закончить ее?;{comm}Вести войну{ecomm}{say}Мы воины и мужчины. И теперь, когда мы вышли на тропу войны, ничто не остановит нас...{said}{if:$heap->getCount()}Иди {page:escape}{else}Иди {page:indian_death}{endif}{3mm}{2mm}{comm}Прекратить войну{ecomm}{say}Довольно смертей, мы показали силу своего племени и заставили чужаков уважать наше слово и держать свое. Теперь можно уже вступить в переговоры и выкурить новую трубку мира.{said}Ступай {page:evil_spirits};Это важное решение — но ты можешь принять его сам, отвергнув выбор Гипнотизера.;;;;;
1;common;philip_war;escape;;heap: drop 1;$heap->drop('?');;Вождь ведет нас прочь с земли наших предков, на территории Наррагансетов. Они были нашими врагами — теперь же готовы присоединиться к нам. Другие же — ниантики южного Род-Айленда, мохегане и пекоты Коннектикута — присоединились к чужакам, обманутые их злыми и лживыми словами. Мы продолжили войну, и сама весть о нашем приближении заставляла бледнолицых покидать свои поселения и бежать...{1mm}Однако приближалась зима, наши припасы таяли на глазах, а крупные силы чужаков ворвались на территорию наррагансетов, сжигая поселения, убивая мужчин и обращая в рабство женщин и детей. Мы были далеко на западе, направляясь на зимовку, когда гонцы принесли весть о падении нашего лагеря на Больших Болотах. Не сумев сломить сопротивление наших союзников, бледнолицые подожгли укрепления, уничтожив защитников и припасы.{1mm}Подлые мохоки, вступив в сговор с чужаками, напали на наш лагерь. Могучее племя ирокезов, ослепленное обещаниями бледнолицых — гонит нас со своих земель. Кажется, что силы на исходе... Но духи убитых взывают к отмщению. Закончить войну и просить о милости — значит презреть память предков и оскорбить ушедших по тропе павших! Так что же?..;Должны ли мы продолжить войну? Или время закончить ее?;{comm}Вести войну{ecomm}{say}Наш дух силен — и духи предков с нами. Мы не предадим нашу землю и пойдем до конца!{said}{if:$heap->getCount()}Иди {page:metacom_dead}{else}Иди {page:indian_death}{endif}{3mm}{2mm}{comm}Прекратить войну{ecomm}{say}Довольно смертей! Бледнолицые получили урок и потеряли множество воинов и своих поселений! Это должно было научить их уважению! Время воевать прошло, пора договариваться о мире. Даже если это будет означать предательство нашего сахема...{said}Ступай {page:evil_spirits};Это важное решение — но ты можешь принять его сам, отвергнув выбор Гипнотизера.;;;;;
1;common;philip_war;metacom_dead;;heap: drop 1;$heap->drop('?');;Война не дает нам вернуться в охотничьи угодья, и дичи в лесах почти не осталось… Наши силы тают, а воины гибнут один за другим. У проклятых же чужаков словно и не кончаются порох, пища и воины. Они теснят малые племена, сжигают стойбица и продают в рабство всех, захваченных в плен. Ослепленные злобой и жестокостью, они выпустили злых духов, и те охотно помогают им. Теперь я понимаю, что не может быть и речи о мире с чужаками. Я вижу всю их злобу и алчность. Вижу, как черны их сердца и как бесчестны их воины.{1mm}Мы возвращаемся в страну Покассет, на земли наших предков, яростно атакуя малые отряды и с боем уходя от бесконечных подкреплений врага. Наши союзники покинули нас — теперь каждое племя думает лишь о своем выживании. Но Метаком призывает продолжать сражаться! Мы отводим глаза, зная что случилось с женой и детьми нашего вождя, попавшими в плен к бледнолицым...{1mm}В ту ночь сахем проявил слабость и не выставил часовых. Переход был трудным, и родной Монтауп на реке Саконнет казался безопасным и надежным местом... Англичане напали внезапно. Грохот выстрелов и дым мгновенно окутали лагерь! Метаком приказывает прорываться к болоту, надеясь уйти и увести остатки воинов за собой. И падает, сраженный Джоном Альдерманом, индейцем-предателем, давно уже сражавшимся против своих братьев вместе с чужаками...{1mm}Группа бледнолицых оказывается совсем близко от нас, и я разношу одному из них голову выстрелом из мушкета, и сбиваю второго с ног ударом плеча, как учил меня отец. Короткий рывок — и мы выходим из окружения и прячемся в глухой чаще... Наш вождь мертв — и мы, остатки воинов некогда великого племени смотрим друг на друга.;Должны ли мы продолжить войну? Или время закончить ее?;{comm}Вести войну{ecomm}{say}Мы не предадим вождя и память предков. Мы будем убивать захватчиков, пока есть силы!..{said}{if:$heap->getCount()}Иди {page:defeat}{else}Иди {page:indian_death}{endif}{3mm}{2mm}{comm}Прекратить войну{ecomm}{say}Война закончена. Мы не можем прятаться в лесах и болотах вечно. Нам придется сдаться...{said}Ступай {page:evil_spirits};Это важное решение — но ты можешь принять его сам, отвергнув выбор Гипнотизера.;;;;;
1;common;philip_war;evil_spirits;;heap: drop all;;;Война — это великая соленая вода. Вода слез и скорби. Наши потери оказались слишком велики, и теперь, когда мы сложили оружие и пошли на мир, англичане продолжили безнаказанно угнетать и истреблять наших людей. Лето за летом они забирали всё новые земли. Зима за зимой, наше племя сокращалось и теряло людей. Наш дух, дух воинов и охотников, был сломлен.{1mm}Мы отпускаем наших воинов на тропу павших. Мы провожаем их, но не можем оплакать как подобает, ибо мы повержены. Злые духи ликуют и пируют на пепелищах наших домов. Они смеются, не зная, что и им осталось недолго... Скоро не останется никого, кто может слышать их смех, а потому и им верная дорога в забвение…;;Война унесла жизни всех, кто был тебе дорог, и ты был недостаточно решителен, чтобы спасти их…{3mm}{hypno_end};;;;;;
1;common;philip_war;indian_death;; +1G or +1R;$sack->addRand('R','G');;Война. Война никогда не меняется…{1mm}Война — это череда потерь и смертей. Война — то место, где лишь твоя решимость может принести победу. Война — удел настоящих воинов и мужчин. Но если все твои братья и друзья мертвы… Кто встанет рядом с тобой? Кто поразит копьем врага, готового пустить в тебя стрелу? Кто пронзит чужака, готового ударить тебе в спину? С кем ты встанешь спина к спине?{1mm}— Наши семьи были велики, — думаю я, сплевыя кровь, — И наши воины были сильны. Нам не хватило лишь самую малость... Но все же... Все же... я остался со своим народом до конца...;;{hypno_end};;;;;;
