print;athlas;story;page;image;label;rules;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;sandbox;blue_entry;;;;<div class=epigraph>Груды каменьев и блоков разбитых -<br>Вот вавилонской гордыни итог{semi}<br>И ядовитая плесень на плитах<br>Тлеет смертельным огнём вдоль дорог.<br><br>Грязные русла мосты перекрыли,<br>Нить паутины связала химер{semi}<br>Бурный поток разложившейся гнили<br>Льётся из хаоса липких пещер.</div>{3mm}Я припадаю к одному из витиеватых щупалец улья, и жукосок разливается по телу. Возможно, в последний раз я чувствую его. Улей останется здесь, когда все мы уйдём, он не может жить в движении, потому что движение означает и время. Фрнф’R’Кот всегда будет везде и нигде, и не со мной, потому что я отправляюсь в путь к ничтожному где-то, обещаясь забыть необъятность и холод моего мира.{3mm}Я облизываю губы, усы, лицо, слизываю капельки жукосока с подшёрстка. Я поднимаю глаза к третьему горизонту и начинаю просчитывать маршрут. Когда все девять фигур складываются в нужный фрактал, я привычным движением позвоночника отправляю импульс пространству, и оно раскрывается в фантасмагорическую картину моего пути.{3mm}Как же красиво! Ньярли нигде нет, хотя наши пути всегда пересекались. Фиолетовый свет заливает мне глаза, переливаясь оттенками ультрамарина и индиго, наконец, приобретает цвет моих глаз. Я могу бежать и знаю, что осколки будут ранить конечности, а отравленный воздух портала непременно проберётся хотя бы в первое лёгкое. {3mm}Мне странно покидать мир совершенного одиночества, хотя он и испорчен зловонием чужих мыслей.;;Иди {page:blue_2};;;;;;
1;unknown;sandbox;blue_2;;;;<div class=epigraph>Блеск и упадок, страданья и крики,<br>Ширясь, безумие чертит круги,<br>Толпы молящихся странны и дики,<br>Мерзостный запах туманит мозги.<br><br>Тощие кошки сбиваются в орды<br>В тёмных аллеях при свете луны{semi}<br>Адской гримасой кривятся их морды<br>И завывания всюду слышны.</div>{3mm}На меня наваливается груз отвратительных размышлений. Кто-то постоянно транслировал этот сигнал, пока он не разрушил само основание наших конструктов и не проник в Мёд Фрнф’R’Кот. Откуда-то подступает вода, и острия пути становятся куда более непроходимыми, впиваясь в подушечки стоп. А ведь я пока только переношу тело, что будет с разумом, если даже проекция так мучительно медленна?!{3mm}Когда всё стало разрушаться, первым, что ощущалось, была потеря контроля. Мысль и действие перестали быть одним. Я больше не мог оказываться там же, где был мой разум.{3mm}Я сосредотачиваюсь на перемещении, словно тону в киселе, каждая фракция которого остра, как бритва. На меня смотрят тысячи глаз, пронизывая холодом тело. Каждый шаг нужно отдельно просчитывать, чтобы не оступиться. Цифра за цифрой. До вершины ещё далеко. Я останавливаюсь, чтобы ещё раз облизаться. Если шестое чувство не обманывает, то вскоре я окажусь на холме.;;Иди {page:blue_3};;;;;;
1;unknown;sandbox;blue_3;;;;<div class=epigraph>Улицы в зарослях дикой крапивы,<br>Мыши летучие носятся в них{semi}<br>Как отступающий враг молчаливы<br>Ржавые цепи мостов разводных.{3mm}Башни согнулись от лунного света,<br>Ямы залиты болотной водой{semi}<br>Ветер завоет, и вместо ответа -<br>Дьявольских кошек пронзительный вой.</div>{3mm}Восемь из пятнадцати горизонтов заполнены мерзким жёлтым сиянием. Я стою на пике понимания, и теперь втягиваю в себя личность, примеряя её в тело. Третий горизонт пока чист, я не опаздываю. Но Ньярли мог бы быть побыстрее. Кто бы мог подумать. Мой мохнатый друг оказался жизнеспособнее многих в своей убогой простоте, когда настал кризис. Его воображение вдруг проснулось и он стал конструировать для нас - НАС! Скотина, он всегда был предателем Истины! - новые горизонты и эти тягучие, многосекундные порталы, делящие нас на части.{3mm}Я раньше не рассматривал вариант, что Ньярли просто так шёл к тому, чтобы стать властелином этого умирающего мира. Вдруг жёлтые вспышки гнилостной обыденности - всего лишь приём, чтобы мы покинули свои Столпы?{3mm}Кажется, всё собрано. Чешусь.;;Иди {page:blue_4};;;;;;
1;unknown;sandbox;blue_4;;;;Он был плоский, как иные миры и мысли, огромный, как гора, и стоял на самом пике, балансируя на точке опоры. Корпус был собран из Столпов, переливался космическим синим цветом и отражал бирюзовые блики подступающего бурного океана. Начинался шторм, призванный жрецом R’Китти, чтобы смыть скверну наших пространств. {3mm}Вместо того чтобы принять которую-нибудь из форм прежних строений, Монитор презрел любое с ними сходство, и даже можно сказать, что он совершенно им противоположен во всех отношениях. Судно, которое будет летать по воздуху, вероятно, не удалится настолько от общей идеи, как подводный монитор, прорезающий или ныряющий в наступающих волнах. Он уничтожает даже различие между силою 100-переменного Столпа Разума и Великим Разумом R’Кот. {3mm}Одним словом, монитором обозначается новая эра в истории миров. Я бегу внутрь;;Сеанс окончен, ты ПРОСЫПАЕШЬСЯ;;;;;;
1;unknown;sandbox;red_entry;;;;<div class=epigraph>Тот лес как в сказке был дремуч и страшен,<br>Но как-то обитатели его<br>Взошли на небо по ступеням башен<br>И в небе сотворили волшебство.</div>{3mm}Пробуждение мучительно. Мы медленно приоткрываем щель между складками моего мяса, чтобы взглянуть на болотистую местность. Мы ночевали на терракотовых камнях, нежно щекотавших нас, когда мы дремали. Мы смотрели сны о бурлящей влажной крови и тысячах тысяч алых цветов на холмах грёз. С бульканьем опускаем мясистый бок.{3mm}Мы должны проползти чуть дальше, туда, где нас не будет трогать болото. После того, как мы выросли, мы совсем не хотели никуда ползти. Дну снова щекотно. Мы разворачиваемся и пробуем скататься, чтобы отжать самих себя. Прищемляем глаз, но теперь мы снова готовы к сушке.{3mm}На этот раз мы пристраиваемся в расщелине, развернувшись поудобнее.;;Иди {page:red_2};;;;;;
1;unknown;sandbox;red_2;;;;<div class=epigraph>Прекрасный город — в бесподобном стиле,<br>Какого мы не видели вовек:<br>Взлетали ввысь величественно шпили<br>И купола сверкали, словно снег.{3mm}А в залах пели трубы и валторны -<br>Разгул, веселье, пьянка и гульба.<br>Никто ещё не знал, что смерти чёрной<br>Тот город обрекла уже судьба.</div>{3mm}Мы ждём, когда снова заснём и когда нам будет петь песни наш жёлтый брат. Мы любим спать, это умеривает нашу кислотность и едкость. Мы стали лучше. Больше не плюёмся и не фыркаем, не издаём резких звуков, только вздыхаем легко-легко - ааах! - как пух или лёгкий ветерок! Наша жизнь в этих краях куда лучше, чем в железе и камне города, хотя кто-то из нас грезит и о нём. Шпили, башни, просторные залы, многоярусные переходы, по которым было так трудно взбираться и ползти.{3mm}Нас носили на руках! Нас поглаживали! Мы были излюбленным местом любви и печали, страха и гнева. Мы были уважаемы, да! Нас умерщвляли, ещё в детстве отрывая от корней, высушивали. Редкие из нас ожили после этого и ушли в эти прекрасные рубиновые дебри.{3mm}Теперь мы осторожны и сливаемся с землёй. Вот те полоски на возвышенности - это наши братья. Мы хорошо прячемся.;;Иди {page:red_3};;;;;;
1;unknown;sandbox;red_3;;;;<div class=epigraph>Однажды, опьянён вином столовым,<br>Поэт стихи фривольные родил<br>И в них неосторожным грубым словом<br>Старинное проклятье разбудил.{3mm}Вот так из-за какого-то поэта<br>Чудесный город навсегда исчез,<br>И в сумерках дрожащего рассвета<br>Стоял, как прежде, страшный тёмный лес.</div>{3mm}Снова нежданное пробуждение. Мы недовольны, мы прожглись кислотой от собственного раздражения. Болота наступают, нашу расщелинку залило, и мы совсем пропитались вонью и слякотью. Мы карабкаемся вверх по склону. Нам тяжело из-за воды. Перекатываемся, свиваясь жгутом, это помогает отжаться.{3mm}Мы плавно движемся в сторону заката. Садится Кармина, до заката Крайолы ещё есть время, но сегодня мы уже точно не просохнем. Мы сползаемся вместе с теми, кого тоже залило, и обмениваемся импульсами советов. Мы должны возвращаться. Город стоит высоко в горах, там нет болот.{3mm}Медленно вереницей ползём вверх.;;Иди {page:red_4};;;;;;
1;unknown;sandbox;red_4;;;;Город пуст. Улицы и лестницы пусты. Мы недоумеваем, мы насторожены. Пока обе звезды не восходят, лежим друг на друге. Сушимся в рассветных лучах. Время идёт, мы расползаемся по городу, но никого не находим. Куда все ушли? Мы собираемся на стенах и приподнимаем края. В нас льётся свет, мы видим множество лёгких парусников и каравелл в гавани. Алые паруса на ветру. Может быть, все там? Может быть, мы тоже должны быть там, чтобы вместе вырваться из этой блокады?!..{3mm}Торопливо и неаккуратно сползаем по ступеням вниз и двигаемся к гавани.;;Сеанс окончен, ты ПРОСЫПАЕШЬСЯ;;;;;;
1;unknown;sandbox;green_entry;;;;<div class=epigraph>В чёрном небе наблюдая<br>Белых точек череду,<br>Я заметил вдруг у края<br>Золотистую звезду{semi}<br>И с тех пор живу без сна я -<br>Всё её прихода жду.{3mm}Мчался по волнам эфира<br>Луч звезды — и прям, и горд,<br>По всему пространству мира<br>Рай блаженства был простёрт,<br>Разносила звонко лира<br>По Вселенной свой аккорд.</div>{3mm}Смерть от золота была предсказана ещё в конце прошлой эры, воином-мудрецом, чьё причудливое имя не произносится с тех пор, как мы увидели, что желтая звезда приближается к нам. Сейчас её свет отражается в породах, преломляется через кожу и застилает глаза. Час близок.{3mm}Я танцую в лабиринте, готовясь встретить охотников, моё тело напряжено и чувства обострены. Я слеп, мои глаза срослись друг с другом, но даже через кожу опущенных век меня слепит сияние, перемежаясь белыми точками - по ним я определяю тех, кто идёт по моему следу. Неспящие, верные своему слову. Никто из них не дрогнет.{3mm}Я наношу удар первым и проворачиваю когти в плоти охотника. Добравшись до сердца, я вырываю его из-под шипастых рёбер зверя и кладу в позвоночную сумку.;;Иди {page:green_2};;;;;;
1;unknown;sandbox;green_2;;;;<div class=epigraph>И казалось мне, что где-то<br>Жизнь свободна и легка,<br>Бесконечно длится лето,<br>Словно сон плывут века,<br>Льётся музыка рассвета<br>От волшебного смычка.{3mm}Там, я мнил — любви жилище,<br>Пыл вражды давно угас{semi}<br>Там не думают о пище<br>И улыбки — без гримас{semi}<br>У людей там мысли чище<br>И добрее, чем у нас.{3mm}Так я думал — и мозги мне<br>Застилал багровый бред,<br>Будто в серой дымке зимней<br>Тихо таял солнца свет{semi}<br>И я слышал в прежнем гимне<br>Чуждый тон грядущих бед.</div>{3mm}Они умирают один за другим, пока я двигаюсь к центру лабиринта. Танец становится быстрее. Всё больше внутренностей в моём мешке. Слизь стекает до самых ног, по спине. Её запах будоражит чувства ещё больше. В ожидании очередного соперника я переступаю с ноги на ногу, чуть пружиня на мягкой поверхности пола. Сегодня многие должны умереть, чтобы единицы спаслись. {3mm}В воздухе растекается луч, превращаясь в звук, распадаясь в моих ушах в привычном зелёном спектре. Я делаю несколько движений, раскачиваюсь из стороны в сторону, готовясь к прыжку. Это то время танца, когда пора достать лезвия, а руки омыть. Я погружаю руки, одну за другой, в одну из поверхностей и кружусь на месте, продолжая пружинить на полу.{3mm}Из толщи лабиринта раздаётся пронзительный вой. Время для последней битвы.;;Иди {page:green_3};;;;;;
