print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;ulysses;entry;;;;;Над полем снова раздался грохот пушек — английская артиллерия пошла в атаку. Многие из нашего полка полегли в этой битве, и кто знает, скольких еще заберет с собой Костлявая? Наше знамя несет смелый парнишка! У него не действует одна рука, но он смело идет в бой!<br>БАХ! Знаменосец убит, и знамя вот-вот упадет!  Упавшее знамя для солдат означает поражение, вне зависимости от того, каковы на самом деле силы противника... Что же мне делать? ;Подхватить знамя и повести солдат? Или пригнуться, чтобы в меня не попала пуля?;{comm}Подхватить знамя!{ecomm}{say}Знамя должно гордо реять во что бы то ни стало! От этого зависит боевой дух нашего полка, а может даже исход всей битвы!{said}Подхватывай знамя и отправляйся {page:take_flag}{3mm}{comm}Пригнуться от пули{ecomm}{say}Я пригнулся и прикрыл голову от просвистевшей в дюйме от моей макушки пули! Кажется, весь воздух наполнен летящим на нас раскаленным свинцом. Я потянулся к знамени, но не успел его подхватить, и оно рухнуло в грязь, прямо под ноги солдатам... Теперь мы уже не отступаем. Мы бежим, не глядя себе под ноги, а нас преследует грохот выстрелов и ликующие крики проклятых англичан!<br>Говорят, что проигрыш битвы вовсе не означает проигрыш войны. Но сегодня было не так. Мы проиграли всё — и сражение, и войну, и нашу свободу. И когда-то храбрым солдатам, моим верным друзьям, да и мне тоже, оставалось только с честью смотреть вперед, когда англичане накидывали на наши шеи веревки...{said}{3mm}{hypno_end};;;;
1;common;ulysses;take_flag;;;;attack#for_country~$heap->add('R') ~attack#debt~$heap->add('G') ~ attack#career ~ $heap->add('B');Я хватаюсь за древко знамени и не даю ему упасть. Оно, обагренное кровью наших солдат, продолжает трепетать на ветру и звать за собой. ВПЕРЕ-Е-Е-Е-Е-Е-ЕД, В АТАКУ-У-У-У-У! И солдаты побежали за мной! Мы продолжаем бой, мы наступаем! Время будто замедлилось... И в пылу бега я задумываюсь — а что же я делаю на этой беспощадной войне?; Отстаиваю интересы моей страны и нации? Исполняю свой мужской долг? Или пользуюсь возможностью сделать отличную карьеру?;{comm}Отстаиваю интересы страны и нации{ecomm}{say}Именно так! За нами наша страна и наша нация, мы в едином порыве защищаем ее. Мы сражаемся за нашу свободу, за будущее наших детей и внуков! И если не мы, то кто очистит землю Америки от английских угнетателей, пьющих нашу кровь? Каждый выстрел, каждый труп в красном мундире — это верный шаг к нашей свободе! УРА-А-А-А! ВПЕРЕ-Е-Е-ЕД, В АТАКУ!{said}{1mm}Беги в атаку {page:attack#for_country}{3mm}{comm}Исполняю свой мужской долг{ecomm}{say}Кем бы я был, если бы не пошел на войну? Нет уж, пусть за моими спинами остаются старики, калеки, женщины и дети. А любой мужчина, способный держать оружие в руках, должен воевать! Именно он должен встречать опасность лицом к лицу, именно он должен проливать кровь врагов, именно он должен ступать на новые захваченные земли. Я — мужчина, а значит дело мое — Война!{said}{1mm}Вперед, к победе, {page:attack#debt}{3mm}{comm}Делаю карьеру{ecomm}{say}Все эти красивые слова про долг, честь, свободу... пф, это всего лишь слова! Война — это время возможностей. Шанс перевернуть свою жизнь и обеспечить себе известность, славу, безбедное существование. Я здесь именно за этим. Высшее воинское звание — это уважение, это быстрый и надежный путь наверх. Вперед, к славе и почестям!{said}{1mm}Продолжай свой путь к успеху {page:attack#career};Начиная с этой страницы и до конца истории ты ВСЕГДА можешь отвергнуть выбор гипнотизера и сделать свой, сбросив за это из своего мешка 1 Камень (кроме Черного) после окончания истории (не считая тех, которые будут потеряны еще).;;;
1;common;ulysses;attack;;;;;Я держу знамя в одной руке и мушкет в другой и криком подбадриваю своих солдат. Они уже готовы идти за мной и наплевать на пули. Нас знамя укрывает будто щитом! Мы наступаем! Все за мной, вперёд! Мы прорвались, я знал, мы это сможем! Но англичане повсюду, они готовы вот-вот взять нас в кольцо, и уже открыли огонь. Что же делать? ;Продолжать наступление, несмотря ни на что? Послать вперед солдат и остаться в арьергарде? Или укрыться за телегами и бочками?;{comm}Продолжать наступление{ecomm}{say}Если ты храбрый, то оставайся таким до конца! Не отступать и не сдаваться! Мы знали, на что мы идем, знали, что такой момент рано или поздно наступит. Поэтому сейчас — только вперед, ни шагу назад, и вместе посмеемся над смертью! Настало время испытать силу человеческого духа!{said}{1mm}Отправляйся {page:continue_attack}{3mm}{comm}Послать вперед солдат{ecomm}{say}Англичане палят и не думают останавливаться, а значит, надо что-то делать... Но солдаты идут за мной и ждут приказов! И я посылаю их вперед, в самое пекло, оставаясь позади, словно матерый волк, вожак стаи, готовый в нужный момент подать команду. Вперед, парни, в атаку!{said}{1mm}Отправляйся  {page:cannon_fodder}{3mm}{comm}В укрытие!{ecomm}{say}Вперед не пробиться, нас окружили. Отступать мы не имеем права, но и атаковать сейчас — чистое самоубийство. Не это сейчас нужно нашей стране. Но на поле есть телеги и бочки, мы можем залечь здесь, укрыться на местности, и тогда уже из-под защиты открыть огонь. Вперед, братцы, в укрытие!{said}Отправляйся {page:cover};;;;
1;common;ulysses;continue_attack;;;$sack->pass($heap, '*R');;— УРА-А-А-А!, — вторили мне солдаты, и их голоса громом прокатились над равниной, пугая англичан не хуже артиллерийских залпов! Мы атакуем за свою свободу, и сам черт нам не брат, настолько у меня и моих солдат исчез страх. Мир сжался до звуков выстрелов, и теперь остается лишь молить Бога о том, чтобы наш план сработал, чтобы мы смогли сломить врага своей самоотверженной атакой. Теперь осталось лишь выяснить, сработал ли мой план.;;{if:$heap->getRed()>=3}{say}Наш храбрый и самоотверженный порыв заставил дрогнуть врага и внес сумятицу и хаос в его ряды!{said}Отправляйся {page:first_success}{else}{say}Увы, либо я переоценил сплоченность и ярость своих ребят, либо недооценил твердость англичан. Война - это не детский спор, где побеждает тот, кто перекричит соперника. План был хорош. Да нет, какой там — он был практически идеален! Мы могли бы отбить английских псов еще дальше, можно было вообще перевернуть ход войны... Но история не терпит сослагательных наклонений, а еще она не терпит трусов. Увы, я обернулся на крик своего рядового и не заметил, как пуля, выпущенная противником, нашла свою цель — мою бренную голову. Мое тело — одно из тысяч, которые останутся на этом поле навеки... {said}{hypno_end}{endif};;;;
1;common;ulysses;cannon_fodder;;;$sack->pass($heap, '*G');;Наступает переломный момент в сражении, солдаты готовы идти за мной, но мои приказы вдохновляют не всех. Еще бы, кто-то наверняка испугался заглянуть в лицо смерти! Но я верю в их храбрость и умение делать то, что говорят. Приказы существуют для того, чтобы их выполнять, а не обсуждать!  Теперь все зависит от того, все ли мои приказы были выполнены точно.;;{if:$heap->getGreen()>=3}{say}Солдаты бросились в атаку, не жалея себя, и англичане дрогнули перед этим мощным напором.{said}Отправляйся {page:first_success}{else}{say}Увы, в этом мире не все идет по заранее разработанным планам — некоторые из солдат заколебались перед лицом верной смерти, противник почувствовал слабину и обрушил на нас всю мощь своего оружия. План-то был хорош. Да нет, какой там — он был практически идеален! Мы могли бы отбить английских псов еще дальше, можно было вообще перевернуть ход войны... Но история не терпит сослагательных наклонений, а еще она не терпит трусов. Увы, я обернулся на крик своего рядового и не заметил, как пуля, выпущенная противником, нашла свою цель — мою бренную голову. Мое тело — одно из тысяч, которые останутся на этом поле навеки... {said}{hypno_end}{endif};;;;
1;common;ulysses;cover;;;$sack->pass($heap, '*B');;— В укрытие! — кричу я и сам подаю пример солдатам, ныряя за ближайшую бочку. Кажется, никого не задело. Мы все на взводе, вокруг продолжается пальба, и грохот не смолкает. Но и мы теперь сможем отстреливаться! У нас по отношению к противнику выгодная позиция...<br>— Огонь!<br>Теперь оставалось лишь полагаться на стойкость и выдержку моих верных братьев по оружию...;;{if:$heap->getBlue()>=3}{say}Мой расчет оказался верен, а выбранная позиция позволяла долго держаться против превосходящих сил врага. Не без потерь с нашей стороны, но все же сохранив большую часть бойцов, я дождался подкрепления.{said}Отправляйся {page:first_success}{else}{say}Увы, в этом мире не все идет по заранее разработанным планам. Война — не школьная задача по геометрии, где из известных данных всегда получается один и тот же результат. На войне всегда есть какие-то неучтенные мелочи, из которых складывается большое поражение. План-то был хорош. Да нет, какой там — он был практически идеален! Мы могли бы отбить английских псов еще дальше, можно было вообще перевернуть ход войны... Но история не терпит сослагательных наклонений, а еще она не терпит трусов. Увы, я обернулся на крик своего рядового и не заметил, как пуля, выпущенная противником, нашла свою цель — мою бренную голову. Мое тело — одно из тысяч, которые останутся на этом поле навеки... {said}{hypno_end}{endif};;;;
1;common;ulysses;first_success;;;;;Вся моя жизнь пронеслась перед глазами в том бою, и сейчас, когда я сижу в лагере и отдыхаю после победного сражения, мои руки все еще трясутся, глаза застит дым костра, но мне кажется, что это пороховой дым от залпов пушек... А в ушах стоит грохот. Но нет, битва позади! Многие, конечно, полегли, но слаженные действия и грамотное руководство дали нам возможность победить. Хотя, быть может, причина победы  — это героизм, который вырвался наружу... Но кто же настоящий герой? ;Может, простые парни у костра? Или те солдаты, которые стоят сейчас на посту? Или павшие в бою? Или ответ на этот вопрос лучше узнать у пастора?;{comm}Солдаты на посту{ecomm}{say}Вот он — пример истинного героизма и мужества! Пройдя тяжелейший кровопролитный бой, они еще вызвались добровольцами в караул и неустанно бдят, зорко вглядываясь в ночную тьму.{said}Иди поговори с ними {page:watchmen}{3mm}{comm}Простые парни у костра{ecomm}{say}Любой командир — ничто без солдат. Именно их руками, их решительностью, яростью, а иногда и сметливым умом куется сталь победы!{said}Подойди к ним {page:simple_guys}{3mm}{comm}Погибшие в бою{ecomm}{say}Они не дрогнули, когда шли в первых рядах. Они приняли на себя первые, самые жесткие и решительные удары англичан. Даже после смерти они прикрывали своих живых товарищей от вражеских пуль. Вечная слава павшим героям!{said}Ступай чествовать их  {page:slain}{3mm}{comm}Спросить у пастора{ecomm}{say}Война туманит разум, заставляет действовать животными инстинктами, лишь бы выжить. Даже сейчас, после боя, я инстинктивно хватаюсь за оружие при каждом громком звуке. Пастор не шел в бой и не чувствовал всего этого — он сейчас смиренно отпевает павших, и наших, и англичан. Ему хватит объективности сказать точнее.{said}Иди к пастору {page:pastor};;;;
1;common;ulysses;watchmen;;;;;Я подхожу к ближайшим часовым, достаю табаку и раскуриваю вместе с ними.<br>— Вы настоящие герои, парни. После битвы — и на посту. Наша страна будет гордиться такими как вы!<br>— Да брось ты, герои... Это наш долг! Но за табак и признание благодарствуем! <br>— Шел бы ты спать... Завтра будет тяжелый день... — говорит мне старший часовой. И я, послушавшись его, возвращаюсь в свою палатку. Я даже не замечаю, как засыпаю, но зато и сплю — спокойным, умиротворенным сном, который охраняют герои Америки.;;Иди {page:washington};;;;
1;common;ulysses;simple_guys;;;;;Я поднимаюсь и иду к ближайшему костру. Давно стемнело, и разговоры велись шепотом. Кто-то протянул мне флягу, и мы выпили за нашу победу.<br>— Вы герои, парни, — утверждаю я. — Вы не дрогнули перед лицом врага, не дали пробиться англичанам. Пока у Америки есть такие сыны, она будет свободной!<br>Парни вяло отнекиваются, мол, не они одни такие... Вот только сколько же парней сегодня полегло — и не счесть. Они отдали свои жизни за нашу победу. Не в этом ли суть подлинного героя? В задумчивом настроении я ухожу спать... ;;Иди  {page:prothesilaus};;;;
1;common;ulysses;slain;;;;;Тела еще дополняют вечерний пейзаж лагеря, как ни трудятся санитары. А ведь кого-то из павших я знал лично, пил не далее как с неделю назад... За победу и за будущее. А кого-то даже по имени не помнил, как звать. Но каждый из них — настоящий герой, который не испугался отдать жизнь за свою страну, за свой народ и за будущее своих потомков! Вот к чему должен стремиться настоящий мужчина!;;Почтив память павших, направляйся {page:prothesilaus};;;;
