print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;common;witches;entry_witches;;;;;У женщины великое множество воплощений и образов. Она может быть и матерью, и жаркой любовницей, и кроткой прислужницей у ног мужчин, и властной королевой. Каждый из этих образов есть в любой женщине.<br/>Женщины обладают великим даром - дарить жизнь. Только подарив жизнь, можно понять, что значит - отнять её. А значит, только лишь женщины могут найти баланс между жизнью и смертью. Пройти по дороге жизни, не оступившись. Или нет? Где же место женщины? Кто ее мужчина и нужен ли он? И в чём женское предназначение - давать жизнь или отнимать её?;Мне следует найти ответ на эти вопросы!;{comm}Твой персонаж НЕ женщина, и слава Богу!{ecomm}{say}И слава Богу, что я не женщина!{said}Иди {page:pastor/entry_street}{3mm}{comm}Твой персонаж НЕ женщина, и благодарит за это родителей{ecomm}{say}Спасибо родителям моим, что я не женщина!{said}Иди {page:girls/entry_home}{3mm}{comm}Твой персонаж — женщина{ecomm}{say}Да, я женщина.{said}Иди {page:prison};Развитие событий на этой странице будет зависеть НЕ от выбора Гипнотизера, но от пола твоего персонажа на игре «Салемская Трилогия» и отношения твоего персонажа к этому факту.;;;;;
1;common;witches;prison;;;;;Я стою в тюремной камере. Здесь ужасно, ужасно! Солома, которая источает вонь, грязь и смрад. Маленькое зарешеченное окошко под потолком едва пропускает дневной свет. Я вижу двух женщин, сидящих в углу. Их скрывает тень, но черты лица различимы. У одной из них чёрная кожа, пухлые губы. Другая же - белая и худощавая. Но они обе измучены. Она говорят друг с другом. Я слышу их слова:<br/>—Кто я есть? Я женщина? Да, я есть женщина... Я есть любовь. Я есть начало жизни и её же конец. Я даю тепло своего сердца, тепло своего чрева, я создаю тепло очага в доме, я успокаиваю своими объятиями, я убаюкиваю своим голосом...<br/>Вторая женщина кивает и причитает вполголоса.;Должна ли я согласиться со сказанным? Или возмутиться их словам?;{comm}Согласиться{ecomm}{say}— Я слышу вас, и слышу хорошо, добрая мисси! Вы будто читаете строки, написанные и на моей душе, и на моём сердце!{said}Иди {page:who_is_women}{3mm}{comm}Возмутиться{ecomm}{say}— Эй, вы что, тронулись умом? Что вы несёте, ведьмы? — говорю я им высокомерно.{said}Иди {page:disbelive1};;;;;;
1;common;witches;who_is_women;; +R;$sack->add('R');;Женщины замечают моё присутствие и поворачиваются ко мне. Хммм… мне показалось, или в глазах негритянки промелькнула надежда?..<br/>— Здравствуй, подруга, — говорит она устало. — Ты женщина, а значит, ты родственная душа нам, не так ли? Скажи, кто по-твоему женщина? В чём её истинное существо? Она ли — всепрощение и любовь? Она ли — мать, дающая жизнь? Или она госпожа, властвующая надо всем сущим?;Должна ли я выбрать Госпожу? Мать? Или Всепрощение?;{comm}Выбрать Всепрощение{ecomm}{say}— О, мой выбор очевиден, мисси. Женщина есть любовь и прощение, женщина есть милосердие...{said}Иди {page:forgiveness}{3mm}{comm}Выбрать Мать{ecomm}{say}— Мать, конечно она мать, дарующая жизнь. Ведь это есть наше предназначение!{said}Иди {page:mother}{3mm}{comm}Выбрать Госпожу{ecomm}{say}— Женщина обладает великим даром. Она даёт жизнь, и лишь она может повелевать! Она властительница, она сама Природа, она начало всему!{said}Иди {page:mistress};;;;;;
1;common;witches;forgiveness;; 1 G -> 2R;$sack->swap('G','RR');;Женщины улыбаются мне в ответ. Я слушаю голос негритянки и поражаюсь его глубине и тёплоте:<br/>— Многие говорят о любви, но мало кто ведает любовь так, как женщина, которая каждый день находится рядом с близкими ей. Всё, что она делает для тех, кто ей дорог — и есть любовь, куда более красноречивая, чем слова. Слов иногда и вовсе не найти...но разве нельзя говорить слезами о прощении и принятии, объятьями о милосердии, лаской — о теплоте души? Как мало людей всё ещё помнят, как говорить на этом языке, как много людей нуждаются в том, чтобы с ними вот так, по душам, поговорили! Женское — в этом, женщины — таковы!<br/>Пока я слушаю, мне кажется, что вокруг расступается пространство, и что будто бы нет ни тюрьмы, ни печальной судьбы заключённых в ней. Но когда негритянка замолкает...;;Cтупай {page:back_to_prison};;;;;;
1;common;witches;mother;;;;;Женщины улыбаются мне в ответ. Когда белая женщина начинает говорить, я поражаюсь, сколько в ней скрытой силы и стойкости:<br/>— Что выше и больше, чем тайна рождения? Женщина, дающая жизнь, купается в собственной крови и купает в ней своё дитя, но из этой крови, из этих мук рождается чудо. Это мистерия, таинство... это долг и честь, и только та, что дала жизнь детям, может считаться по-настоящему мудрой… Но разве же можно это объяснить?.. Только понять друг друга с той, у которой тоже есть дети...<br/>Пока я слушаю, мне кажется, что вокруг расступается пространство, и что будто бы нет ни тюрьмы, ни печальной судьбы заключённых в ней. Но когда женщина замолкает...;;Ступай же {page:back_to_prison};;;;;;
1;common;witches;mistress;;;;;— Госпожа! О, ты тоже знаешь, кто она!, — благоговейно говорят мне ведьмы и смотрят на меня. — Мы не сомневались, что ты знаешь это, что ты одна из нас, тех, кто знает её и рожден ею… Ведь Госпожа наша — это Луна и Мать. Соль Земли и сама Земля. Она звала нас сюда, чтобы мы жизни на её землях. Учила нас сеять и жать, учила любить и ненавидеть. Повелевала нами и учила, чтобы мы удобрили и оплодотворили её! Она давала мир, она удерживала войны, ведь цель у неё была одна — вскормить своих детей, вырастить их. Она есть мать для каждого, свет и любовница в ночи… Всё, что делает госпожа наша Луна — это всё во имя и ради любви, земли, плодородия...;Должна ли я возмутиться их словам? Или мне следует согласиться и сказать, что Госпожа — горяча как огонь? Или должно согласится и сказать, что Госпожа — светла,  как Луна?;{comm}Возмутиться{ecomm}{say}{said}Иди же {page:disbelive2}{3mm}{comm}Госпожа — как Луна{ecomm}{say}Я чувствую мягкость рук на своей коже — это объятия Луны.<br/>— Я чувствую её, я вижу, что Госпожа светлая как Луна и мягка, как вода. Она дарит жизнь, заботится о жизни и о детях своих...{said}Ступай же {page:magic_field}{3mm}{comm}Госпожа — как огонь{ecomm}{say}Чем больше я слушаю ведьм, тем яснее я понимаю, как горяча моя кровь, как широко моё сердце и как горят мои глаза!<br/>— Огонь! Огонь есть тепло и есть Страсть! И госпожа наша — страсть, перед которой не может устоять ни один мужчина! И она столь же прекрасна, как цветок... — говорю и я ощущаю, как обжигает меня Её дыхание...{said}Время перенестись {page:magic_fire};;;;;;
1;common;witches;disbelive1;;;;;Я качаю головой и смотрю на этих женщин.<br/>—Нет, нет, нет, я не знаю, чем тронуты ваши умы, но этого не может быть!<br/>— Почему ты не веришь нам? Ты что, пришла сюда, чтобы посмеяться над нами?;Должна ли я посмеяться над ними? Или обосновать своё неверие?;{comm}Посмеяться{ecomm}{say}— Конечно, ведь вы, как никто, заслуживаете осмеяния и порицания! Вы встали против Салема, и вам нет пощады!{said}Иди {page:rainbow_attack_interogation}{3mm}{comm}Обосновать неверие{ecomm}{say}— Быть может, смеяться над вами я и не хочу, но… То, что вы говорите — это невозможно. Мы верим в Бога, живём под его присмотром, но, даже если бы вы и не верили, всё равно всё, что вы говорите, оставалось бы ужасным бредом!{said}Иди {page:disbelive2};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>имеешь право</b> явно возразить и <b>выбрать другой вариант</b>.;;;;;
1;common;witches;disbelive2;;;;;Ведьмы сокрушённо качают головами, и одна из них говорит мне:<br/>— Почему, почему ты говоришь как мужчина? Ты же женщина, ты должна думать сердцем! Дать волю чувствам, а не холодному разуму!..;Должна ли я промолчать, согласиться или возразить?;{comm}Промолчать{ecomm}{say}Я чувствую, что мне нечего ответить на это, мне нечего возразить, очевидно же, что их не переубедить, поэтому я опускаю глаза и молчу…{said}Иди же {page:back_to_prison}{3mm}{comm}Согласиться{ecomm}{say}Я на секунду задумываюсь над их словами. Но я не высчитываю ничего в уме. Им отвечает моё сердце, а воля следует за ним:<br/>— Да, пожалуй, вы правы... — говорю я.{said}Тогда иди {page:forgiveness}{3mm}{comm}Возразить{ecomm}{say}— Да неужели? Нет, вы точно сумасшедшие! Помните, ведьмы, — я не с вами!{said}Ступай {page:rainbow_attack_interogation};;;;;;
1;common;witches;rainbow_attack_interogation;;;;;Обе женщины встали, и, несмотря на то, что их всего лишь две, я чувствую, как они окружают меня. И они в ярости! Ах, они сейчас убьют меня прямо здесь!... Но что это? Они на меня смотрят не только со злобой и негодованием но… и с презрением!<br/>— Как ты можешь так думать о нас?! Мы — женщины Салема, и всегда защищали город, как могли! И свою землю, и своих детей! И мы были великими, потому что каждый мужчина знал, что у него есть женщина, дарующая ему тепло и любовь! А ты, что же ты? Ну-ка, говори, отвечай нам, кто тебя подослал, чтобы посмеяться над нами? Отвечай на наши вопросы!<br/>Они задают мне один вопрос за одним, и в глазах у меня темнеет! Я слышу стук крови в ушах, и не слышу их голоса... Но так же я понимаю, что если я не дам им ответов, то мне конец! Я готова, готова отвечать, лишь бы они прекратили этот допрос!..;Но что они спрашивают у меня? Что??;Теперь ты обязана <b>полно и правдиво</b> ответить на вопросы Гипнотизера, если он пожелает их тебе задать — как если бы сама желала скорее рассказать всю правду!{3mm}Если вопросов не будет, либо <b>после ответа на третий</b> — иди {page:choice_you_side};Твой персонаж НЕ запомнит общения с Гипнотизером на этой странице и самого факта общения.;;;;;
1;common;witches;magic_field;;;;;На секунду, которая растянулась почти на вечность, мне показалось, что я стою на берегу реки, полноводной реки, которую освещает луна. Лёгкий ветерок теребит мои распущенные волосы, земля дышит и хочется танцевать при Луне, для Луны и во имя Её. Я чувствую невообразимую лёгкость своего тела, на мне легкие одежды, которые совсем не стесняют движений... Я танцую и смеюсь. Я чувствую, что могу давать жизнь, и могу так же трепетно любить каждого, как мать любит свое дитя. Я теперь знаю, кто есть Лунная Богиня, кто есть Госпожа Луна. Я знаю, она в каждой из нас, и больше, чем в каждой из нас… она во всём...;;Время перенестись {page:dark_tower};;;;;;
