print;athlas;story;page;image;music;rules;code;transfer_codes;label;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;deadworld;entry_red;;;;$sack->msg('Ты получил установку Пропаганды: работать ради счастья и процветания всех трудящихся, за единый мир под властью Коммунистической Партии и трудящихся народов СССР!');;;Во тьме полёт их незаметен, лишь звёздный свет над головой. Но знают звёзды, знает ветер. Когда они придут домой.;;Твой ночной полёт ведет {page:entry}{3mm};;;;;;
1;unknown;deadworld;entry_blue;;space_music2.mp3;;$sack->msg('Ты получил установку Пропаганды: нести бремя белого человека и работать на победу цивилизованного мира под властью Его Величества Короля и Парламента Британской Империи!');;;В молчании — Слово. И свет лишь во тьме. И жизнь после смерти проносится быстро. Как ястреб, что мчится по сини небесной. Пустынной. Бескрайней… Так правь же морями! ;;Твоё сознание переносит тебя {page:entry}{3mm};;;;;;
1;unknown;deadworld;entry_green;;FRE.mp3;;$sack->msg('Ты получил установку Пропаганды: сражаться ради физической и духовной чистоты и строить новый мировой порядок и единый сильный мир под властью стран Оси и их Фюрера!');;;...В бликах звёздного огня бешенной битвы блеск, крик! Сыну Севера сагой Славы будет ближний Блицкриг. Боги битвы маршируют в чёрной форме Штормом! Молнии излом двоится серебром на чёрном!..;;Твой победный марш привёл тебя {page:entry}{3mm};;;;;;
1;unknown;deadworld;entry;;Nox Arcana - Dementia 13.mp3;;;;;Я нахожусь в странном и неприятном месте. Неприятное оно как минимум потому, что здесь нет ни малейшего признака жизни. Серое небо, тяжёлые свинцовые тучи над головой, впереди, от края до края, выцветшая безжизненная равнина.;Что мне делать? Попробовать выбраться отсюда или подождать на месте?;{comm}Выбираться отсюда!{ecomm}{say}Оставаться здесь просто бессмысленно, надо выбираться из этого гиблого места!{said}Отправляйся {page:getaway}{3mm}{comm}Стоять на месте и ждать{ecomm}{say}В такой ситуации нельзя терять голову и принимать скоропалительные решения. Надо осмотреться и немного подождать. {said}Иди {page:stay}{3mm};;;;;;
1;unknown;deadworld;getaway;;;;$sack->drop('R');; -R;Нет, оставаться здесь решительно невозможно, если я не хочу стать частью того песка, который хрустит у меня под ногами. Надо идти, думаю я и начинаю двигаться вперёд. Я только начинаю свой путь, поэтому пока мои шаги бодры и решительны. Я поднимаю пыль вокруг себя, но она не вьётся и не завихряется, не угрожает перерасти в бурю, которая могла бы разнообразить здешний пейзаж — пыль просто повисает в безветрии, а потом вновь оседает. Я иду по некоему подобию тропы, и она тянется в бесконечность. Сколько часов такого марша, интересно, я выдержу? Я продолжаю идти.;;Теперь иди {page:on_my_way};;;;;;
1;unknown;deadworld;stay;;;;$sack->add('B')->drop('R');; -R +B;Нет, метаться туда-сюда и хвататься за решение, которое на первый взгляд кажется единственно правильным, определённо не мой выбор. Я лучше подумаю головой, поразмыслю! Покурю, вот опять же. Я достаю сигару и неспешно затягиваюсь. Ветра нет, вокруг меня полный штиль, только моря тоже нет… Сигаретный дым даже не удосуживается подняться вверх и завиться причудливыми узорами, он просто висит вокруг меня, а потом незаметно тает. Вокруг — сплошное уныние и серость. Это неприветливое место как будто высасывает все силы и желание что-то делать… Прошло несколько минут. Неужели я что-то упускаю?;Стоит ли мне осмотреться вокруг повнимательнее, или всё же надо двигаться, чтобы не застрять тут навечно?;{comm}Осмотреться повнимательнее{ecomm}{say}Я наверняка что-то упускаю. Не может такого быть, чтобы тут не было вообще ничего, представляющего интерес!{said}Осмотревшись, иди {page:look_thoroughly}{3mm}{comm}Идти отсюда!{ecomm}{say}Похоже, я не увижу здесь ничего, кроме пыли и запустения. Время покинуть это унылое место!{said}Иди отсюда {page:on_my_way}{3mm};;;;;;
1;unknown;deadworld;look_thoroughly;;;;$sack->add('B')->drop('R');; -R +B;Я повнимательней присматриваюсь к пейзажу, стараясь уловить хоть какое-нибудь движение или увидеть что-то, что даст мне пищу для размышлений. Нет, вокруг пустота. Даже пыль под ногами — и та однообразная, серая, как прах или тлен… Я поднимаю голову и замечаю в тусклом небе едва светящуюся точку — солнце. Но что это? Приглядевшись повнимательнее, я понимаю, что оно не движется! Его бледная тень видна за пеленой мрачных туч, но оно стоит на месте и даже не греет. Нет, здесь задерживаться точно не имеет никакого смысла, пора в путь!;;Иди {page:on_my_way};;;;;;
1;unknown;deadworld;on_my_way;;;;;;;Я иду много часов, но не могу сказать, сколько именно, потому что в этом месте и времени-то как будто нет. Но я чувствую — мои ноги начинают уставать. Пейзаж почти не меняется, изредка я ощущаю незначительный рельеф, но не более того. Но хоть тропа видна более-менее чётко. Кто её протоптал?.. Наконец-то я вижу первое значительно изменение в окружающей меня серости — тропа разветвляется! Одна дорога ведёт наверх, к холмам, которые смутно видны на горизонте, а другая — в низины.;Куда же мне теперь идти, наверх, к холмам, или в низины?;{comm}Наверх, к холмам{ecomm}{say}Сверху можно осмотреться, да и хочется наконец почувствовать лицом свежий ветер! Я решительно иду в гору.{said}Направляйся к холмам {page:hills}{3mm}{comm}В низину{ecomm}{say}Дорога вниз шире - наверняка более хоженая, а еще, возможно, в этой низине будет река или какой-то другой водоем, а то эти однообразные равнины угнетают одним своим видом.{said}Ступай вниз, {page:lowlands}{3mm};;;;;;
1;unknown;deadworld;hills;;;;$sack->drop('G');; -G;Поразмыслив недолго, я понимаю, что оптимальный выбор — идти наверх. Даже если я ничего нового там не встречу, то как минимум осмотрюсь с какой-никакой, но всё же вершины! Долго ли, коротко ли, а я всё иду, пожирая как огонь, одну милю за другой. Гляжу — темнеть начало. Вон и луна где-то за облаками маячит… Правда, от солнца она почти не отличается и висит в той же точке. Подъём становится всё тяжелее. Ноги начинают подкашиваться, дрожать. Долго я так не протяну… А ещё тишина эта вокруг — давит, как будто к земле прижимает, ей богу! Уши как будто заложило — даже своего собственного голоса в этой тиши не различаю, не то что каких-то посторонних звуков-шорохов… Так и с ума сойти недолго.;Что же делать? На привал остановиться, или пальнуть раз-другой из пушки, чтоб тишину разогнать?;{comm}Устроить привал{ecomm}{say}Палить в белый свет, как в копеечку - бессмысленное ребячество, да и патроны мне еще пригодятся, а вот отдохнуть не помешало бы!{said}Иди отдыхать {page:camp}{3mm}{comm}Разогнать тишину пальбой из пушки{ecomm}{say}Ну невозможно же не слышать столько часов ни единого звука! Пара патронов - от меня не убудет, но хотя бы не так тягостно на душе станет!{said}Иди пострелять {page:shooting}{3mm};;;;;;
1;unknown;deadworld;shooting;;;;$sack->add('GGG');; +3G;БАХ!!! БА-БАХ!! БАХ-БАХ!!{3mm}Грохот! Шум! Запах пороха! Будь же ты благословлён во веки вечные, мистер Кольт! Звуки выстрела пронизывают окружающую действительность, аж уши закладывает, но от звука, от грохота! Открываю барабан — гильзы со звяканьем падают на землю… и звяканье это мне ласкает слух, будто ударяются друг о друга хрустальные бокалы...{3mm}Уф-ф-ф, как хорошо-то сразу стало на душе, легко-то как! Даже силы появились, чтобы топать дальше!;;Как похорошело-то сразу! Бодро ступай {page:enter_village}{3mm};;;;;;
