print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{page:}{3mm}{comm}{ecomm}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.; 
1;common;memories;entry;;Stronghold - Sad times.mp3;;;;;Городская аптека закрыта. Её хозяева где-то делают деньги, поди найди, где. Что ж, денёк сегодня выдался славный: светит яркое солнце, поют птицы, с моря дует лёгкий ветерок. Давно не бывало в Салеме такой весны! Самое время прогуляться и насладиться теплом. Но куда мне направиться?;Сходить в центр, по короткой улочке, ведущей к городской площади? Или подняться в Верхний Салем? Или отправиться в Нижний Салем?;{comm}В центр{ecomm}Иди {page:center_salem}{3mm} {comm}В Верхний Салем{ecomm}Отправляйся {page:upper_salem}{3mm} {comm}В Нижний Салем{ecomm}Ступай {page:lower_salem};;;;;;
1;common;memories;center_salem;;hear_me_tolkin.mp3;;;;;Я стою почти в самом центре старого доброго Салема. Вот ратуша, почта, административные здания. И, конечно же, бар “У Салливана”. Центральная улица уходит в обе стороны — в Верхний Салем и в Нижний. Из здания суда выходит судья, мистер Рейнарт Мейер. На крыльце библиотеки дышит свежим воздухом мисс Вудхаус вместе со своим очаровательным котом. В центре площади до сих пор лежит куча песка, оставшаяся после ремонта брусчатки... ;Куда бы мне пойти? Заглянуть в библиотеку? Отправиться в суд? Выйти на городскую площадь? Или уйти отсюда в сторону Верхнего или Нижнего Салема?;{comm}В Верхний Салем{ecomm}Отправляйся {page:upper_salem}{3mm} {comm}В Нижний Салем{ecomm}Иди {page:lower_salem}{3mm} {comm}В библиотеку{ecomm}Ступай {page_fog:library_1}{3mm} {comm}На городскую площадь{ecomm}Шагай {page_fog:square_1}{3mm} {comm}В суд{ecomm}Направляйся {page_fog:court_1};;;;;;
1;common;memories;upper_salem;;;;;;;Верхний Салем — район богатых домов. На крыльце больницы доктор Натан Григгс о чем-то беседует с дочерью Деборой. Вечно пьяный гробовщик Уилфред Тернер толкает свою тачку с гробом по узенькой дорожке, ведущей к кладбищу. Слева от меня дома мэра Бейли и казначея Пикеринга, а за ними — дом и поле семейства Бирн. О! Кажется, в городской магазин наконец-то привезли сигары...;Куда бы мне податься? Направиться в Нижний или Центральный Салем? Заглянуть на кладбище, пока солнце еще высоко? Пойти в больницу и попытаться найти там лекарства? А может, посетить магазин и посмотреть, что там еще новенького?;{comm}В Центральный Салем{ecomm}Отправляйся {page:center_salem}{3mm} {comm}В Нижний Салем{ecomm}Иди {page:lower_salem}{3mm} {comm}В больницу{ecomm}Ступай {page_fog:hospital_1}{3mm} {comm}На кладбище{ecomm}Шагай {page_fog:graveyard_1}{3mm} {comm}В магазин{ecomm}Направляйся {page_fog:shop_1};;;;;;
1;common;memories;lower_salem;;;;;;;Вокруг меня старые и уютные здания Нижнего Салема: мой родной дом, и гостиница мистера Ребера, сейчас населенная приезжими учеными и журналистами. Чуть дальше стоит церковь. По тропе, ведущей к реке, беспечно шагает молодой индеец Эдвард Квамис, а от самой реки, от доков, возвращаются чем-то озадаченные федеральные агенты. Слева от меня резервация индейцев, превратившаяся в сборный пункт армии. Куда бы мне направиться? ;Посетить свой родной дом? Или церковь? Может, сходить к индейцам? Или спуститься к докам? Или вернуться в Верхний или Центральный Салем?;{comm}В Центральный Салем{ecomm}Отправляйся {page:center_salem}{3mm} {comm}В Верхний Салем{ecomm}Иди {page:upper_salem}{3mm} {comm}В церковь{ecomm}Ступай {page_fog:church_1}{3mm} {comm}К себе домой{ecomm}Шагай {page_fog:home_1}{3mm} {comm}В резервацию индейцев{ecomm}Направляйся {page_fog:recruitment_1}{3mm} {comm}К докам{ecomm}Направляйся {page_fog:docks_1};;;;;;
1;common;memories;home_1;;Witcher 2 OST - Sorceresses.mp3;;;$sack->drop('?');;Я неспешно прогуливаюсь по главной дороге Салема, увлеченный прекрасной погодой. На старом поле семейства Сибли открываются прекрасные пейзажи. Вольное разнотравье победило чопорные пуританские ряды стеблей, и я занимаю свой пытливый ум разглядыванием полевых цветов. Вот клевер, ромашка, чабрец… Присмотревшись, я чувствую мороз, и вся прекрасная погода как будто отсутпает.  Мне отчетливо кажется, что и в этом разнотравье проглядывает какой-то замысел… Из тягостного впечатления меня выводит натуралистичная фигура пугала в шляпе и плаще, неподвижно возвышающаяся в центре поля...{2mm}{2mm}Не успеваю я пройти и полпути до центра поля, как окончательно убеждаюсь: полевые травы растут не хаотично, а складываются в узор. Безотчетный страх, который сопровождал эту догадку, заставляет меня стать осторожнее…. и не зря. Тот, кого я ошибочно принял за пугало, оказался мужчиной неопределенного возраста в красивом бежевом плаще и шляпе. Он стоит так неподвижно, и только глаза бегают, будто бы он читает невидимую книгу. Я прислушиваюсь к своей интуиции, а может, все еще нахожусь под впечатлением от странности этого поля, и сажусь в траву понаблюдать за ним. Человек в бежевом плаще неожиданно “оживает” и беспокойно ходит вперед-назад, все еще глубоко погруженный в свой внутренний монолог. Иногда он достает из кармана блокнот и карандаш и делает какие-то пометки и расчеты. Мистер Роберт Пирс, а это именно он, одержим своими планами, в этом нет сомнений. {2mm}{2mm}И тут я замечаю кое-что еще. Травы поля как будто реагируют на его мысли, тянутся к нему, невидимыми нитями связанные с его планами. Я бросаюсь прочь, соблюдая максимум осторожности, какую могу позволить себе в моем состоянии. Но мужчина в бежевом плаще не обращает никакого внимания на мое исчезновение, так же как и на появление. Лишь некоторое время спустя, выпивая в спикизи “У Салливана”, я узнаю, что в Салеме вновь появилось традиционное пиво “Salems’ Lot“, секрет приготовления которого, как считалось, был утерян вместе с погибшим семейством Сибли…;Должен ли я сохранить увиденное в тайне и тщательно все обдумать?{2mm}Или мне следует решительно пойти к мистеру Пирсу и потребовать ответов?{2mm}Или я могу расслабиться, остаться в спикизи и продолжить пить?;{comm}Потребовать ответов{ecomm}Ступай к мистеру Пирсу {if:$patient['color'] == 'green'}{page_fog:home_2}{else}{page:wrong}{endif} {3mm}{comm}Пить в баре{ecomm}Иди  {if:$patient['color'] == 'red'}{page_fog:home_2}{else}{page:wrong}{endif}{3mm} {comm}Сохранить тайну{ecomm}Отправляйся {if:$patient['color'] == 'blue'}{page_fog:home_2}{else}{page:wrong}{endif};;;;;;
1;common;memories;home_2;;Audiomachine _ Final Hope.mp3;;;$sack->drop('?');;...и вот их снова трое. Их мужчины стоят на самом краю поля, вооружённые и готовые стрелять по чужакам, но это не имело значения, ведь, по большому счёту, мужчины не нужны. Этот счёт был открыт давным-давно, и как бы ни поворачивалась судьба к тем, кто стоял сейчас на поле, решение всегда оставалось за ними. Тогда зачем им был кто-то ещё?{2mm}{2mm}Вот первая из них, любящая восточный шёлк, и она мать второй.{2mm}Вот и вторая, не знающая пределов себя, и она дочь и дева, она с уверенностью смотрит в темноту.{2mm}Вот третья, скоро она станет их неотъемлемой частью.{2mm}{2mm}Рассветает. Поют первые птицы, настолько громко, что они заглушили бы даже Колокол. Двое стоят на поле, одна из них скрыта за зарослями винограда, а одна ждёт перед аркой из ветвей на входе. Все они одеты в лёкгие полупрозрачные рубашки, но у тех, что стоят на поле, на плечах плащи. Волосы их распущены, а руки чисты.{2mm}{2mm}— Мы приглашаем Миранду на свою землю, — говорит та женщина, что старше. — Пусть наша земля примет её как одну из нас!{2mm}— Пойдём, — младшая берёт за руку женщину в летах, которая переступает через небольшой порог.{2mm}{2mm}Босые ноги ступают по земле. Девушка ведёт Миранду через виноградник, к центру поля, где лоза расступается, обрамляя круглую поляну. В центре стоит Алиенор, приглашая в круг свою дочь и свою гостью. Трое берутся за руки и произносятся старые слова, которые представляют новую Старшую. Птицы, кажется, поют громче. Рианнон накидывает на плечи Миранды плащ. Ведьмы снова становятся в круг.{2mm}{2mm}Тогда они вновь ощущают силу, возвращающуюся к ним. Воздух вокруг переливается всеми цветами радуги. Старуха, мать и дева смеются, они явно счастливы. Наконец, радуга концентрируется в центре их круга и превращается в сгусток красного цвета. Он начинает издавать какие-то звуки, похожие на крики и стоны, шум тысяч голосов. Красное сияние касается по очереди каждой в круге, оно обступает женщин, и те будто бы наполняются энергией. Тогда и женщины начинают говорить, и они говорят на том же языке, от которого мурашки бегут по коже. Они отвечают стонами и вскриками, похожими на вскрики экстаза, они чудовищно смеются и кивают, их волосы развеваются, они…{2mm}{2mm}Я в ужасе бегу прочь через кусты.;Кажется, они не заметили меня, но как мне теперь поступить?{2mm}{2mm}Принять, что то, что открылось моим глазам всем сердцем?{2mm}Стрелять в ведьм, ведь они явно опасны?{2mm}Немедленно написать сенсационную статью в журнал?{2mm}Присягнуть той силе, что ведёт их, и самому главенствовать над старухой, матерью и девой?{2mm}Или пора свести счеты с жизнью и вырваться из этого безумия?;{comm}Принять увиденное{ecomm} Решив так для себя, иди {page_fog:home_3}{3mm} {comm}Стрелять в ведьм!{ecomm} Хватай пистолет и вперед, {page:wrong}{3mm} {comm}Написать статью{ecomm}Это же настоящая сенсация! Скорее беги {page:wrong}{3mm} {comm}Присягнуть на верность{ecomm} Эта сила могущественна и станет твоей! Ступай {page:wrong}{3mm}{comm}Покончить с этим{ecomm}Чтобы вырваться из Салемского кошмара, иди {page:wrong};;;;;;
1;common;memories;home_3;;Audiomachine _ Shadowfall.mp3;;;$sack->drop('?');"remember~tools::freeze_location('home');~";В темноте на поле Пикерингов собрались тринадцать человек. Двенадцать стоят по кругу, каждый из них — часть рисунка и олицетворение одной из его сущностей или же Домов. Дома соединены друг с другом через одby, до полного круга, и так дважды, поэтому 6 и 6 Домов объединены лишь кругом, но не составляют единой системы без него. Тринадцатый человек стоит в центре, это Дональд Гиббс. Он уже как-то раз видел, как расчерчивают такой круг, но он об этом забыл.{2mm}Дональд Гиббс взывает к Домам, начиная от Дома Смерти, и движется посолонь по связям. Затем, произнеся все нужные слова, он от Дома Путешествий взывает противосолонь. Голос его звучит уверенно и громко, и никто из круга не прерывает его. Когда воззвание к Двенадцати закончено, Гиббс собирается с мыслями. Чувствуется напряжение. Собравшиеся люди знают, что должно произойти, и на некоторых лицах лежит тень сомнений.{2mm}— Круг жизни завершён! — произносит мистер Гиббс. — Время есть пространство и наоборот!{2mm}Элеонора Пикеринг стреляет в голову мистеру Гиббсу. Она как-то раз уже стреляла человеку в голову, и она вспомнила об этом. Но она не могла помнить о том, куда исчез Рэндальф Хейт, и не знает о том, куда пропал его друг Дональд Гиббс.{2mm}Она даже не смогла бы поручиться, что пуля пробила лоб салемского библиотекаря…{2mm}{2mm}Стоя в кругу, я тоже не могу ничего об этом сказать определённо. Но что мне делать дальше?;Стоит ли вернуться домой, чтобы успокоиться и лечь поспать?{2mm}Возможно, помогло бы найти и погладить кота?..{2mm}Или надо зарисовать в блокнот узор, образованный 12 Домами?{2mm}Или же необходимо пойти в библиотеку, взять там любимую книгу и начать читать?{2mm}Возможно, надо послать телеграмму в ФБР, раз у нас такие вещи творятся?{2mm}А может, лучше лично начать слежку за этими людьми?{2mm}{memory_timer};{comm}Пойти домой поспать{ecomm}Отдохни, успокойся и иди {if:$sack->getTrigger('home') == 'спать'}{page:remember}{else}{page:wrong}{endif}{3mm} {comm}Погладить кота{ecomm} Скорее к теплому и мягкому котику {if:$sack->getTrigger('home') == 'гладить'}{page:remember}{else}{page:wrong}{endif}{3mm} {comm}Зарисовать узор{ecomm} Блокнот в руки и ступай {page:wrong}{3mm} {comm}Взять почитать книгу{ecomm}Отправляйся же {if:$sack->getTrigger('home') == 'читать'}{page:remember}{else}{page:wrong}{endif}{3mm} {comm}Послать телеграмму в ФБР{ecomm} Дорога на почту лежит {page:wrong}{3mm} {comm}Начать слежку{ecomm} Иди за гримом и темными очками {page:wrong};;;;;;
1;common;memories;church_1;;Jeremy Soule - Temple of Tempus.mp3;;;$sack->drop('?');;Я приближаюсь к полю семейства Бирн в предвкушении тех славных и шумных пирушек, о которых был так наслышан. Ирландцы славятся на весь Салем дерзкими попойками, которые они устраивали в нарушение Сухого закона. Благослови Бог заштатные американские городки и веселый дух ирландцев. Однако вот уже и крепкие ирландские домики, а сердце мое еще не скачет от звуков ирландских песен. Быть может, я пришел не вовремя, или местные выпивохи в спикизи Салливана подшутили надо мной? Еще не кончились садовые деревья, как я услышал то, чего ожидал меньше всего. Слова молитвы. Однако любопытство заставило меня пройти еще несколько шагов и увидеть все самому... {2mm}{2mm}Поле было основательно перекопано, а посредине лежал увесистый камень, вокруг которого собралась небольшая толпа. Молодой священник в красивом коричневом костюме читал на латыни прочувствованную молитву. На глазах “прихожан” выступили слезы. Несмотря на то, что я ни слова не понимал, меня и самого захватила особая атмосфера момента. Я ведь знаю, это поле — единственный источник пропитания для большой многодетной ирландской семьи Бирн. Но вот, прижимая соломенную шляпу к груди, стоит папаша Иннис Бирн, а матушка Эшлин как будто готова отложить свою винтовку. Эти люди сейчас жертвуют самым дорогим, что у них есть. Тут будет новая Церковь, понимаю я. А передо мной — заложенный первый камень. {2mm}{2mm}Отец Мэлоун страстно заканчивает молитву уже по-английски, словами из Нового Завета о том, что, найдя сокровище в земле, разве мы не продадим все до последнего, чтобы выкупить эту землю и завладеть сокровищем… Под воздействием момента мы все стоим, не шелохнувшись. Одарив нас теплой улыбкой, Мэтт Мэлоун первый нарушает оцепенение — “ну, церковь сама себя не построит...” — и, засучив рукава дорогого костюма, берется за второй валун. Ирландцы с радостным гулом хватают инструменты и начинают подтаскивать камни.;Должен ли я слиться с ними в едином порыве и вместе трудиться над церковью?{2mm}Или следует немедленно потребовать объяснений, что за безумие тут произошло?{2mm}Или лучше без лишнего шума расспросить матушку Эшлин о причинах такого религиозного порыва?;{comm}Строить церковь{ecomm}Хватай ближайший камень и тащи его {if:$patient['color']=='red'}{page_fog:church_2}{else}{page:wrong}{endif}{3mm} {comm}Немедленно потребовать ответа{ecomm} Требовательно задав вопрос, следуй за ответом  {if:$patient['color']=='green'}{page_fog:church_2}{else}{page:wrong}{endif} {3mm}{comm}Тихо спросить у матушки{ecomm}Улучив минутку, задай вопрос Эшлин и иди  {if:$patient['color']=='blue'}{page_fog:church_2}{else}{page:wrong}{endif};;;;;;
1;common;memories;church_2;;Catharsis - Etude No. 1.mp3;;;$sack->drop('?');;...Кругом огонь! Отец нараспев читает слова обряда. Сестры держатся за руки и дрожат от ужаса. Вероника сквозь зубы повторяет слова следом за отцом, и мы все присоединяемся следом за ней.{1mm}Я замечаю в окно человека, невысокую девушку, бегущую прочь от дома. Я хотел бы выскочить следом, догнать, выяснить, что она тут делала, и что успела увидеть, но отец сказал, что обряд нельзя прерывать, даже если небо упадет на землю.{1mm}Вдруг здание начинает дрожать. Толчок неведомой силы отбрасывает отца прочь, ударяет о скамью. Оправившись от удара, он снова занимает место за кафедрой. Из его лба течет кровь. Я захожусь в новом приступе кашля. Дым ест глаза, и я с трудом могу разглядеть темную фигуру, вырастающую из-за отцовских плечей...{1mm}Дедушка Расселл первым теряет дар речи. Вместо латыни из его уст доносится лишь невнятное мычание. Огонь охватывает его одежду. Я вижу, как он напрягает всю свою волю, чтобы не вскочить и не броситься вон… {1mm}Я чувствую жар и боль. И дым в легких… Медленно проваливаясь в забытье, я расплываюсь в счастливой улыбке: больше все это не моя проблема...{2mm}{2mm}...Остов сгоревший церкви торчит у самого края семейного поля Сибли. Обгоревшие черные балки смотрят в небо, подобно окостеневшим пальцам мертвеца, которые уже успели основательно обглодать охочие до добычи вороны да крысы. Запах не выветрился до сих пор — сгоревшее дерево и мерзкий сладковатый запашок смерти… Дело дрянь — и мои мысли под стать этой ситуации. Смерть — это всегда смерть, нелепая, неотвратимая, неизбежная… Шериф явно что-то скрывает, да и местные косятся на нас как-то подозрительно… Ведь пока все, что мы знаем о произошедшем — мы знаем с чужих слов — и этим людям явно нет смысла говорить нам правду.{2mm}{2mm}Мне нужно сосредоточиться и работать дальше, ведь ради этого мистер Аарон нас сюда и направил. Итак, что же мне делать?;Может, мне стоит пойти в спикизи, напиться и просто потрепаться с местными?{2mm}Или пора уже решительно, начистоту поговорить с шерифом?{2mm}Или мне следует спокойно и вдумчиво, своими глазами, осмотреть пепелище?{2mm}А может — все так и должно быть, и мне самому следует зайти в горящую церковь и покончить с этим?{2mm}Или пришло время сказать смерти “нет” и обрести бессмертную славу? ;{comm}Пойти в спикизи{ecomm}Отправляйся {page_fog:church_3}{3mm} {comm}Поговорить с шерифом{ecomm}Иди искать мистера Дарквуда {page:wrong} {3mm}{comm}Осмотреть пепелище{ecomm} Ступай осматривать {page:wrong}{3mm} {comm}Войти в горящую церковь{ecomm}Войди же {page:wrong}{3mm}{comm}Обрести славу{ecomm} Жажда славы ведет тебя {page:wrong};;;;;;
1;common;memories;church_3;;X-Ray Dog - Elimination Game.mp3;;;$sack->drop('?');"remember~tools::freeze_location('church');~";Сложнее всего достать динамит, особенно когда тебя уже ловили на этом. Удивительно, как вежлив был полицейский. Он хотел подсказать мне, как правильно действовать. Но потом всё-таки арестовал. Он совсем не так мил, как мистер Пирс. Мистер Пирс смотрит на меня всегда с вниманием, как будто я фарфоровая, а он меня немножко разбил.{2mm}{2mm}НО Я НЕ ФАРФОРОВАЯ, ИДИОТ!!!{2mm}{2mm}Вспышки, вспышки гнева, его гнева, через меня, вспышки огня. {2mm}{2mm}Отец говорит со мной, я узнаю его по верным приметам. Он ранен огнем, его рука не заживает. От него идёт жар, он греет меня, но не сжигает. Так потому, что Дьявол — мой отец. Я понимаю, что я всегда знала. Я вспоминаю заново, как вспоминала всегда.{2mm}Здесь, в его городе, не должно быть церкви, — так он говорит.{2mm}Я всё поняла. Я пылаю, как он. И всё здесь должно пылать!!!{2mm}Всё это уже случалось, всё это повторяется и случается каждый раз.{2mm}{2mm}Я захожу в церковь. В ней никого нет, никто ни во что не верит у нас. Они не понимают, что из того, что бога нет, не следует, что нет и Дьявола. Я вижу пастора Парриса и предлагаю ему уйти, ведь я не должна взрывать и его тоже. Но он отказывается. Тогда я прошу его ничего про это не рассказывать и вообще сидеть потише, пока я разбираюсь с динамитом.{2mm}{2mm}Стоит ли мне что-нибудь сделать здесь, пока церковь ещё не взлетела на воздух? В конце-концов, я же дева и Мария! Это кое-что да значит!;Может быть, взять молитвенник и прочесть молитву?{2mm}Или решиться и отказаться от этого безумия?{2mm}Украсть что-нибудь, чтобы замаскировать свой мотив?{2mm}Или стоит исповедаться пастору, пока он ещё жив?{2mm}Возможно, стоит выпить виски для храбрости?{2mm}Или же нужно пожертвовать пару баксов церкви, что немного искупит будущий ущерб?..{2mm}{memory_timer};{comm}Помолиться{ecomm}Подойди к алтарю {if:$sack->getTrigger('church')=='молитва'}{page:remember}{else}{page:wrong}{endif}{3mm} {comm}Отказаться от подрыва{ecomm} Тихо извинившись перед пастором и убрав динамит в сумку, уходи {page:wrong}{3mm} {comm}Украсть что-нибудь{ecomm} Поиски чего-нибудь приведут тебя {page:wrong}{3mm} {comm}Исповедаться{ecomm} Хоть пастор уже видел твое лицо, иди в исповедальню {if:$sack->getTrigger('church')=='исповедь'}{page:remember}{else}{page:wrong}{endif}{3mm} {comm}Выпить виски{ecomm} Почему бы и нет? Ступай {page:wrong}{3mm} {comm}Пожертвовать пару баксов{ecomm} Бросай несколько долларов в ящик для пожертвований и иди {if:$sack->getTrigger('church')=='жертвовать'}{page:remember}{else}{page:wrong}{endif}{3mm};;;;;;
