print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;sandbox;green_exodus_1;;;;;;;<div class=epigraph>В чёрном небе наблюдая<br>Белых точек череду,<br>Я заметил вдруг у края<br>Золотистую звезду{semi}<br>И с тех пор живу без сна я -<br>Всё её прихода жду.{3mm}Мчался по волнам эфира<br>Луч звезды — и прям, и горд,<br>По всему пространству мира<br>Рай блаженства был простёрт,<br>Разносила звонко лира<br>По Вселенной свой аккорд.</div>{3mm}Смерть от золота была предсказана ещё в конце прошлой эры, воином-мудрецом, чьё причудливое имя не произносится с тех пор, как мы увидели, что желтая звезда приближается к нам. Сейчас её свет отражается в породах, преломляется через кожу и застилает глаза. Час близок.{3mm}Я танцую в лабиринте, готовясь встретить охотников, моё тело напряжено и чувства обострены. Я слеп, мои глаза срослись друг с другом, но даже через кожу опущенных век меня слепит сияние, перемежаясь белыми точками - по ним я определяю тех, кто идёт по моему следу. Неспящие, верные своему слову. Никто из них не дрогнет.{3mm}Я наношу удар первым и проворачиваю когти в плоти охотника. Добравшись до сердца, я вырываю его из-под шипастых рёбер зверя и кладу в позвоночную сумку.;;{hypno_end};;;;;;
1;unknown;sandbox;green_exodus_2;;;;;;;<div class=epigraph>И казалось мне, что где-то<br>Жизнь свободна и легка,<br>Бесконечно длится лето,<br>Словно сон плывут века,<br>Льётся музыка рассвета<br>От волшебного смычка.{3mm}Там, я мнил — любви жилище,<br>Пыл вражды давно угас{semi}<br>Там не думают о пище<br>И улыбки — без гримас{semi}<br>У людей там мысли чище<br>И добрее, чем у нас.{3mm}Так я думал — и мозги мне<br>Застилал багровый бред,<br>Будто в серой дымке зимней<br>Тихо таял солнца свет{semi}<br>И я слышал в прежнем гимне<br>Чуждый тон грядущих бед.</div>{3mm}Они умирают один за другим, пока я двигаюсь к центру лабиринта. Танец становится быстрее. Всё больше внутренностей в моём мешке. Слизь стекает до самых ног, по спине. Её запах будоражит чувства ещё больше. В ожидании очередного соперника я переступаю с ноги на ногу, чуть пружиня на мягкой поверхности пола. Сегодня многие должны умереть, чтобы единицы спаслись. {3mm}В воздухе растекается луч, превращаясь в звук, распадаясь в моих ушах в привычном зелёном спектре. Я делаю несколько движений, раскачиваюсь из стороны в сторону, готовясь к прыжку. Это то время танца, когда пора достать лезвия, а руки омыть. Я погружаю руки, одну за другой, в одну из поверхностей и кружусь на месте, продолжая пружинить на полу.{3mm}Из толщи лабиринта раздаётся пронзительный вой. Время для последней битвы.;;{hypno_end};;;;;;
1;unknown;sandbox;green_exodus_3;;;;;;;<div class=epigraph>Цвет звезды из золотого<br>Становился всё красней{semi}<br>На устах застыло слово -<br>Понял я, что стало с ней{semi}<br>И в безумьи начал снова<br>Языком дразниться Змей.{3mm}Так меня поймала в клещи<br>Золотистая звезда:<br>Мне заманчивые вещи<br>Показала без стыда<br>И мне в душу страх зловещий<br>Поселила навсегда!</div>{3mm}Мы встречаемся в центре, и каждый из нас несёт за собой своего двойника, собранного из плоти убитых. Двойники прорастают в нас, и, наконец, мы обретаем глаза. Мир рассыпается в сетчатые контуры, выявляя очертания окружающих объектов. Я вижу многомерные фигуры, цепляющиеся за сеть реальности одной только точкой, рассматриваю тех, кто дрался и победил, как и я. Мы над разрушающимся миром, в огромной лодке, идущей сквозь золотой свет по изумрудной реке, тысячи наших рук сплетаются над головами, а ноги и тела продолжают танец.{3mm}Наконец, я слышу гул и мерный грохот, перерастающий в биение, ритм, которому мы следуем в танце, стараясь попасть в резонанс. Когда резонанс достигнут, от носа лодки поднимается огромный вихрь, пробивая путь к последнему дому и разрушая всё на своём пути.{3mm}С криками мы бросаемся в бой мести и разим охотников, слизь и тёмно-жёлтые ленты, похожие на водоросли. Умирая, они плачут на мотив какой-то далёкой песни. Этот бой будет последним.;;{hypno_end};;;;;;
1;unknown;sandbox;green_travel_1;;;;;;;"Волна шла на нас неколебимой стеной. Мы знали, что умрём ещё до того, как она подступит, от шума, который проникнет в наши головы. В тот момент, когда она прокатится по нам, мы будем уже частью Разума, будем раздавлены и перемолоты им. Это не была волна в полном смысле слова, скорее сущность, движимая чужой мыслью, во всём чуждой нам, настолько сильной, что соприкосновение с ней было невыносимым и смертельным.<br>Мы отступали, стараясь лучше разогнать двигатели. Никакой брони не хватило бы на то, чтобы выдержать натиск, и никто из нас, даже самый лучший не мог ничего противопоставить - это не был честный удар, это не было оружие, это был Рок, воплощённый в частицах. Он умирал, крича, но в своей агонии стремился пожрать о нас. Поэтому мы отступали.<br>Рокот всё нарастал. Агония звезды, породившая Волну, продолжлась в пространстве. Мы были её частью.
";;{hypno_end};;;;;;
1;unknown;sandbox;green_travel_2;;;;;;;"Нас осталось совсем мало, и мы не можем поднять наш огромный корабль. Решено жертвовать. В непривычной атмосфере трудно ориентироваться. <br>Я закрыл глаза, чтобы услышать биение чужой жизни, и я слышал стук, подобный тому ритму, что составляет танец смерти и возрождения. Здесь были те, кто пел во славу Охотнику, как и я сам. Был выбор, кем кормить маяки — ими или нами. Жертва гласит: не будь жаден, жертвуй то, что дороже всего. Мы были слабы, мы жертвовали тех, иных.<br>Они мычали и стонали, выворачиваясь наизнанку, вылезая из кож, они взывали и молились, а мы танцевали и надрезали их. В их песне было воззвание к нашему общему спасению, но они просили лишь за себя.<br>Не удивительно, верно?
";;{hypno_end};;;;;;
1;unknown;sandbox;green_travel_3;;;;;;;Явление его было громовым и страшным. Острова сотрясались, твердь дрожала, пространство выходило из берегов. В гневе, он смял нас, разбросав. Так каждый из нас должен был теперь вернуться один, через долгий срок и в чужой реке. Таково было проклятие тем, кто не ел плоти жертв, которые мы принесли. <br>Те же, кто ел, стали новой жертвой этого перемещения. За каждого, кто продолжил путь, были взяты девять обречённых и благословлённых им. Так многие остались на месте, пронзённые на Столпах, а все остальные получили урок, о котором взывали.<br><br>Только один может выйти победителем.<br>Только один может остаться собой.<br>Только один возвращается.;;{hypno_end};;;;;;
1;unknown;sandbox;green_ilion_1;;;;;;;Смелая говорила устами её, и в её словах были вызов, насмешка и задор.<br><br>“Мир строится на противостоянии.<br>Всё время есть сильный и все остальные, слабые. Возможно воспринимать слабость за противостоящую силу, обеспечивающую равновесность системы. Бой идёт непрерывно, и всякий раз, проигрывая, ты отдаляешься от истины, доступной только тому, кто смотрит с высоты своих достижений. <br>Представь себе лестницу, одну единственную в мире хаоса и борьбы, лестницу ведущую на вершину. Именно с вершины башни ты можешь увидеть мир таким, каким он был создан, узнать, как управлять им. Поэтому, по дороге к вершине другие алкающие истины и власти, захотят остановить тебя. Сколько бы их ни было, это другие, они на другой стороне. <br>Так же и с процессами, структурами, созданным и задуманным. Есть твоя сторона, то, что у тебя под контролем. И другая. Вы все движетесь по лестнице Башни, но дойдёт только один.<br>Выбрав меня, ты сможешь узнать суть чужой слабости и суть своей силы, тогда дверь на Башне в конце лестницы откроется для тебя”<br><br>Я засмеялся. Я не ответил ей ничего, ведь она была на другой стороне.;;{hypno_end};;;;;;
1;unknown;sandbox;green_ilion_2;;;;;;;"Мы встретились вновь у ворот древнего города, и Смелая сказала: “Те, кто сильны, сильнее тем, что знают, где сила, а сила на твоей стороне”. Я знал, что сегодня сражу любого.<br>Открылись ворота Города, и из них стали выходить одна за другой дружины наших врагов и их союзников. С громким криком шли они, подобно вереницам журавлей во время перелета. Мы же приближались в грозном молчании. Облака пыли закрывали все поле.<br>Когда войска выстроились друг против друга, я вызвал на поединок мужа Э., правом полководца, и было решено с мужем её, что тот, кто победит, за тем и останется поле боя, иным же воинам сражаться не надлежало.<br>Мы вооружились и вышли на место поединка, потрясая оружием. Грозно блистали наши взоры, в них ярким пламенем горела ненависть друг к другу. Мой противник взмахнул рукой, и тонкий всполох вонзился в щит моей воли, но я был готов, и устоял. Тогда и я сам сосредоточился на ударе и со всей силы нанёс его, пробив щит противника и всё больше вдавливая его в землю. Он был поражён моей силе, она бурлила во мне, и я душил его, наслаждаясь его муками. Но тогда юная дочь пришла на помощь своему отцу, укрыв его в тёмном облаке огня и дыма. Снова она всё перепутала, но я уже привык.<br><br>Не суждено было в этот день окончится битве.<br><br>Когда бой был окончен, Смелая вновь явилась мне и сказала: “Человек, испивший могущества, возвышающего его над другими людьми, волей-неволей привыкает к своей силе. И когда теряет эту силу – ощущение такое, будто он остался с одной рукой или же потерял возможность двигаться – вроде живёт, но ощущение неполноценности не оставляет его ни на минуту”. В ту ночь она делила со мной ложе.<br>Поутру я шагал бодро и уверенно, будто у меня была какая-то цель. Я вдруг почувствовал, как оковы упали, как сдвинулась завеса, скрывавшая от меня красоты мира. Теплый воздух воодушевлял меня; я чувствовал невероятный прилив сил, мурашки пробегали по спине, и колени дрожали. Таинственный ритм отзывался в моём дыхании и шагах, я словно парил, мне чудилось, будто неизвестный фокусник, дергая за невидимые ниточки, управляет моей жизнью. И я был согласен, и видел в этом великое счастье.";;{hypno_end};;;;;;
1;unknown;sandbox;green_ilion_3;;;;;;;"Я задал Смелой вопрос о том, откуда она привела свои корабли и войско фантасмагорических то ли ящеров то ли минотавров, танцующих перед каждым сражением. Она отвечала, благоволя мне и думая, что её рассказ побудит меня согласиться с её ликом Э.<br>

“Неспящие слепцы. Их земля покрыта растениями, а под ней - лабиринты. Великая Бессмысленная Бездна. Корни деревьев и трав повторяют очертания друг друга, и в каждом дереве, на коре - карта расположения всех других. Самые большие деревья - маяки.

Вся жизнь разумна, сражается за территорию. Те, о ком ты спрашиваешь, выигрывают раз за разом. Они выжигают лес, чтобы танцевать на пепле и расчищать лабиринты, но лес вырастает вновь, наступает, вместе с тварями. Каждый раз, когда горит маяк, эти глупцы только становятся дальше от меня, но мне всё равно.

Их малахитовый флот, огромные твари с бивнями, то ли живые, то ли созданные, - грозен. Из множества тех, кто чтит меня, я выбрала их за ярость и фанатизм.”

Ей было всё равно, и каждый раз, предлагая союз, она предлагала лишь свою победу, не мою. Но так была велика её сила, что я подчинялся ей, поднимаясь всё выше и выше по лестнице бытия. 

Ведь тот её и за неё, кто не словом своим, но деянием с ней согласился.
";;{hypno_end};;;;;;
1;unknown;sandbox;green_ships_1;;;;;;;Остатки флота ждут тех, кто останется жив после священной войны. Мы жили в этих домах, мы умирали в них, мы на них уйдём. Это дома и надёжные суда, которые унесут нас к новому берегу, который мы завоюем. Самый высокий, огромный, Мрмк, - теперь мой дом. Наклонные прочные стены с малахитовыми переливами, внутри которых разместились шесть гладкоствольных и четыре нарезных орудия. Два перекрестия — полосы меди, крепят борта. Гигантский бивень, на который будут насажены те, кто пойдёт против, торчит из носа.<br>Эта рыба умеет плыть против течения. Я поведу свой корабль к новым берегам.;;{hypno_end};;;;;;
