print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;common;adams;entry_birth;;;;;;;История моей жизни началась в городе Брейнтри, что в провинции Массачусетс-Бэй. Я рос в полной и даже счастливой семье, мои родители не просто уважали, но и по-настоящему любили друг друга. Моя мать была выдающимся медиком и воспитывала меня, а отец служил конгрегационалистским дьяконом, занимался фермерством и состоял в милиции в звании лейтенанта.;Кого же из них я ценил больше? Мать? Или отца?;{comm}Мать{ecomm}{say}Во всех своих делах я всегда пристально прислушивался ко мнению матери, которая любила и опекала меня. В конце концов, кто, как не мать, всегда желает самого лучшего своим детям?{said}Ступай {page:beth_looser}{3mm}{comm}Отца{ecomm}{say}Мой отец всегда давал мне мудрые советы, стараясь научить меня здраво и взвешенно оценивать всё, что происходит вокруг, соизмеряя это как с наукой, так и с этикой.{said}Иди {page:self_or_father};{if:$sack->has('B')}Не согласен с Гипнотизером? Считаешь, что его выбор плох? Хочешь жить своим умом?{1mm}Ты <b>можешь явно возразить</b> Гипнотизеру «но я поступлю умнее» и <b>выбрать другую команду</b>.{endif};;;;;
1;common;adams;beth_looser;;; -B, +RR;;$sack->add('RR')->drop('B');;С самого раннего детства я проявлял интерес к врачеванию, и, будучи подростком понял, что хочу стать врачом. Это очень обрадовало мою маму! Она любила меня и, разумеется, одобрила мой выбор. А затем, когда я сам уже стал работать, она подыскала мне чудную невесту — Элизабет. Я влюбился с первого взгляда и с радостью взял её в жёны. Сейчас мы живём отдельно, у нас есть дети, а недавно появился первый внук… И я могу сказать, что я прожил простую, но счастливую жизнь.;;{awake:red_1};;;;;;
1;common;adams;self_or_father;;; +B;;$sack->add('B');;Отец всегда принимал мудрые, взвешенные решения. Он рекомендовал мне пойти учиться, и я много занимался, а венцом моего образования стал Гарвард. Обучившись юриспруденции, я вернулся домой. Теперь передо мной встал вопрос — кем стать.;Пойти ли мне по стопам отца и принять сан священника? Или же быть правоведом?;{comm}Стать священником{ecomm}{say}Отцовский пример всегда был важен для меня, и мне бы хотелось полностью повторить его путь, став столь же уважаемым в обществе человеком.{said}Иди {page:beth_prist}{3mm}{comm}Стать правоведом{ecomm}{say}Благодаря отцовским советам мне удалось найти собственный путь в жизни. Мои интересы лежат в области юриспруденции.{said}Иди {page:lawyer};Не согласен с Гипнотизером? Считаешь, что его выбор плох? Хочешь жить своим умом?{1mm}Тогда <b>можешь явно возразить</b> Гипнотизеру «но я поступлю умнее» и <b>выбрать другую команду</b>.;;;;;
1;common;adams;beth_prist;;; -B, +RR;;$sack->add('RR')->drop('B');;Итак, моя жизнь продолжалась, и вскоре у меня уже был свой приход в той же провинции. Женился я поздно, но моя Элизабет всегда ценила меня и была рядом в самые сложные моменты моей жизни. На закате своих дней я не жалел ни о чём.;;{awake:blue_1};;;;;;
1;common;adams;lawyer;;; +B;;$sack->add('B');;Это был мудрый выбор. Я начал строить карьеру и работать в Бостоне. Сперва это была небольшая адвокатская контора, которая дала мне первый опыт. Я убедился, что юриспруденция играет огромную роль в жизни людей, в жизни всего общества. Я много работал, чтобы создать себе хорошую репутацию, и в какой-то момент мой труд стал приносить ощутимые плоды...;;Иди {page:incident};;;;;;
1;common;adams;incident;;;;;;;...Меж тем в городе начинало возрастать недовольство текущим положением дел в отношениях с Британией и гнетущей обстановкой. Вводились новые налоговые сборы и пошлины...<br/>Я с тревогой ожидал, чем может это окончиться, и наконец человеческое недовольство колониальной налоговой политикой со стороны метрополии превысило все границы. Морозным мартовским утром произошло кровавое столкновение горожан с английскими солдатами. Британцы начали стрелять по безоружной толпе, и в ходе стычки погибло пять граждан, солдаты застрелили трех и ранили одиннадцать бостонцев, двое из которых не смогли оправиться от ран и умерли.<br/>В этот день передо мной встал нелёгкий выбор. Я раздумывал, насколько несовершенен закон и стоит ли его менять? Самоценна ли жизнь отдельного человека и стоит ли рисковать ею для блага общества? Или, быть может, правительство должно обеспечивать соблюдение всех своих законов?;Что же мне решить?;{comm}Закон несовершенен, его надо менять{ecomm}{say}Наша первостепенная задача - усовершенствовать правовую систему так, чтобы она стала более независимой и гибкой.{said}Иди {page:law}{3mm}{comm}Правительство должно обеспечивать соблюдение законов{ecomm}{say}Применение силы и демонстрация власти - один из способов власть осуществлять. Власть имеет право на насилие, это её неотъемлемое свойство.{said}Иди {page:state}{3mm}{comm}Жизнь самоценна{ecomm}{say}Жизнь человека - самое ценное, что можно себе представить. Ничто не стоит того, чтобы жертвовать человеком.{said}Иди {page:beth_lawyer};Не согласен с Гипнотизером? Считаешь, что его выбор плох? Хочешь жить своим умом?{1mm}Тогда <b>можешь явно возразить</b> Гипнотизеру «но я поступлю умнее» и <b>выбрать другую команду</b>.;;;;;
1;common;adams;law;;; +BB;;$sack->add('BB');;Система любого законодательства и все институты, которые выросли на ней, невероятно сложны. На каждом этапе регулирования властями жизни общества необходимо просчитывать множество вариантов развития событий. Очевидно, что не всё может быть учтено, особенно — человеческий фактор, который является самой опасной переменной. На каждом этапе система становится всё ветвистее и сложнее, а значит, возникает больше слабых мест, в которых человеческий фактор будет играть значительно большую роль. Наша первостепенная задача — усовершенствовать систему управления и регулирования. Причём улучшить её таким образом, чтобы не сократить количество степеней свободы для человека, живущего в системе, но уменьшить, а в идеале — искоренить — слабые точки. Закон нуждается в совершенствовании, чтобы в один день один поступок не изменил уклад всего государства.;;Осмыслив это, иди {page:main_choice1};;;;;;
1;common;adams;state;;; +G;;$sack->add('G');;Силовые структуры в правительстве играют гораздо большую роль, чем представляет рядовой гражданин и подданный. В частности, во время волнений и внутренних столкновений их необходимо применять для подавления восстаний. Правительство, которое не может обеспечить своевременной оперативной реакции на острые события, рискует быть свергнутым, причём очень быстро. Существуют случаи, когда необходимо применять силу против невооружённых людей. Это право власти, которое правительство осуществляет во благо народа, дающего ему это право, и каждый человек, стоящий у власти, должен понимать и принимать это как данность.;;Осознав это, иди {page:main_choice1};;;;;;
1;common;adams;main_choice1;;;;;;;После столкновений с жителями города солдаты попали под суд. Мои коллеги-юристы очень негативно относились к их поступку, и энтузиазма встать на защиту англичан никто не испытывал. Более того, против этих солдат было общественное мнение.<br/>У меня возник выбор: взяться ли за это рискованное дело или отказаться от него и признать, что законник — в первую очередь слуга общества, и не должен идти против него. Что же мне решить? ;Взяться ли защищать англичан? Или не рисковать репутацией и не браться за это дело?;{comm}Защищать англичан{ecomm}{say}Быть на стороне закона — мой долг, судить по закону — мой долг. Защищать по закону англичан, не взирая на мнение общественности — сложная, опасная, но крайне интересная задача, которую я намерен решить разумно и чётко.{said}Иди {page:court_strategy}{3mm}{comm}Не рисковать, не браться за дело{ecomm}{say}Общественное мнение имеет значимую власть, которую опасно недооценивать, — так я рассудил, решив отказаться от этого рискованного дела.{said}Иди {page:beth_lawyer};Не согласен с Гипнотизером? Считаешь, что его выбор плох? Хочешь жить своим умом?{1mm}Тогда <b>можешь явно возразить</b> Гипнотизеру «но я поступлю умнее» и <b>выбрать другую команду</b>.;;;;;
1;common;adams;beth_lawyer;;;;;$sack->swap('B', 'RRRR');;Я всегда ценил жизнь как таковую, со всеми её перипетиями и трудностями. Я старался искать положительные моменты во многом, быть ближе к людям, лучше их понимать. Жить в Бостоне оказалось интересно даже после всех потрясений, которые претерпел город. Я заработал достаточно денег, чтобы достойно обеспечить семью, и, наконец, женился. После того, как моя жена Элизабет родила мне первого сына, мы решили уехать из города и вернулись к моим родителям. Я вкладывался в работу и в детей, делая сделать для них всё, что в моих силах, как когда-то мой отец всё сделал для меня.;;{awake:red_1};;;;;;
1;common;adams;court_strategy;;;;;;;Итак, я взялся за рискованную защиту англичан, и это был мудрый выбор! Сторона обвинения предъявляла неоспоримые факты и не стеснялась давить на человеческое сострадание присяжных, перечисляя имена погибших и членов их семей раз за разом. Я понял, что мне придётся нелегко. Обвинитель хорошо подготовился, и мне было необходимо молниеносно внести корректировки в подготовленную мной стратегию.<br/>Я стоял перед выбором: должен ли я опираться на факты и букву закона? Или пришло время надавить на жалость и напомнить присяжным, что солдаты — тоже люди? Или же мне следует упирать на основы государственного догмата?;Что же мне делать?;{comm}Надавить на жалость{ecomm}{say}Нельзя недооценивать роль человеческого фактора, когда имеешь дело с судом присяжных. Я решил воспользоваться стратегией давления на жалость.{said}Иди {page:mercy}{3mm}{comm}Напомнить про государственный догмат{ecomm}{say}Государство — это самодостаточная ценность. Государство не только даёт нам права и свободы, но и вправе требовать от нас по букве закона. Пора напомнить всем об этом.{said}Иди {page:state_forever}{3mm}{comm}Опираться на факты и следовать букве закона{ecomm}{say}Самое важное — это факты. Если опираться только на них и не переступать черты законности в интерпретациях, то дело разрешиться наиболее справедливым образом. В этом и состоит долг судьи!{said}Иди {page:letter_of_the_law};Не согласен с Гипнотизером? Считаешь, что его выбор плох? Хочешь жить своим умом?{1mm}Тогда <b>можешь явно возразить</b> Гипнотизеру «но я поступлю умнее» и <b>выбрать другую команду</b>.;;;;;
1;common;adams;mercy;;;;;$sack->swap('G', 'RRR');;Я решил действовать, как и обвинитель, рассказав присяжным о том, что у каждого из подсудимых тоже есть семьи и дети, но это не произвело должного впечатления. Послышались выкрики из зала, самый громкий из которых гласил: {quot}Но они убили наших детей!{quot}. Кричала женщина. Присяжные вынесли своё решение очень быстро — и оно по всем пунктам удовлетворяло требования обвинения. Резонанс в обществе, который вызвал этот судебный процесс, имел колоссальный размах. Дело было не просто проиграно, я провалился с таким треском, что мне потребовалось много лет, чтобы восстановить свою репутацию, но до конца это мне так и не удалось…;;{awake:red_2};;;;;;
1;common;adams;state_forever;;; +BG;;$sack->add('BG');;Когда настал черёд моего выступления, я напомнил всем собравшимся о том, для чего нам был дан государственный догмат, и о том, что каждый должен следовать ему, в том числе, и солдат. Я не мог не упомянуть корону и личность правящего монарха — Георга III, много говорил об английской конституции и подчёркивал её сильные стороны. В итоге присяжные приняли мои аргументы и вынесли оправдательный приговор англичанам, но моя приверженность короне поддержки в обществе не нашла. Но зато я получил предложение о работе в Лондоне, от которого не стал отказываться. Уже летом я переплыл Атлантику и поселился на Туманном Альбионе, где и по сей день служу в Ассамблее королевских юристов...;;{awake:blue_2};;;;;;
1;common;adams;letter_of_the_law;;; +BB;;$sack->add('BB');;С первых слов моей речи, когда я стал излагать факты перед судьёй и присяжными, когда я цитировал выдержки из законов, я понял, насколько мудрый выбор я сделал! Я рассказал о том, что несмотря на безоружность толпы, это нисколько не умаляло её опасности и ни в коем случае не отменяло самого факта агрессии и атаки государственного здания. Что же оставалось делать солдатам, как не исполнять долг? Возможно, если бы они не применили оружия, то жертв было бы гораздо больше, а англичане сейчас бы предстали бы перед трибуналом за неисполнение своих непосредственных обязанностей. Кроме того, перед нами было семеро обвиняемых, несмотря на то, что по факту только двое из них успели открыть огонь… И сделав это, уберегли город от ещё более кровавых волнений и других человеческих жертв.<br/>Несмотря на напряжённую обстановку, присяжные решили оправдать солдат, и даже общественность посмотрела на инцидент с другой стороны.;;Отправляйся {page:self_or_serve};;;;;;
1;common;adams;self_or_serve;;;;;;;После блестящей победы моя карьера стремительно пошла в гору, открылись новые возможности и перспективы. Я стал уважаемым человеком в обществе и в этот момент получил привлекательное предложение от одного небезызвестного бостонского политика и очень весомого человека — поступить к нему на юридическую службу. Я всерьёз задумался над его предложением, поскольку альтернативой такому пути наверх было продолжение собственной юридической практики в Бостоне, что было сопряжено с рядом сложностей. Что же мне выбрать? ;Должен ли я принять предложение политика? Или мне следует отклонить его?;{comm}Принять предложение{ecomm}{say}Моя победа была оценена по достоинству, и я получил предложение по-настоящему выгодное. Отказываться я не видел смысла.{said}Иди {page:politican}{3mm}{comm}Отклонить его{ecomm}{say}Мой путь и моя самостоятельность дороже мне, чем предложение разделить путь чужой и стать частью чужого дела.{said}Иди {page:self_made};Не согласен с Гипнотизером? Считаешь, что его выбор плох? Хочешь жить своим умом?{1mm}Тогда <b>можешь явно возразить</b> Гипнотизеру «но я поступлю умнее» и <b>выбрать другую команду</b>.;;;;;
