print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;common;arthur;tower_head;;;;;$heap->add('RRR');;Крепость, дворец, хранилище королевских драгоценностей, арсенал, монетный двор, обсерватория, тюрьма, зоопарк. Я стою на площади, глядя на Тауэр. У стен какой-то ремонт. Видимо, меняют трубы или иные коммуникации. Подходы к башне перегорожены невысоким забором. На нём сидит ворон, и я любуюсь птицей. Внезапно птица взлетает, громко каркая.{3mm}Кто-то, скрытый в тенях, под алой маской преступника, выходит из канавы и бросает лопату на землю. В руках у него что-то похожее на отрезанную полуразложившуюся голову, насколько видно с того места, где я стою.{3mm}— Простите, это что, голова? — как будто невзначай интересуюсь я.<br>— Да, — отвечает человек под маской, почёсывая лоб. — Я вырыл голову Брана, и теперь сам защищу Британию!{3mm}Громко каркают вороны. Похоже, имеет место быть вопиющее нарушение общественного порядка и посягательство на сами основы Британского могущества! ;Следует ли мне немедленно звать полицию или предложить человеку в маске свою искреннюю помощь в деле защиты Британии и вассальную присягу? Или же мне стоит поддаться зову сомнений и поинтересоваться, как конкретно незнакомец собирается защищать Британию вместо короля Брана?;"{comm}Воронохульство! Срочно звать полицию!{ecomm} Иди {page:raven_blasphemy}{3mm} {comm}Он без меня не справится! Необходимо помочь.{ecomm} Иди {page:be_a_knight}{3mm} {comm}Но как он собирается действовать?!{ecomm} Иди {page:but_how}
";;;;;;
1;common;arthur;raven_blasphemy;;;;;;;Передо мной наверняка кто-то из террористической группировки “Рыцарей Круглого Стола”, ведь только они носят красные маски в наше время! Я быстро разворачиваюсь и ищу глазами синюю телефонную будку, чтобы немедленно вызвать полицию. Проследив направление моего взгляда, мужчина в маске засовывает голову Брана в рюкзак, ловко выпрыгивает из вырытой им ямы и скрывается в темноте. Кажется, это было преступление века! Последних двенадцати веков! Я поднимаю телефонную трубку и...просыпаюсь.;;{hypno_end};;;;;;
1;common;arthur;but_how;;;;;$heap->swap('R', 'B');;Моя левая бровь скептически ползёт вверх:<br>— Простите, сэр, но что именно вы собираетесь предпринять? — спрашиваю я. — У Короля-Ворона и его венценосной сестры был план. Они оградил Британию девятью защитными ритуалами, это все знают. Вырывая его голову из-под Тауэра и заявляя своё право, что вы предлагаете взамен?<br>Человек в маске не торопится с ответом, и я наблюдаю, как он запихивает мёртвую голову Брана к себе в рюкзак. Наконец, затянув стяжки, он отвечает:<br>— Не беспокойся, друг, план у меня есть. Если бы его не было, я бы не стал делать то, что делаю, верно? — в голосе слышится благородство, произношение мужчины чистое, хотя он и старается сделать голос повульгарнее. — Если хочешь знать подробности, то пойдём со мной: ты станешь моим верным рыцарем, и мы вместе будем заботиться о нашей стране. Или сдашь меня полиции?;Что же делать? Сдать этого психа полиции? Стать его верным рыцарем? Или дальше расспрашивать про детали его плана?;"{comm}Сдать полиции{ecomm} Иди {page:raven_blasphemy}{3mm} {comm}Стать верным рыцарем{ecomm} Иди {page:be_a_knight}{3mm} {comm}Ещё чуть побольше разузнать про план защиты Британии{ecomm} Иди {page:i_am_the_king}
";;;;;;
1;common;arthur;i_am_the_king;;;;;$heap->swap('R', 'B');;Ещё более удивляясь, я всё же решаюсь задать следующий вопрос:<br>— А какова всё-таки вероятность того, что вы действительно знаете, о чём говорите, сэр?<br>Вместо ответа мужчина снял с себя маску и величественно произнёс на староанглийском:<br>— It is I, Arthur, son of Uther Pendragon, from the castle of Camelot. King of the Britons, defeater of the Saxons, Sovereign of all England! Конечно, я знаю, что говорю! Когда я спал на острове Авалон, а колдуньи лечили мои раны после битвы у Каммлане, я познал мудрость былых времён. Поэтому, когда прозвонил Колокол, я пришёл защитить Британию от беды. И вот я здесь. И что я вижу? Какие-то столпы, излучающие сапфировый свет мудрости, какие-то коты чешуйчатые с молниемётами. Университетов понастроили вместо монастырей! Куда это годится? Где в этом мире место благородству и подвигам, искреннему служению и верности?.. Всё, всё пошло прахом...{3mm}Снова натянув маску на лицо, мужчина начинает быстро закапывать вырытую яму, лихо кидая отвал, как будто он всё детство провёл в археологических экспедициях.;Время для меня решить, что же делать со всей этой информацией. Согласиться ли с ним и стать его рыцарем? Или потребовать доказательств?;{comm}Стать рыцарем{ecomm}{say}Я только что узрел Истинного Короля. О чём я вообще думаю? Да я с детства мечтал быть рыцарем!{said} Иди {page:be_a_knight}{3mm} {comm}Требовать доказательств{ecomm}{say}Сомнения гложут меня. Речь, конечно, была проникновенной, но неужели достаточно просто стоя под Тауэром с мёртвой головой короля Брана в рюкзаке сказать несколько высокопарных слов, чтобы считаться Артуром Пендрагоном?! Хотелось бы выразить сомнения в этом.{said} Иди {page:king_proof};;;;;;
1;common;arthur;king_proof;;;;;$heap->swap('R', 'B');;— Какая актуальная, свежая шутка. Прямо-таки шутка на фунт-с-Фоссетом! Только вот почему-то я продолжаю крайне сомневаться в том, что вы говорите... сэр, — отвечаю я на тираду мужчины в красной маске.{3mm}Мужчина отрывается от копания и внимательно смотрит на меня несколько секунд, после чего задумчиво говорит:<br>— Был когда-то у меня при дворе один рыцарь, постоянно шутил смешные шутки. Очень я его за это любил. С одной стороны, ты откровенно дерзишь, но с другой дерзость не есть порок, если сочетается с верностью. Последний раз спрашиваю: будешь ли ты моим рыцарем?;"И вот я стою возле Тауэра, напротив меня какой-то мужик в красной маске яму зарывает, и я  думаю, буду я его рыцарем, или все-таки сообщу в полицию?
";{comm}Звать полицию{ecomm}{say}Каким еще рыцарем? Да он совсем двинулся. Какой-то асоциальный элемент. Нужно срочно звать Полицию Разума!{said} Иди {page:raven_blasphemy} {3mm}{comm}Да, готов!{ecomm}{say}Все происходящее настолько абсурдно, что я готов стать рыцарем!{said} Иди {page:be_a_knight};;;;;;
1;common;arthur;holy_bar;;;;;;;Манчестер — крупный промышленный центр, и жизнь тут кипит. С тех пор как был введён сухой закон, приходится крутиться, когда хочешь пропустить стаканчик-другой. Я, например, знаю про один шкаф… Если быть точным, это кабинка для исповеди в Манчестерском Соборе. Нужно зайти, немного нагнуться и, отодвинув, скамейку, пролезть в стенную нишу. Там располагается клуб “Святой Грааль”, прямо в подвале. Им владеет мой отец, герцог Манчестеский. К сожалению, не я старший сын в семье. Сейчас я собираюсь пропустить стаканчик-другой старого доброго виски, благо теперь все подпольные ирландские заводы работают во славу Британии.{3mm}Мне дают выпить прямо из Грааля, его тут по кругу передают. Я смеюсь. Раздумываю, что дальше.;" Стоит ли сразу отправиться петь, танцевать и славить бога за славный вечер? Или же нужно исповедоваться перед тем, как я улечу в сапфировый космос алкогольного угара?

";{comm}Петь и веселиться!{ecomm}Иди {page:disco}{3mm} {comm}Сначала исповедаться!{ecomm} Иди {page:communion};;;;;;
1;common;arthur;disco;;;;;$sack->add('RR');;Я решаю сразу отправиться в мир, полный приключений. Снова испив драгоценной влаги из Грааля, я кружусь в танце, и уносит, уносит, уносит, уносит и уносит, уносит, уносит, уносит и уносит, уносит, уносит меня.{3mm}Надеюсь, я наутро вспомню, кто я.;;{hypno_end};;;;;;
1;common;arthur;communion;;;;;;;Я вылезаю обратно в исповедальню и звоню в колокольчик. Через некоторое время дверь открывается, и входит отец Винсент. Тощий, длинный, белобрысый викарий. Поправляет крест на груди, одёргивает чёрную робу. Кажется, он только что пришёл. Что-то вид у него унылый. Надо что-нибудь сказать, а то молчание затянулось.;"Но что именно? Сказать, что мне надо исповедаться и причаститься! Или предложить ему повеселиться и выпить?
";{comm}Исповедаться{ecomm}{say}— Отец Винсент, мне нужна ваша помощь как духовного лица. Я хочу, чтобы вы меня исповедовали, — смиренно говорю я.{said} Отправляйся исповедоваться {page:shrift}{3mm} {comm}Предложить выпить{ecomm}{say}— Отец Винсент, что-то вы приуныли, — говорю я, смотря на викария. — Давайте-ка немного накатим и возвеселимся во славу Божию!<br>— Не откажусь! — сдержанно отзывается он.{said}Иди {page:vicary_drunk};;;;;;
1;common;arthur;vicary_drunk;;;;;$sack->add('RR');;"Перегородка исповедальни отодвигается, и я просовываю викарию фляжку. Отец Винсент отхлёбывает и благодарит меня. Завязывается разговор о погоде. Наконец, мы решаем оставить “Святой Грааль” и пойти в “Деву Марию” в собор Богородицы. В отличие от Грааля, там не только крепкое и коктейли, а подают пивко. 
";;{hypno_end};;;;;;
1;common;arthur;shrift;;;;;$heap->add('RRR');;— Слушаю тебя, сын мой, — отвечает викарий стандартную фразу.<br>— Отец Винсент! Сил моих больше нет! — начинаю ныть я. — Я хочу убить своего отца, но это не будет иметь никакого смысла, потому что до меня в очереди наследования ещё два моих брата, а ты, Винсент, сам знаешь, они один другого гаже. Моя мать спит с моим младшим братом и своими двумя хорьками по очереди. Я не могу этого больше выносить, и хочу убить её, её хорьков и её нахального любовника. Помимо того я хочу лимузин, как у моего брата, но папа не покупает мне такой же, будь он проклят!!!{3mm}Это достаточно стандартная моя исповедь, поэтому викарий, ничуть не удивившись, оттарабанивает всё, что положено в таких случаях, а завершает свою речь так:<br>...поскольку мы оба знаем, что ты лентяй, пьяница и развратник, то я назначу епитимью тебе по душе. — Викарий понизил голос,.— Отправляйся ко двору Короля Артура и служи ему верой и правдой как рыцарь, как и подобает герцогскому сыну.{3mm}Признаюсь, я немного в растерянности.;"Стоит ли мне принять епитимью и отправиться ко двору Короля Артура, известного оппортуниста и оппозиционера?<br>Или же стоит предложить викарию выпить, отшутившись и поблагодарив за исповедь? Или, ничего не сказав, пропустить момент с епитимьей (грехи-то уже отпущены!) и вернуться в бар, чтобы петь, танцевать и славить бога?
";{comm}Отправиться ко двору{ecomm} Иди {page:be_a_knight}{3mm} {comm}Предложить викарию выпить{ecomm} Иди {page:vicary_drunk}{3mm} {comm}Пойти в бар {ecomm} Иди {page:disco};;;;;;
