print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;common;black_beard;entry_bb;;;;;;;Я стою на пирсе и вдыхаю приятный морской воздух. Как же красив залив в предзакатное время! На горизонте виднеются паруса фрегатов, которые вот-вот готовы причалить или же наоборот, отправиться в далёкое плавание. Моя жена Элизабет осталась на Барбадосе, она возглавляет целое хозяйство сахарной плантации, где работают десятки и сотни заключенных, и ждёт моего возвращения. Я улыбаюсь, глядя на свой огромный фрегат, равного по скорости которому нет во всём Карибском море…  Но всё ли верно в том, что я говорю? Я оглядываю себя.;;<span class={quot}todos{quot} style={quot}margin-left: 0mm{quot}>Кто я? Морской капитан? Или я — плантатор? А может, я заключенный?</span>{3mm}{comm}Я владелец плантации{ecomm}{say}Фрегат, мне, возможно, и хотелось в детстве, но мы же все понимаем, что по-настоящему приносят доход только рабовладельческое хозяйство, сахар и хлопок. Я владелец огромной плантации на самой плодородной земле Восточного побережья Америки! Здесь сосредоточена настоящая власть! Деньги, связи, политика. Тогда и только тогда ты сможешь управлять миром, да так, что построишь его под себя, когда станешь владельцем земли! А все эти авантюры, мореплавания, пиратство… Пф! Удел тех, кто не может найти себе достойное место в этой жизни, поэтому довольствуется тем, что есть.{said}Отправляйся подальше от этих оборванцев {page:pipe/first_contact}{3mm}{comm}Я капитан{ecomm}{say}О да, всё так, я капитан и морской волк! Аррр! Арррр! Аррррр!!!!!{said}С попутным ветром — {page:captain}{3mm}{comm}Я заключенный{ecomm}{say}Да, такова судьба, и с ней ничего не поделаешь. Меня лишили свободы. Теперь с утра до ночи я работаю на плантации, а к ночи возвращаюсь в свою камеру. И еще одно... я не заключенный, я заключенная{said}Возвращайся в свою камеру {page:witches/prison}{3mm};;;;;;
1;common;black_beard;captain;;League of Legends - Bildgewater theme.mp3;;;;;Отличный вечер, чтобы шумно покутить с командой в баре! Йо-хо-хо! Решительные и рисковые морские волки — вот кто собирается в этом злачном месте! Мы полгода не сходили на берег, а сегодня у нас наконец-то море денег, и есть время, чтобы насладиться жизнью! Моя команда требует веселья.;Ну так, что мы делаем, капитан? Гуляем на полную катушку? Или развлекаемся с женщинами, но без выпивки? Или, может быть, никаких женщин, зато утолим жажду ромом?;{comm}Гуляем по-полной!{ecomm}{say}— Море — для дела, берег — для угара кутежа! Когда ещё воротимся мы в бухту в следующий раз?! Гуляем, парни!!! — говорю я своей команде.{said}Отправляйся гулять {page:party_for_everybody}{3mm}{comm}Никаких баб, но море рома!{ecomm}{say}— Бабы — приносят вред! Они не только заливают в ваши уши яд и желчь, заражая ваш ум, но и заражают ваше тело, пока вы заливаете в них! Так что, парни, бухайте сколько вам угодно, но не суйте чего ни попадя в грязные щёлки местных шлюх, а то, как выйдём в море — не оберёмся бед! — обращаюсь я к морякам.{said}Дорога по местным кабакам лежит {page:just_drinking}{3mm}{comm}Никакого бухла, зато куча баб!{ecomm}{say}— Ром окончательно выжжет ваши и так невеликие мозги, дорогие мои бодрые дебилы! Можете трахнуть хоть весь Барбадос, но чтобы ни капли спиртного! — прикрикиваю я грозно на своих парней.{said}Вперед, по борделям, {page:just_fucking};;;;;;
1;common;black_beard;party_for_everybody;;; +2R, -1 B;;$sack->add('RR')->drop('B');;Какой же вдохновляющий гул одобрения я слышу от своей верной команды! Неудивительно! Что ж, пусть они развлекутся — мы давно не были на суше и здесь, в этом баре. Сегодня можно всё! Потом, на корабле, они снова с охотой вольются в повседневную работу и восстановят дисциплину. Да и не дам я им быть расхлябанными. <br>— Эй, кэп! — вдруг раздается выкрик одного матроса. — А не пора ли поделить добычу с прошлого похода? По-честному, как положено? А то бабы-то местные, вишь, большой и чистой любви не хотят, им денежки подавай! Да и кабатчики местные в долг нашему брату ни в жисть не поверят!<br>— Тебе что, нок-рея на голову упала? - разворачиваюсь я в сторону смельчака. — Как положено — это значит, по договору! А по договору — это значит, через месяц все поделим! Ничего, вы последние месяцы тоже не на паперти стояли, золотишко по карманам есть!<br>— Ах ты хитрый дьявол! - завелся матрос. — Смотрите, ребята, вот ведь нарочно к концу срока бросит нас в какую-нибудь мясорубку, чтобы побольше нас пошло на корм рыбам, и чтобы можно было не платить!;Что мне теперь сделать? Показать матросу, кто здесь главный? Или уступить и разделить золото?;{comm}Поставить матроса на место{ecomm}{say}Парень, вероятно, забыл, кто тут капитан. Но я сейчас напомню!{said}Иди {page:no_rebel}{3mm}{comm}Подумать и согласиться с матросом{ecomm}{say}В целом, то, что говорит мне матрос — достаточно разумно. Все-таки пираты — не жиды-ростовщики, и если у них и есть какие-то сбережения, их вряд ли хватит на хороший кутеж.{said}Рассудив так, иди {page:agree_with_sailor}{3mm};;;;;;
1;common;black_beard;just_fucking;;;;;$sack->addRand('R', 'G');;— Пьяный моряк — зло и гибель всему кораблю! Не важно, что вы там и где — хоть служите юнгой торгового флота, хоть подвизаетесь боцманом пиратского фрегата! Я не позволю команде нажираться до такого состояния, чтобы они на суше чувствовали качку, как будто попали в белый шквал! Это, надеюсь, понятно? Мотайте на ус, молодёжь! Что?...Я, кажется, слышу особо умные возражения от тебя, матрос? А ну-ка, повтори!<br>— Ты, капитан, это, того, зарвался шибко! Мы цельные дни пашем как проклятые, а отдохнуть нам что, уже и не можно? На тебя ж пашем, глотки рвём, сам-то давно палубу драил? — было мне ответом.;Ну что, пора поставить матроса на место? Или стоит согласиться с его доводами?;{comm}Поставить на место{ecomm}{say}Парень, вероятно, забыл, кто тут капитан. Но я сейчас напомню!{said}Иди {page:no_rebel}{3mm}{comm}Подумать и согласиться с матросом{ecomm}{say}В целом, то, что говорит мне матрос — достаточно разумно. В конце концов, к выходу в море все успеют протрезветь, а на корабле так и так выпивать у нас не принято.{said}Рассудив так, иди {page:agree_with_sailor}{3mm};;;;;;
1;common;black_beard;just_drinking;;;;;$sack->add('RB');;— Ну нет, парни! Я, конечно, всё понимаю, все хотят кутить и веселиться! У вас на это есть целая ночь, море рома, денег и игральные кости! А кувыркаться с портовыми шлюхами — это вы бросьте! Занесут вам какую-нибудь заразу — ни за что не отмоетесь!.. — решительно заявляю я.<br>Да, команда, конечно, будет не очень довольна, они-то хотели оторваться на полную катушку. Но они мне ещё скажут спасибо, когда не подохнут от сифилиса!{3mm}Что началось! Стоило мне только запретить трахать всё, что движется, и пошло возмущение! Я повышаю голос, чтобы перекричать поднявшийся гвалт.<br>— Да, парни, я знаю, что без шлюх плохо. Да, я знаю, что на корабле нету баб!.. Но, вашу ж мать, трахать местных блядей — всё равно что отыметь крысу через горло!<br>— Знает он, знает он, мать его! Небось сам-то сейчас по шлюхам пойдёшь, а нам что делать? Друг с другом, что ли? Или, может, ты сам с парнями развлекаться горазд и нас подбиваешь?<br>— Что?!;И что ж мне теперь делать? Поставить матроса на место? Или пойти на мировую?;{comm}Поставить на место{ecomm}{say}Парень, вероятно, забыл, кто тут капитан. Но я сейчас напомню!{said}Решительно отправляйся {page:no_rebel}{3mm}{comm}Пойти на мировую{ecomm}{say}В целом, то, что говорит мне матрос — достаточно разумно. В конце концов, в уютной жёнушке в тёплом домике опасностей-то куда больше, чем в старой доброй бляди!{said}Решив так, иди {page:agree_with_sailor}{3mm};;;;;;
1;common;black_beard;agree_with_sailor;;;;;;;— Ты язык-то попридержи, пока не вырвали тебе его с корнем, маловат ещё будешь! — гаркнул я на дерзкого матроса.<br>— Капитан! - вступил в разговор плечистый боцман, - у парня, конечно, язык что помело, но вопросы-то верные задает. Что на них ребятам ответишь?<br>— Ну хорошо, хорошо, раз хотите — пусть будет по-вашему, но смотрите мне! Отвечать потом, если вдруг что, сами будете, и молитесь, чтоб не головой! — пошёл я на перемирие и махнул рукой.<br>Да, мне пришлось согласиться с командой, но что же делать? Мне не нравятся их улыбочки и заносчивые взгляды, но, если на команду давить слишком сильно, им это может не понравиться. Ещё, глядишь, взбунтуются. Главное, чтобы матросы вдруг не решили, что нашли мое слабое место и могут в дальнейшем его использовать.;;Рассуждая так, ступай {page:bb_bad}{3mm};;;;;;
1;common;black_beard;no_rebel;;; +GG;;$sack->add('GG');;— Ах ты, сучий потрох, думаешь, если не на корабле, я вам спуск дам? Ну уж нет! Будешь неделю у меня палубу драить своими подштанниками!<br>Команда попритихла, увидев мою решительность. И правильно, нечего! Я вижу, что они как-то замялись и не очень-то уже уверенно смотрят на меня…;Ну что, доказать силой, кто тут капитан? Или моего слова достаточно?;{comm}Доказать силой{ecomm}{say}Слова не должны расходиться с делом, а на каждое действие найдётся противодействие. Слова сказаны. Время переходить к делу.{said}Отправляйся {page:kill_sailor}{3mm}{comm}Слова достаточно{ecomm}{say}Будет с них, им уже есть, над чем поразмыслить. Должны запомнить на будущее, что со мной шутки плохи. Не хочется мне, если честно, устраивать мордобой и начинать отдых с драки. Так не бывать этому! Нечего, припугну команду словом, они и так знают, кто есть кто… Хотя, конечно, могут и запомнить мне как слабину… но зато не затаят обиду! Так что — на том и порешим, и хватит об этом! Я сказал своё капитанское слово, и им придётся меня послушаться!{said}Иди {page:bb_bad}{3mm};Ты можешь не подчиниться Гипнотизеру и сам сделать выбор на этой странице!;;;;;
1;common;black_beard;kill_sailor;;;take: 5 rand, drop: R and B;;$sack->take('?????', '')->drop('RB')->pass($sack);;Что ж, кажется мне, без применения силы здесь не обойтись! <br>— А ну, ты, матрос! Иди сюда, хочешь поспорить, у кого длиннее сабля? Или больше кулаки? Придётся мне тебе начистить твою рожу, раз ты не понимаешь слов!.. — на этих словах я вынимаю саблю из ножен.{1mm}...Несколько взмахов — и вот уже шибко умный языкастый матрос валяется на полу с рассеченной головой.  Увидев, что я не разбрасываюсь пустыми угрозами и не шучу, команда присмирела...{1mm}Жаль, я потерял хорошего канонира... И еще пару-тройку матросов, которых я завтра как пить дать не досчитаюсь на борту. Но насрать! Я доказал, что я прав, и что власть над командой в моих руках. Теперь, когда проблема решена, можно и расслабиться!;;Теперь, восстановив порядок, можешь идти {page:bb_good}{3mm};;;;;;
1;common;black_beard;bb_bad;meet_bb.jpg;;;;;;Ром льётся рекой, а потолка даже не видно из-за трубочного дыма. Я пью и смеюсь в компании случайных знакомых. Внезапно в баре повисает звенящая тишина. Я смотрю на дверь и понимаю, почему. Сюда явился сам дьявол! Он высоченный, едва проходит в двери. В ярко-красной куртке и таких же ярко-красных штанах, голову его венчает чёрная шляпа… А лицо! Эти налитые кровью глаза будто пронзали каждого, кто стоит или сидит перед ним. Косматые волосы выбиваются из-под шляпы, а борода — густая, огромная и чернее смолы — росла от глаз и никогда не знала бритвы! Нас точно навестил сам морской дьявол, и имя ему — Чёрная Борода. <br>Я слыхал, ему всегда сопутствует Фортуна! Хотел бы я как-нибудь сойтись с ним поближе.;Что же мне делать? Предложить ему свою дружбу, как равный предлагает равному? Или использовать лесть и напроситься к нему, чтобы поучиться мореходству?;{comm}Предложить дружбу, как равный равному{ecomm}{say}Мы оба капитаны, и вместе сможем достичь большего.{said}{2mm}Иди {page:equality_bad}{3mm}{comm}Польстить и попроситься в ученики{ecomm}{say}Чёрная Борода — прославлен в этих морях, а я — нет. Пока что.{said}{2mm}Отправляйся {page:learning_bad}{3mm};НЕ согласен с Гипнотизером? Тогда крикни {quot}Карааамба!!!{quot}, явно возрази ему и сам прими решение — ты же пират!;;;;;
1;common;black_beard;learning_bad;learning.jpg;; -G;;$sack->drop('G');;Ну не могу же я упустить такой шанс! Я подхожу к Чёрной Бороде, пока остальные молча пялятся на живую легенду, как будто он восстал из ада прямо у них на глазах. Я признаюсь ему, насколько мне сильно улыбается удача, раз мы с ним встретились в этой дыре! <br>— Эх, капитан Чёрная Борода, я слышал, что ты любимец Фортуны, и говорят, что танцам с ней обучить нельзя. А мне почему-то кажется, что коли положишь глаз на кого, решишь его взять к себе, то и твоя судьба непременно устроится, и тот, кого обучать возьмёшься, не оплошает! — говорю я, — К чему я это всё? Ну не попусту же глотку драть, бери меня в ученики морехода! Буду тебе подручный, да ещё с командой, тебя вдвойне бояться будут, а я приказы исполнять. Глянь только на моих парней! Ну, что, берёшь меня в ученики?;;Чтобы узнать ответ Черной Бороды, иди {page:personal_student_bad}{3mm};;;;;;
