print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;common;bran;entry_shop;;;;;;;Моя библиотека. Десятки книг. Они остроумно расставлены по особенной мнемонической методике, хотя и без нее я никогда не забуду, где стоит тот или иной фолиант. Иногда я вижу сон, в котором кто-то переставил все книги в случайном порядке. Я ищу том (как правило, “Краткую историю леса” д-ра Гиббса), но он оказывается то под кроватью, то в уборной, то (и это самое пугающее) на две полки выше, чем ему полагается… Впрочем... Глупости. {3mm}Десятки томов. {3mm}Звучит не так впечатляюще как “тысячи тысяч”, но тысячи настоящих книг по магии вы не найдете на всей планете. Да, да, сэр! В наше время слишком часто путают магию и фокусничество. Но настоящая магия ничего общего не имеет с фокусами! Это наука. Точнейшая и труднейшая из всех. Я убежден, что в мире не найдется и двух дюжин людей, достаточно умных, чтобы приступить к изучению даже начальных азов магии, не говоря уже о том, чтобы пойти дальше! Они думают, что магию можно творить щелчком пальцев! {3mm}Вот уж нет. Постигнуть магию — это тихий, кропотливый многолетний труд. По-настоящему  п о н я т ь  эти десятки томов, провести тысячи тысяч расчетов и, может быть, может быть! Дописать еще несколько своих страниц. Вот тот удел, о котором может и должен мечтать великий маг современности!;;Иди {page:read_books};;;;;;
1;common;bran;entry_pharmacy;;;;;;;Старая аптека в самом конце переулка Двух Лазарей. Я постукиваю шиллингом по грязноватому прилавку, чтобы привлечь внимание аптекаря. Тот уже несколько минут притворяется спящим, надеясь, что мне надоест раньше, и я снова оставлю его в компании с чучелом крокодила и пауками. Серый сентябрьский свет с трудом пробивается сквозь мутное оконное стекло. Резко пахнет уксусом, камфорой и какой-то дрянью. Не самое респектабельное место... Именно тот тип места, который мне нужен. {3mm}Наконец старик решает, что я уйду скорее, если меня обслужить. Кряхтя, он выходит к прилавку и, изобразив ужасающую гримасу радушия, интересуется, какие дьяволы меня послали сюда и зачем.{3mm}Я молча протягиваю ему список: дрок, дурман, сера, волчий лист, мандрагора... Старик одаривает меня странным взглядом и, кажется, немного колеблется. Да, друг мой! Я действительно собираю колдовать! Не читать пересказы пересказов, а действовать! И мне, в сущности, наплевать, насколько вызывающим считает настоящую магию мистер М и его кружок теоретиков.{3mm}Прочитав что-то в моих глазах (или просто решив не связываться с сумасшедшим), старик уходит рыться в ящиках, а я  погружаюсь в свои мысли. Я совсем не уверен, что рецепт сработает — с тем же успехом это может быть рецепт супа. Но что-то внутри подсказывает мне, что это не пустышка.;;Иди {page:ravens_attack};;;;;;
1;common;bran;read_books;;;sercea, +R;;$sack->add('R');;“Бедд также упоминает о некоей Аннагард, волшебнице, будто бы жившей, на каменистом острове близ Каэр Дулин. <br>В светлое время суток ее остров нельзя было найти из-за окружавших его туманов, но по ночам Аннагард зажигала на острове огонь, и неопытные капитаны, следовавшие морем в Ливерпуль, часто принимали этот огонь за маяк. На острове волшебница встречала моряков и предлагала им еду и питье. Тот, кто принимал пищу Аннагард, навсегда терял разум — таких волшебница превращала в скворцов и крачек. Отсюда остров еще часто называют островом птиц.”{3mm}Откидываюсь в кресле и тру глаза. Обычно я стараюсь выбираться в Лондон как можно реже, но сегодня с аукциона продавали имущество лорда Уибли, и этого я никак не мог пропустить. Мне нет никакого дела до старых ковров и посуды... но книги! Книги! Настоящее сокровище досталось мне сегодня почти даром. Я с наслаждением вдыхаю запах старых страниц и продолжаю читать. {3mm}“Бендигейд Бран, сын Ллира, был в то время королем и царствовал в Каэр Ллуд. Услышав, что у Каэр Дулин часто пропадают люди, он отправил слуг узнать о причине этой беды. Но слуги не вернулись, так же как и другие, посланные за ними. И тогда Бран решил самому идти к Каэр Дулин.<br>Он отправился на простой лодке и шел под парусом весь день. Когда наступила ночь, Бран увидел огонь, похожий на огонь маяка [которого не могло быть в этих местах], и направил лодку туда. <br>Волшебница Аннагард встретила короля на берегу и по обыкновению предложила ему волшебного питья, от которого мужчины теряют память. Но у Бендигейда Брана был волшебный амулет виде двух золотых змей на запястье, которые сжимались,если рядом был яд. Когда Бран понял замысел Аннагард, он сначала хотел убить ее мечом, но затем передумал. Вместо этого взял с нее клятву не вредить ни ему, ни его подданным, и отдал в свиту своей сестры Бранвен, которую должны были в это время выдавать замуж в Ирландию...”{3mm}Что за король Бендигейд Бран? Это имя кажется мне знакомым, но я не могу вспомнить, откуда. Кажется, что-то про Бранвен было в “Verbum Magnum Weallum”. <br>;Нужно ли прямо сейчас достать фолиант и попробовать найти что-нибудь про Бранвен? <br>Или лучше продолжать читать? ;{comm}Искать упоминания о Бранвен{ecomm}Иди {page:more_branven_1}{3mm} {comm}Продолжать читать{ecomm} Иди {page:continue_reading};;;;;;
1;common;bran;continue_reading;;; +B;;$sack->add('B');;“И каждый подходил к нему и приносил дары. Среди прочих был один человек по имени Муник Кадаруг, человек не богатый и не знатный, мало кому известный в этих краях. Он поднес Бендигейду Брану гобелен, на котором был изображен мужчина, привязанный к столбу. Многие думали, что король сочтет это оскорблением и велит убить Муника Кадарауга, но Бран, напротив, расхотался и был, казалось, очень рад подарку, как радуются хорошей шутке. К тех пор Муника Кадарауга всегда привечали в Каэр Ллуде и сажали на почетное место за столом, до той поры пока он не поранил себе ногу на охоте и не умер. А гобелен так и остался висеть в замке короля-ворона в Каэр Ллуде.”{3mm}Странно. Сегодня Питер принес мне коробку писчих перьев. Он клянется, что покупал как обычно белые гусиные перья в магазине у Стивенсона. Но перья в коробке, как на подбор, черные. Вороньи...;Стоит ли почитать побольше об этом короле-вороне? Я уверен, что смогу найти что-нибудь у Лазаруса. <br>Или это не важно и лучше продолжать с библиотекой Уибли? ;{comm}Искать информацию о Короле-Вороне{ecomm}Иди {page:more_branven_1}{3mm} {comm}Продолжать читать{ecomm} Иди {page:end_reading};;;;;;
1;common;bran;more_branven_1;;;;;;;“И это продолжалось не менее трех лет. За это время Бранвен вырастила кота, научила его говорить и объяснила ему, как выглядит ее брат. И она написала письмо о бесчестии и унижениях, которым ее подвергли, привязала его брюху кота и отправила его в Уэльс.{3mm}И кот добрался туда, и отыскал там Бендигейда Брана в Каэр-Сейнт в Арфоне, где он вершил суд, и сел у его трона, и лег на спину, так что он увидел письмо и понял, что кот ручной. И он взял письмо и прочел его. И, прочитав письмо, он опечалился, узнав о несчастиях Бранвен. {3mm}И Бендигейд Бран со спутниками отплыл в Ирландию, и он сам шел по мелководью, ибо море тогда было нешироким. Там были две реки, называемые Лли и Архан, но потом море разлилось и затопило многие земли. И он со спутниками, с бардами и поэтами, которых он нес на плечах, приблизился к берегу Ирландии.”;Интересный отрывок. Надо только понять, что меня интересует больше? Где я все-таки видел имя Бендигейд Бран? Или каким боком тут кот?;{comm}Заинтересоваться Браном{ecomm}Ступай искать о нем в книгах {page:more_branven_2}{3mm}{comm}Надо же, кот!{ecomm}В компании с котом — {page:das_koot};;;;;;
1;common;bran;das_koot;;; +BB;;$sack->add('BB');;“У Бранвен был ученый кот. <br>Помимо того наречия, на котором от века изъясняется весь кошачий народ, этот кот отлично понимал и даже весьма чисто изъяснялся по-человечески. Мышей кот не ловил, зато знал множество стихов и песен, сносно играл на мандолине и носил для Бранвен ее письма, преодолевая иногда по десять миль за один день. Больше всего на свете кот любил сидеть на высокой деревянной подставке и наблюдать за работой монахов-переписчиков. Если кот замечал ошибку, то драл монаха когтями без всякой жалости, а тому оставалось лишь терпеть. Ведь кот был хоть и жесток, но никогда никого не наказывал без причины, и к тому же был дружен с аббатом. <br>Известно, что Бриндигейд Бран кота не любил, но терпел и многое прощал ему как посланнику...”{3mm}…{3mm}Вчера воплотился мой ночной кошмар — кто-то перепутал местами книги на полках. Я чуть с ума не сошел, пытаясь найти Лазаруса, который был поставлен кем-то аккуратнейше на то же место, но полкой выше! Я накричал на Питера, хотя понимаю, что он никогда и пальцем бы не тронул моих книг. Не знаю, что происходит. {3mm}А еще эти чертовы перья, которые я встречаю уже повсюду: под столом, на диване, под подушкой, в подушке!{3mm}Мне нужен ученый кот, как у Бранвен. Такой, который следил бы для меня за птиц… А почему бы и нет? Это не так уж сложно. Вызвать этого кота. Если он существует, мы поговорим — он же говорящий!;Наверное нужно почитать об этом коте побольше. Изучить, все, что смогу и записать самое важное... <br>Или, может, я уже знаю достаточно, чтобы попробовать? ;{comm}Читать о коте{ecomm}Выбери нужную книгу и ступай {page:book}{3mm}{comm}Провести эксперимент самому{ecomm}Без страха и сомнений ступай {page:test};;;;;;
1;common;bran;more_branven_2;;;bulls, +B;;$sack->add('B');;"“И в битве победили люди Острова Могущества, но после этой победы в живых остались лишь семь человек, и Бендигейд Бран был ранен в ногу отравленным дротиком. И Бендигейд Бран приказал им отрезать его голову. ""Возьмите мою голову, — велел он, — и отнесите ее на Белое Поле в Каэр Ллуд, и похороните там. И вы должны долгое время провести в дороге. В Харлехе вы будете пировать двадцать три года. И моя голова должна все время быть с вами, как будто она на моих плечах. И когда вы услышите пение воронов, вы поймете, что пришло время отправиться в Каэр Ллуд и похоронить там мою голову""{3mm}Я поднимаю взгляд от книги. В последнее время читать стало трудно от шума в голове. Этот шум похож на шум отдаленной бури или хлопанье тысяч крыльев. Иногда он затихает, а иногда, как сейчас, становится совершенно оглушительным. Звоню в колокольчик. Приходит Питер с рюмкой портвейна — за минувшие дни он уже привык. В глазах старого слуги я читаю тревогу. Хотел бы я чем-нибудь тебя успокоить, Питер…{3mm}“И они пришли в Харлех и расположились там. Там было красивое место высоко над морем, и для них приготовлен был большой зал. И они оставались там двадцать три года, но так, что не замечали времени и не делались старше, чем были, когда пришли туда, и не было для них времени более приятного и веселого. И голова была с ними, будто живой Бендигейд Бран. И потому их пребывание там названо Гостеприимством Достопочтенной Головы. <br>И однажды Хейлинн, сын Гвинна Хена, сказал: ""Я слышу, как поют вороны, и мне кажется, что наступило время"". Он открыл дверь и увидел за ней Корнуолл и Абер-Хенвелен. И когда он открыл дверь, они разом вспомнили все зло, что с ними приключилось, и всех друзей и соратников, которых они потеряли, и все свои приключения, а главное — просьбу их господина. И с того часа они не знали отдыха, пока не добрались с головой до Каэр Ллуд. И они похоронили голову на Белом Холме; и это было одно из Трех счастливых погребений этого острова и причина Трех злосчастных выкапываний, ибо никакая опасность не приходила на остров с моря, пока голова не была выкопана.”   ";И я тоже слышу пение воронов. Но пришло ли время?;{comm}Нет{ecomm}{say}Еще не пришло. Я не хочу торопиться, даже, если кто-то меня торопит. Я должен сначала все разузнать.{said} Иди {page:book}{3mm}{comm}Да{ecomm}{say}Да, время пришло. Я не могу больше выносить этого. Я должен действовать!{said} Ступай же {page:test};;;;;;
1;common;bran;end_reading;;;lotofags, +R;;$sack->add('R');;Я теперь почти не сплю. Когда я закрываю глаза и перестаю видеть привычное окружение моего дома — словно бы рвется нить, которая связывает меня с миром людей. В голову начинают приходить мысли. Страшные, черные мысли, которые я не могу ни запомнить, ни записать, потому что с закрытыми глазами я думаю на языке, которого сам не понимаю! Стыдно признаться, но вечерами мне приходится звать Питера, чтобы он читал мне вслух из что-нибудь из “Краткой истории Времени” — пока я слышу звуки человеческой речи, я сам продолжаю оставаться человеком.{3mm}И все же, я не могу бросить эту книгу...{3mm}“В Ирландии за рекой Ллинон жил народ, умевший изготавливать особенный напиток золотого цвета, названием uisge beatha, который имел свойство веселить душу. На тех, кто был крепкого духа, напиток не действовал, но слабые отдавали за веселье память о своем господине и своей матери. Осенью Бриндигейд Бран со пришел в Ирландию с дружиной, чтобы покарать Матолха за все бесчестие, которое претерпела от него Бранвен. Когда они перешли Ллинон, Бран взял собой Хэфайдда Хира, Иника Глеу Исгвидда, и Иддика, сына Анарауга Гваллтгруна, и пошел с ними за холмы, чтобы разведать крепко ли утвердился в своей крепости Матолх. Другая [часть людей Брана] осталась у реки. И когда король вернулся, он увидел, что все люди, которых он оставил у реки, бросили оружие и щиты и лежат безвольно, потому что пили uisge beatha. Тогда Бран повелел…”{3mm}!!! Я слышу стук в окно, подскакиваю и, кажется, вскрикиваю от неожиданности. {3mm}Мне показалось, что за окном я увидел черную фигуру — то ли человек, то ли птица… <br>Проходит несколько минут, прежде, чем мне удается победить оцепение и встать. Я медленно подхожу к окну, стараясь унять сердце и вслушиваясь в каждый шорох. Никого. Но я не думаю, что мне показалось. Нет. Не думаю, что показалось. ;Я должен что-то сделать, иначе сойду с ума. Я должен поговорить с этим… Вороном. {3mm}Может быть стоит сначал сесть и выписать, все, что я знаю о нем? Или лучше обратиться к магии? Я же, в конце концов, величайший маг современности! Я же?..;{comm}Засесть за книги и делать выписки{ecomm}Бери первую попавшуюся книгу о Короле-Вороне и иди с ней {page:book}{3mm} {comm}Попробовать магию{ecomm}Решившись на это, иди {page:test};;;;;;
1;common;bran;book;;; +BB;;"$sack->add('BB')->msg('В течение 1.5 часов на тебя накладывается следующий эффект: если ты начал читать какой-то выразимый текст (крипто-документ, письмо и т.д.) и прочитал хотя бы три строки, ты не останавливаешься и читаешь до конца (или минимум три страницы, если текст очень длинный — например, реальная книга)');";;Я провожу пальцем по золотому тиснению на корешке. “Полная и окончательная история английской магии от древности до наших дней, составленная мистером Бернардом Блэком. Том 9.” {3mm}Наконец-то она закончена. Моя книга! Возможно, лучшая из всех книг по магии. Да что там — лучшая! Ведь только у меня была возможность самым подробным образом изучить труды предшественников: анализировать, считать, классифицировать… Моя давняя одержимость Королем-Вороном, могла, как я понимаю теперь, быть излечена только одним способом. Единственным способом, достойным мага и джентельмена. И теперь, я полностью свободен от нее (одержимости) и от него (короля). Я больше не безымянный раб! Теперь они стали моими слугами — моими словами. {3mm}Теперь я могу отдохнуть. Я спокоен. Я знаю, что совершил в этой жизни все, к чему может стремиться человек науки. Да, сэр! {3mm}Да!;;{hypno_end};;;;;;
1;common;bran;test;;; +G;;$sack->add('G');;Я все решил. Я должен поговорить с ним. Вызвать его в этот мир и поговорить. Просто поговорить — никаких уловок, договоров и фокусов. Все будет абсолютно безопасно. Я все предусмотрю. Конечно, никто не совершал подобного уже сотни лет, но мы знаем, что это возможно, и тому есть свидетельства, которым вполне можно доверять. Если даже у невежды Белла был дух-помощник, то и для меня не должно составить труда. Вот только...{3mm}...{3mm}Как бы мне хотелось поделиться этим с кем-нибудь! Я так устал быть единственным магом во всей Англии. Это чудовищное чувство одиночества. Одиночества и обреченности на всю полноту ответственности.{3mm}Я недавно получил письмо. Некто Джон Нордгейл из Йоркшира написал мне, что его (так же как и меня) повсюду преследуют вороны. А еще мистер Нордгейл утверждает, что является магом, освоившим науку самостоятельно и ставшим за несколько лет “умеренно искусным”. Сначала я даже дочитывать не хотел, настолько меня поразила наглость этого юноши. Но что-то в тот момент заставило меня продолжить. И я понял, что если мистер Нордгейл и шарлатан, то, во всяком случае, достаточно начитанный. А эксперименты, описаниями которых он сопровождает свое письмо, хоть и совершенно нелепые, но (!) вынужден признать, не лишены изящества.  {3mm}Было бы славно, если бы Джон Нордгейл из Йоркшира был именно тем, кем он себя воображает...;Может быть, действительно ответить ему и пригласить в Лондон? <br>Или это только самообман, и в Англии нет волшебников, кроме меня? ;{comm}Пригласить Джона Нордгейла{ecomm}{say}Надо бы присмотреться к этому юноше поближе. Мне не помешает толковый помощник, а со временем, возможно, и соратник. {said}Отправляйся писать письмо юноше {page:pupil_1}{3mm}{comm}Он просто шарлатан{ecomm}{say}Что ж, похоже, я увидел тот самый случай, когда раз в жизни палка выстрелила. Не стоит больше ожидать от этой палки ратных подвигов. Я все сделаю сам{said}Решив так, иди {page:test_myself};;;;;;
