print;athlas;story;page;image;label;rules;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;gloaki;father_sickness;;;;... Отец очень слаб, и ему трудно даже сидеть в подушках. В палате душно, жарко, в том числе потому, что у постели собралась вся родня. По окнам палаты текут струйки воды — на улице дождь. Я вижу, что у отца лицо блестит от пота. Болезнь, терзающая наш город, совсем доконала его. У матери лицо такое, будто она вот-вот заплачет. Я чувствую, что и у меня самого такое же перекошенное выражение, и отворачиваюсь. Племянники смотрят в пол, сестра боится встретиться с кем-нибудь взглядом. Отцу трудно дышать{semi} кто-то поправляет его подушки. Все ждут, что он хотя бы что-то скажет, но тут его скручивает приступ удушья. У меня кружится голова.;Следует ли мне покинуть больничную палату и выйти в город? Или поддержать родственников и сказать хоть что-то уместное? А может, обсудить с доктором течение болезни отца?;{comm}Уйти из больницы{ecomm}{say}Невозможно находиться в этом помещении! Я забираю с вешалки плащ и ухожу из больницы.{said}Выходи {page:street}{3mm}{comm}Поговорить с доктором{ecomm}{say}Болезнь убивает жителей города одного за другим. Мы потеряли главу семьи, но что ждёт всех нас? Я должен поговорить с доктором.{said}Иди {page:talk_to_doctor}{3mm}{comm}Ободрить родственников{ecomm}{say}Кто-то должен прервать повисшее молчание и ободрить присутствующих!{said}Иди {page:cheer};;;;
1;common;gloaki;street;;baran;В этой Локации, чтобы СОГЛАСИТЬСЯ с выбором Гипнотизера, сбрось 1 случайный Камень из мешка (Красный, Синий или Зеленый).  В ином случае — явно возрази и сам выбери команду.;Последний месяц каждый вечер Салем окутывает липкий туман. Он подступает с реки, промозглый и тяжёлый. Его присутствие ощущается даже днём.{3mm}Я иду по улице, приподняв воротник плаща. Дождь распугал жителей и прибил туман к земле, загнал его в переулки. Из-за низких туч кажется, что уже совсем поздний час, хотя время всего лишь к ужину. Настроение моё под стать погоде. Все мы грешим унынием, особенно этой осенью, когда столь многих забирает смерть…;Пройтись ли мне по улицам, попробовав немного развеяться, или же сразу направиться домой?;{comm}Прогуляться{ecomm}{say}Дома меня никто не ждёт, поэтому я решаю немного пройтись.{said}Иди {page:for_a_walk}{3mm}{comm}Направиться домой{ecomm}{say}Дома можно будет растопить камин и выпить горячего чаю, на улице же совсем не погода для прогулок.{said}Направляйся {page:at_home};;;;
1;common;gloaki;talk_to_doctor;;;;Доктор выглядит усталым. Ещё бы, работы у него больше, чем у кого-либо ещё! И в этой работе практически нет надежды для нас. О надежде я и спрашиваю. Доктор отвечает мне, видимо, одной из стандартных фраз о том, что эпидемия не изучена, что современная наука не совершенна, но что он сам делает всё возможное, но, кажется, здесь необходимо некое универсальное, омнипотентное лекарство, найти которое пока что не удалось.<br>Всё, что говорит доктор, не кажется мне ободряющим, только лишь убеждает в том, что положение Салема незавидно, и карантин продлится ещё не месяц и не два.;Следует ли мне уйти из больницы или вернуться к родственникам и поддержать их у смертного одра отца?;{comm}Уйти из больницы{ecomm}{say}Находиться в больнице невыносимо, поэтому я иду в город.{said}Уходи {page:street}{3mm}{comm}Поддержать родственников{ecomm}{say}Я не могу оставить родственников одних в столь трудную минуту, поэтому возвращаюсь в палату.{said}Вернись в палату {page:cheer};;;;
1;common;gloaki;cheer;; -R;Сбрось 1 Красный Камень;Моя родня стоит, прижимаясь друг к дружке. Кто-то плачет, кто-то смотрит в пол, кто-то устал, как и я, и просто хочет, чтобы всё поскорее закончилось. {3mm} — Возможно, нам стоит думать об этом так, будто всё это лишь до какого-то срока, и что где-то там отец будет поджидать нас, куда уйдём все мы, когда придёт срок, — говорю я философски, и мне сразу же кажется, что мои слова — ужасная глупость.{3mm}Постоянные приступы заставляли отца кашлять — долго, непрерывно, громко, но сейчас я замечаю, что дыхание его ровное и тихое. Через некоторое время я понимаю, что отец не дышит. Матушка начинает, всхлипывая, рыдать.;Стоит ли мне поговорить с ней или же уйти, поскольку любые слова здесь оказались бы фальшивыми?;{3mm}{comm}Поговорить с матушкой{ecomm}{say}Я заговариваю с матушкой, обняв её за плечи. {said}Иди {page:talk_to_mother}{3mm}{comm}Не мешать ей{ecomm}{say}Я ухожу по-английски, не прощаясь, не желая мешать чужой искренней скорби и направлясь в город.{said}Иди {page:street}{3mm};;;;
1;common;gloaki;talk_to_mother;; -G;Сбрось 1 Зеленый Камень;Матушка вздрагивает у меня в объятиях. Я знаю, что и она больна, знаю, что скоро придётся прощаться и с ней. Поэтому уже сейчас я смотрю на неё так, будто она мертва, несколько механистично оказывая поддержку и внимание, и она понимает это.<br> — Всё проходит, пройдёт и это, — говорю я, и понимаю, что это не совсем то, что было нужно. <br> — Ты лжёшь, — сквозь слёзы отвечает мать, — эта новая чума убьёт нас всех, а помощь не придёт, ведь куда лучше изолировать нас от остального мира, оставив одних, подождать, пока все мы умрём... ;Стоит ли мне всерьёз задуматься над словами матери или, признав, что я ничем не могу помочь, уйти прогуляться туда, куда ведут все дороги — на кладбище.;{comm}Подумать над словами матери{ecomm}{say}Я размышляю над словами матери, поскольку в них есть мудрость.{said}Ступай размышлять {page:think}{3mm}{comm}Пойти на кладбище{ecomm}{say}Я смущаюсь и ухожу из больницы в сторону кладбища.{said}Отправляйся в сторону кладбища {page:graveyard};;;;
1;common;gloaki;think;;;;Болезнь давно уже стала обыденной. Изо дня в день, из часа в час, возможно, каждую минуту, она убивает кого-то из тех, кого ты знал, с кем рос, кого ещё позавчера приветствовал в баре, салютуя кружкой. <br>Поначалу мы все думали, что справимся. Что Док найдёт вакцину, что из Бостона доставят лекарство, что найдётся какой-то ключ, разгадка. Постепенно мы понимали, что нет никакой закономерности в симптомах, что даже нельзя назвать то, что происходит “эпидемией”. Мы оказались в карантине — к нам не ходят корабли по реке, не приезжают дилижансы и поезда. Мы обречены на то, чтобы день за днём ломать головы, что же мы сделали не так, почему на нас обрушились все эти беды…<br>Каждый день я раз за разом прокручиваю в голове все эти мысли. Как правило, в определённый момент накатывает тошнота, и я не могу больше думать... на время. Вот и сейчас.; Стоит ли мне пойти прогуляться в город, попытаться развеяться? Или, возможно, стоит пойти на кладбище, чтобы понять, что можно быть счастливым только тем, что ты жив? Или продолжить свои тяжёлые размышления о бытии и болезни? ;{comm}Прогуляться по городу{ecomm}{say}Прогулка — это, по крайней мере, то лекарство, которое у нас никто не отнимет. Не самое сильнодействующее, но, несомненно, дешевое и приятное.{said}Иди гулять {page:street}{3mm}{comm}Сходить на кладбище{ecomm}{say}Кладбище всегда навевало на меня философское настроение. Вдруг сейчас осенит какая-то мысль?{said}Направляйся {page:graveyard}{3mm}{comm}Продолжить размышления{ecomm}{say}Наверное, лучше никуда не ходить, а просто сесть и крепко подумать.{said}Ступай {page:obvm};;;;
1;common;gloaki;for_a_walk;obvm.jpg;;;Улицы города пустынны. Никто не гуляет под дождём. Никто не гуляет, когда в каждой семье хоть кто-то болен. Все предпочитают сидеть по домам, не зажигая яркого света. Так страх проникает в души, вместе с туманом и сыростью, так плесневеет уверенность в завтрашнем дне, так гниют надежды.<br>Дождь заглушает звук шагов, поскрипывание дверей и ставень. Постепенно темнеет. Где же все люди?;Следует ли мне вернуться домой в одиночестве или постараться найти компанию в городском баре? ;{comm}Вернуться домой{ecomm}{say}В такую погоду лучше побыстрее пойти домой, постараться согреться и уснуть{said}Иди {page:at_home}{3mm}{comm}Пойти в бар{ecomm}{say}Я должен найти хоть кого-то живого, чтобы не сойти с ума! Наверняка в баре кто-то сидит{said}Направляйся {page:to_bar};;;;
1;common;gloaki;at_home;;;;Дома я снимаю промокший насквозь плащ и трачу около получаса на то, чтобы зажечь огонь в камине. Дрова отсырели, поэтому приходится сидеть вплотную к огню, кутаясь в плед. Одновременно хочется спать, но невозможно заснуть из-за того, что никак не согреться. Тикают часы, время течёт так медленно, что кажется, что завтра никогда не наступит. ;Стоит ли мне прислушаться к тиканью, чтобы монотонный звук помог мне уснуть, или же попробовать вспомнить что-нибудь, что меня бы ободрило?;{comm}Прислушаться к часам{ecomm}{say}Я слушаю, как тикают часы и погружаюсь в зыбкую дрёму.{said}Морфей уносит тебя {page:clock_tick}{3mm}{comm}Предаться воспоминаниям{ecomm}{say}Я погружаюсь в воспоминания о том, как жила моя семья до болезни.{said}Иди {page:remember};;;;
1;common;gloaki;to_bar;; -B ;Сбрось 1 Синий Камень;Бар полон. Многие, как и я, решили придти сюда в поисках компании и утешения на дне бутылки. Вокруг царит веселье, такое безудержное, как будто для всех наступил последний день. В чём-то так и есть. Никто из нас не может знать — то ли он заболеет и завтра ляжет в больницу, а послезавтра в гроб, то ли счастливо избежит эпидемии. Я заказываю выпивку, и, выпив половину кружки, чувствую, как немного спадает тревога. Я думаю, что что-то идёт не так, что мы не всегда так жили, что раньше было иначе... но как?..;Стоит ли мне на этом остановиться и пойти домой? Или же допить кружку и постараться припомнить, что же случилось, что было ДО болезни?;{comm}Пойти домой{ecomm}{say}У меня не было плана напиваться, поэтому, довольствуясь тем, что настроение стало чуть получше, я ухожу домой.{said}Домой — это {page:at_home}{3mm}{comm}Продолжить пить{ecomm}{say}Я стараюсь не упустить свою мысль, продолжить её и отпиваю ещё глоток из кружки.{said}Ступай искать истину {page:obvm};;;;
1;common;gloaki;obvm;; -R;Сбрось 1 Красный Камень;Думать о прошлом — всё равно что читать неинтересный учебник. Оно как будто выцвело, потеряло всякий смысл, стало из яркой картины счастья просто буквами на газетной полосе. Болезнь пришла в город около трёх лет назад, и ей тогда никто не удивился, списав на влажный климат, изменение погоды. Она была для всех разной, эта болезнь, и мы не думали, что с нами всеми что-то случится, напротив, каждый винил соседа в недостаточной внимательности к своему здоровью. Мы искали причины в воздухе, климате, воде, домашних животных, но никогда — в себе. Болен ли я сам?.. Как тяжело думать об этом…;Я в растерянности. Следует ли мне пойти домой? Или прогуляться в город? Быть может, моё настроение настолько дурное, что следует потворствовать ему и прогуляться по городскому кладбищу? Или же следует никуда не идти, заказать ещё кружечку выпивки и продолжать выпивать?;{comm}Прогуляться в город{ecomm}{say}Все эти дурные мысли от духоты и шума. Нужно пойти прогуляться в город.{said}Иди {page:street}{3mm}{comm}Направиться домой{ecomm}{say}Хватит на сегодня общества и выпивки. Пора домой!{said}Домой — это {page:at_home}{3mm}{comm}Сходить на кладбище{ecomm}{say}Кладбище — хорошее место для таких, как я... все будем там, так, почему бы, не посмотреть, каково моё будущее место жительства?..{said}Иди {page:graveyard}{3mm}{comm}Продолжать пить{ecomm}{say}Зачем куда-то идти, если всё тлен? Эй, хозяин, принеси мне ещё вина Бейли!{said}Ступай {page:drink_further};;;;
