print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;pipe;first_contact;;;;;;;В городской ратуше Плимута многолюдно, сегодня это не просто центр маленького поселения, сегодня это центр всего мира. Именно здесь и сегодня английские колонисты могут или принять предложение местных жителей — индейцев, или отвергнуть его, вызвав очередную кровавую войну. А я...;;<b>Если в рамках этого сеанса гипноза ты желаешь считать себя Индейцем</b>, читай текст ниже.{2mm}{say}Я вампаноаг, сахем гордого народа людей охоты, и мое имя — Массасойт. Сегодня мы собрались здесь выкурить трубку мира с бледнолицыми, пришедшими на нашу землю.{said}{1mm}Отправляйся {page:indian}{3mm}{3mm}<b>Если же ты желаешь считать себя колонистом</b> читай этот текст.{2mm}{say}Мое имя Джон Карвер, я губернатор Плимута, один из отцов-пилигримов, прибывших в эти земли на {quot}Мэйфлауэре{quot}. Сегодня к нам явился индейский вождь Массасойт и предложил нам заключить мирный договор.{said}{1mm}Отправляйся {page:carver};;;;
1;common;pipe;indian;;;;;;;Мы с вождём бледнолицых, чье имя Джон Карвер, стоим, глядя друг другу в глаза. Впервые придя сюда, бледнолицые жались к нашим коленям и называли нас отцами{semi} мы взяли их за руку и нарекли братьями. Сейчас они переросли нас, и вскоре мы сможем только прижаться к их коленям и назваться их детьми. {1mm}Мой брат, шаман, показывает мне: лицо Карвера даже более бледно, чем лица остальных его людей. Не попал ли он во власть злых духов? Не совершаю ли я еще большую ошибку, предлагая им союз? Похоже, сейчас мне предстоит самое важное решение в моей жизни.;Так что же мне делать? Закурить трубку мира и передать ее Джону Карверу? Или не курить трубку мира с бледнолицым?;{comm}Не курить{ecomm}{say}Время этого союза еще не пришло. Многие из белых людей терзаются болезнями и думают только о том, как бы не умереть. И в своем согласии сейчас они будут не искренни.{said}Иди {page:indian_refuse}{3mm}{comm}Курить{ecomm}{say}Решение было принято, еще когда я покидал свое типи, чтобы встретить вождя белых людей, прибывших из-за великой соленой воды на востоке. Менять его сейчас — это малодушие.{said}Иди {page:indian_smoke}{3mm};;;;
1;common;pipe;indian_refuse; ;; -RR +BB;;$sack->swapSoft('RR','BB');;"Ритуал священный, и нельзя осквернять его. Чтобы скрепить договор мира, нужно, чтобы между нами были духи, они подтвердят крепость наших слов, данных друг другу.  Но не воскурив трубки, мы не приведём духов-свидетелей, а значит,	 слово не будет закреплено. Незачем же начинать того мира, который так легко разрушить и который не подкреплен словом. Мир, где слово ничего не значит — это мир зла. Твой удел иной. Не желай войны понапрасну, помогай слабому подняться, и тогда ты будешь идти верной тропой.";;{awake:blue_1};;;;
1;common;pipe;indian_smoke;;;;;;;Смойте краски боевые,<br>Смойте с пальцев пятна крови,<br>Закопайте в землю луки,<br>Трубки сделайте из камня,<br>Тростников для них нарвите,<br>Ярко перьями украсьте,<br>Закурите Трубку Мира<br>И живите впредь как братья.<br>Мы дети этой земли , а белые пришельцы — лишь гости у нас. Им не выжить без нашей помощи, какие бы огненные палки в своих руках они не держали. Разве может огненная палка помочь от грозы, от холода, или от болезней, поразивших их тела? Наша земля хранит куда больше тайн и секретов. Они слишком слабы, чтобы пережить зиму. ;Что делать — помочь бледнолицым или оставить их одних?;{comm}Оставить самих по себе{ecomm}{say}Медленного оленя задерет волк. Хромой волк сам погибнет от голода. Выживает в этом мире тот, кто силен, ловок и смел — так угодно Маниту.{said}С этим рассуждением ступай {page:leave_whites}{3mm}{comm}Помочь{ecomm}{say}Пришельцы из-за великой солёной воды горды и считают себя умнее нас. Но сейчас они слабы, они голодны и больны. И мы не откажем им в помощи.{said}С осознанием собственной доброты отправляйся {page:help_whites}{3mm};;;;
1;common;pipe;leave_whites;;; -RR +GG;;$sack->swapSoft('RR','GG');;Мир, в котором слово, данное перед лицом своих предков, перед духами Земли и Леса, перед кровью твоих братьев и лицом твоих сестёр, ничего не значит для тебя — мир зла, и он скоро погибнет. Чтобы удержаться на тропе жизни и достойным войти в Страну Вечной Охоты, держи верность своему слову. Тогда твоя вера будет крепка, и путь твой будет верным.;;{awake:blue_2};;;;
1;common;pipe;help_whites;;;;;;;Наши братья дали белым всё, что имели сами. Научили их пахать и сеять наши культуры. Научили читать следы зверей и птиц, научили узнавать травы и деревья в лесу, научили выжить в холодную зиму. Давая знания им, мы и  сами познавали их. Так откуда же в них столько злобы, почему они не могут жить в согласии с землей предков и друг с другом? Я обращаюсь к духам за советом и помощью и слышу два голоса: духа светлого, который говорит, что они еще будут благодарить нас, и духа тёмного, который говорит, что в каждом англичанине есть предатель, поэтому я должен опередить его, пока мне не нанесли удар в спину. ;Кого же из них мне послушать?;{comm}Злого духа{ecomm}{say}Из яйца гадюки не вылупится скворец, медведя-гризли не отучишь есть мясо. Если нельзя выкорчевать семена зла, нужно хотя бы защитить себя от их всходов.{said}Иди {page:listen_bad}{3mm}{comm}Доброго духа{ecomm}{say}Коварство заставляет ржаветь цепь дружбы{semi} правда придает ей небывалый блеск. Мы стремимся к одному только миру — и верим в лучшее в людях.{said}Иди {page:listen_good}{3mm};На этой странице ты можешь не послушать приказа гипнотизера и сам принять решение.;;;
1;common;pipe;listen_bad;;; -RR +BB;;$sack->swapSoft('RR','BB');;В каждом человеке есть два волка, чёрный и белый. Чёрный волк — это гнев, предательство, ярость и злость, всё самое дурное. А белый — это милосердие, забота, любовь, надежда и вера. Они дерутся каждый день и каждый час, но побеждает тот волк, которого ты кормишь. Не корми чёрного волка, и твой мир не будет умирать… Не верь коварству тёмной стороны сердца, тёмным духам — и ты сможешь пройти свою тропу до конца и не опозорить себя перед предками.;;{awake:green_1};;;;
1;common;pipe;listen_good;;;;;;;Я слушаю светлую сторону своего сердца и понимаю, что всё именно так. Бледнолицым пришло время пересмотреть свою жизнь и научиться жить не в борьбе, а в дружбе и в союзе. Быть может, сначала они научатся уважать своих союзников, потом своих врагов, а потом и землю предков, дающую жизнь всем, кто обитает на ней. Спустя несколько лун англичане щедро отблагодарили нас за наше радушие — собрав урожай, они устроили для нас великий пир и нарекли этот день Днем Благодарения. Вырастет ли это в большую дружбу краснокожих и бледнокожих народов? Или алчность заставит белых забыть мир и принесенное нами добро? Время, время, великая река, даст ответы на все вопросы...;;Ты — уже не тот, кем был до этого. Река времени несет тебя {page:indian_trade};;;;
1;common;pipe;indian_trade;;;;;;;Много лун родилось и умерло с тех пор, как наш великий сахем Массасойт выкурил трубку мира с вождем бледнолицых. Массасойт по-прежнему наш сахем, и все так же мудр и терпелив. Но англичане ведут себя не как союзники с союзниками, но как победители с побежденными. Мы дарим — они продают. Мы просим — они требуют. Уже немалая часть земель нашего племени была продана англичанам, когда они заявляли, что им мало их земель для развития колонии. Некоторые молодые воины недовольны этим, но Массасойт держится своих слов: {quot}Я знаю, что англичане мои друзья и любят меня{quot}. Он сказал их много лун назад, когда тяжко болел, а пришлый бледнолицый по имени Эдвард Винслоу исцелил его. А сейчас я отправляюсь в город бледнолицых, чтобы торговать с ними.;А стоит ли? Может, хватит во всем уступать им, и время поставить их на место? Или быть послушным вождю и отправиться в Плимут?;{comm}Хватит, поставим их на место!{ecomm}{say}Англичане сами первыми нарушают договор о дружбе! Сахем может делать, что хочет, но я не желаю больше вести с ними никаких дел!{said}Решительно отправляйся {page:break_treaty}{3mm}{comm}Слушать вождя, ехать в Плимут{ecomm}{say}Не зря Массасойта называют великим сахемом. А договор — это то, что священно и для сахема, и для самого последнего ребенка.{said}Сказав себе так, ступай {page:indian_captured};;;;
1;common;pipe;break_treaty;;; -BR +GGG;;$sack->swapSoft('BR','GGG');;Нельзя оправдать собственное отступление от слова действиями других. Когда твой земной путь будет окончен, и ты отправишься в Страну Вечной Охоты, именно тебя, а не бледнолицых, предки спросят — почему ты нарушил договор? Не смотри на бледнолицых, у них есть свои предки, и, кто знает, возможно, среди них отступление от своего слова почетно.  Чтобы удержаться на тропе жизни и достойным войти в посмертие, держи верность своему слову, и поступай так всегда. Тогда твоя вера будет крепка, и путь твой будет верен.;;{awake:blue_2};;;;
