print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;war;entry;;;;;"arsort($_SESSION['labels']['unknown']); foreach ($_SESSION['labels']['unknown'] as $_SESSION['labels']['story_color']=>$tmp) break; $sack->msg('Императивное поведение закончилось')";;;;Итак, ты вступаешь на путь Войны. Но чтобы узнать, каким будет этот путь для тебя, перейди {if:$_SESSION['labels']['story_color']=='blue'}{page:entry_blue}{endif} {if:$_SESSION['labels']['story_color']=='red'}{page:entry_red}{endif} {if:$_SESSION['labels']['story_color']=='green'}{page:entry_green}{endif};;;;;;
1;unknown;war;entry_blue;;rain.mp3;;;;franklin#rifle ~ $_SESSION['labels']['rifle'] = 1 ~ franklin#empty ~ $sack->add('B') ~;Путь разума — всегда одинокий путь…{1mm}Я стою на улице, под проливным дождём. Вокруг темнота, и только всполохи молний прорезают низкое небо. Вокруг ни души. Кажется, что на многие мили вокруг только дождь, поливающий землю, ночь и грозовое небо. Я нахожусь в центре этого своеобразного нигде, в холодной, озаряемой синими вспышками черноте.{1mm}У меня при себе лишь винтовка M1 Garand и кипа листов с моими рабочими записями, да бутылка виски в кармане. Передо мной — длинная железная лестница, которая извиваясь, ведёт куда-то вверх, и это единственный путь, который я вижу перед собой.; Что же мне делать?<br> Хлебнуть виски, чтобы согреться, избавиться от остального бесполезного хлама и начать подъем? <br>Бросить мокрые бумаги и постараться сохранить в сухости винтовку? <br>Выбросить винтовку, которая только мешает мне, и постараться спасти свои записи? <br>Или избавиться от всех этих обременений и начать свой подъем?;{comm}Хлебнуть виски и вперед{ecomm}{say}Глоток старой доброй огненной воды проливается в желудок, и я чувствую приятное тепло. Обычно я стараюсь не употреблять алкоголь, но в этот раз надо бы. Просто чтобы не простыть. Ну что ж, а теперь можно и подниматься!{said} Поднимайся {page:gulfstream}{3mm} {comm}Прихватить винтовку и забираться{ecomm}{say}Осторожность никогда не бывает лишней. Мало ли, какие опасности могут подстерегать меня там, наверху? Я прикрываю винтовку одеждой, чтобы не промокла, и начинаю карабкаться по лестнице{said}Отправляйся {page:franklin#rifle}{3mm} {comm}Спасти записи{ecomm}{say}Зачем мне нужно оружие, которым я не привык пользоваться, все равно скорее всего в ней отсырело уже все, что только можно. А вот записи — это знания, а знания — вот истинная сила!{said}Бережно прижимая к груди бумаги, ступай {page:franklin}{3mm} {comm}Долой весь груз{ecomm}{say}Действительно, зачем мне все это! Самое совершенное мое оружие — это мой собственный разум, а он всегда при мне, и ему не нужны костыли в виде размокших страниц текста. {said}Рассудив так, иди {page:franklin#empty};;;;;;
1;unknown;war;gulfstream;;;;;$sack->drop('BBB')->add('R');;Ох, как сразу похорошело-то! По телу разливается приятное тепло и легкость — ещё бы, я больше не тащу за собой этот груз бесполезного железа и промокшую, с поплывшими чернилами бумагу. В отличие от горланящих свои военные марши солдафонов или трясущихся над каждой буквой чинуш я знаю: главное у меня в голове, и этого у меня никто не отнимет. Так-то!{1mm}Перила скользкие, и лестница на ветру пошадывается и ходит ходуном после каждого моего шага. Одно неосторожное движение — я вот уже я лечу вниз… Но что это?! О, Боже праведный! Вода, кругом вода! Меня подхватывает неумолимая волна и уносит под серым небом вдаль от берега. Меня несёт прочь, прочь, куда-то в сторону Англии. Последнее, что я вижу — это небоскрёбы Нью-Йорка, протыкающие своими шпилями небо. Мои лёгкие заполняются водой, они горят, мне нечем дышать, и волна наконец накрывает меня с головой…{1mm}Я...утонул?!..;;{hypno_end};;;;;;
1;unknown;war;franklin;;;;;;;Подъём кажется мне бесконечным, но я не останавливаюсь, и вот наконец я достигаю последнего пролёта, где лестница заканчивается небольшой площадкой и дверью…{1mm}{if:$_SESSION['labels']['rifle']}Толкнув дверь ногой и вскинув свое оружие, я захожу внутрь. Я вижу комнату, огонь, потрескивающий в пенсильванском камине, кресло качалку и немолодого уже человека с сединою в волосах. Водрузив на нос бифокальные очки, он читает книгу. Заметив меня, он поднимает голову и усмехается.<br>— Ты задержался, мой мальчик, и теперь я вижу, что задержало тебя. Проходи.<br>— Добрый вечер, сэр! — я опускаю оружие и прохожу в комнату. Потоки воды стекают с меня, образуя огромную лужу рядом со столом, на котором лежит стеклянная гармоника, — Извините, сэр, что я в таком виде. На улице ливень.{else}Я прислушиваюсь, пытаясь уловить хоть какие-то звуки между раскатами грома. К моему удивлению, шум грозы словно бы стихает и отдаляется от меня…<br>— Дверь не заперта, — раздается голос, и, легко тронув дверь рукой, я захожу внутрь. Я вижу комнату, огонь, потрескивающий в пенсильванском камине, кресло качалку и немолодого уже человека с сединою в волосах. Водрузив на нос бифокальные очки, он смотрит на меня поверх книги.<br>— Ты задержался, мой мальчик, и теперь я вижу, что задержало тебя.<br>— Добрый вечер, сэр! — я киваю пожилому мужчине и прохожу к камину. Потоки воды стекают с меня, образуя огромную лужу рядом со столом, на котором лежит стеклянная гармоника, — Прошу прощения,  что я в таком виде. На улице ливень.{endif}<br>— Не извиняйся! Ты проделал огромный путь, и у тебя наверняка есть вопросы, не так ли?<br>— Это точно, сэр! — киваю я, и задумываюсь, что же мне спросить на самом деле…;Так что же? Узнать у старика, где я мог его видеть? Или важнее — кто он? Или следует узнать про суть грозы и молний? Или про смысл лестницы?;"{comm}Где мы виделись?{ecomm}{hidden}{say}— Простите, сэр! Я убежден, что я где-то видел вас ранее. Вы не подскажите, где?<br>— О да, — старик усмехается, — Ты определенно видел меня раньше. На банкноте государственного банка США, и в учебниках истории. И ты прекрасно понимаешь, кто я.<br>— Сэр…<br>— Осторожно! — резко прерывает меня старик.{said}Скорее {page:blue_enemy1}{ehidden}{3mm}  {comm}Кто вы?{ecomm}{hidden}{say}— Сэр, позвольте мне узнать, кто вы?<br>— Ожидаемый вопрос, — старик кивает, — вот только ты забыл уточнить: кто я {quot}на самом деле{quot}. Потому что ты и так отлично знаешь моё имя, коль скоро ты сумел подняться на эту башню. А ты уже должен понимать: каков вопрос, таков и ответ…<br>— Мне казалось, сэр, два умных человека могли бы и не играть в эти игры…<br>— Осторожно! — резко прерывает меня старик.{said}Скорее {page:blue_enemy1}{ehidden}{3mm} {comm}Гроза и молнии{ecomm}{hidden}{say}— Гроза и молнии, сэр, — наконец решаюсь я, — Я хочу понять их смысл!<br>— Молнии имеют электрическую природу, и это легко доказать. Если взять воздушного змея и выйти с ним в грозу, можно многое понять! Чтобы не создавать смертельного контура, стоит заизолировать себя, тогда тебе ничего не будет грозить. Не стой и не жди своей смерти с небес, пусть змей летит в эпицентр стихии — в самое грозовое облако! Тогда он соберёт весь электрический заряд!<br>— Это я и так знаю, ещё со школы! Я имел в виду…<br>— Осторожно! — резко прерывает меня старик.{said}Скорее {page:blue_enemy1}{ehidden}{3mm} {comm}Лестница{ecomm}{hidden}{say}— Я бы хотел уяснить для себя смысл ведущей сюда лестницы, сэр! <br>— Одарённость — дверь, за которой скрываются тайны мироздания, тайны идеального существования, а разум — есть ключ к ней. Но вместе они суть единое целое, которое из животного делает человека, а из человека — сверхчеловека, бога в мире, где бог умер, — старик внимательно смотрит на меня перед тем как продолжить свой рассказ. — Но только лишь одаренности мало, чтобы достичь подлинных высот, мой мальчик!..<br>— Похоже на загадку перед началом серьезного разговора, — я усмехаюсь.<br>— Осторожно! — резко прерывает меня старик..{said}Скорее {page:blue_enemy1}{ehidden}{3mm} {comm}Здесь не хватает одного важного предмета!{ecomm}{hidden}{say}— Вы знаете, сэр! — я внимательно оглядываю помещение, — здесь не хватает одного очень важного предмета, связанного с вами!{said}Иди {page:blue_quest}{ehidden}

";На этой странице гипнотизер может дать тебе совет, но выбор вопроса старику — за тобой.;;;;;
1;unknown;war;blue_quest;;;;;;blue_enemy1#B ~ $sack->add('B');Старик резко вскидывает на меня глаза и вскакивает на ноги. Его взгляд становится очень внимательным, пронзительным, я бы даже сказал — безжалостным.{1mm}— Никто не тянул тебя за язык, мальчик мой… Но ты сам решил сыграть в эту игру и прыгнуть на две ступеньки выше. Это хорошо! Однако… — старик делает задумчивую паузу и кивает мне, — Однако ты ступил на очень опасный путь, любая ошибка на котором может оказаться роковой. И я хочу быть уверен, что ты её не совершишь.{3mm}Так какого же предмета, неразрывно связанного со мной, по твоему, здесь не хватает?..;;{comm}ВАШЕЙ НЕИЗМЕННОЙ ШЛЯПЫ, СЭР{ecomm}{hidden}{say}— Вашей неизменной шляпы, сэр, — отвечаю я, понимая, кто передо мной... {said}Иди {page:blue_insane}{ehidden}{3mm}{comm}ВАШЕЙ ЗНАМЕНИТОЙ ВИНТОВКИ, СЭР{ecomm}{hidden}{say}— Вашей знаменитой винтовки, сэр, — отвечаю я, понимая, кто передо мной... {said}Иди {page:blue_insane}{ehidden}{3mm} {comm}ВАШЕЙ ЗЛОСЧАСТНОЙ ТРУБКИ, СЭР{ecomm}{hidden}{say}— Вашей злосчастной трубки, сэр, — отвечаю я, понимая, кто передо мной... {said}Иди {page:blue_insane}{ehidden}{3mm} {comm}СИГАРЫ, СЭР{ecomm}{hidden}{say}— Сигары, сэр! Просто добротной сигары! — отвечаю я, понимая, кто передо мной... {said}Иди {page:blue_insane}{ehidden}{3mm} {comm}МЕТАЛЛИЧЕСКОГО КЛЮЧА, СЭР{ecomm}{hidden}{say}— Металлического ключа, сэр, — отвечаю я, понимая, кто передо мной.  — А ещё… воздушного змея, мистер Бенджамин Франклин…<br>— Впечатляет… — кивает мне старик. — Сам ли, или с опытным наставником, но ты научился видеть целое в целом, и отдельные его части по отдельности. Ты не пытаешься отделаться ответами наугад, либо очень умело скрываешь своё незнание. Навык, по правде сказать, не менее важный, чем годы образования. Когда-то и я ушел от мнимого целого к деталям, а потом они сложились для меня в новую картину мира…<br>— Молния с небес! — потрясенно выдыхаю я, осознав истинную суть событий.<br>— Осторожно! — резко прерывает меня старик.{said}Иди {page:blue_enemy1#B}{ehidden}{3mm} {comm}БУМАЖНОЙ КАРТЫ США, СЭР{ecomm}{hidden}{say}— Бумажной карты США, сэр, — отвечаю я, понимая, кто передо мной, — А ещё... Ока провидения, Лучезарной Дельты... {said}Иди {page:blue_insane}{ehidden}{3mm};На этой странице гипнотизер может дать тебе совет, но выбор ответа — за тобой. Давать гипнотизеру подсказки, зачитывая ответы — запрещено!;;;;;
1;unknown;war;blue_insane;blue_insane.gif;None;;;$sack->drop('BBB')->add('R')->msg('На тебя снова накладывается новое Императивное Поведение — Безумие!');;— Глубина твоих познаний поражает! — мой собеседник улыбается мне, и я расплываюсь в ответ в довольной улыбке.<br>— Пошёл вон! — короткий щелчок пальцами — и комната перед моим взглядом тает, будто уносится вдаль. Я пролетаю сквозь двери, колючие, острые углы которых готовы поглотить меня как челюсти... нет времени, нет пространства, нет ничего, кроме агрессивных, сверкающих линий, которые высвечиваются в темноте. Сначала они кажутся мне похожими на звёзды далекого космоса, потом я вижу, как линии начинают упорядочиваться и выстраиваться в нечто, за что пытается зацепиться мой бедный разум.{1mm}Линии горят всё ярче и ярче, я уже почти могу ухватить то, что несёт мне космос, как в один миг всё замирает, а линии вспыхивают синим цветом, и в моих глазах остаётся этот взрыв…;;{hypno_end};;;;;;
1;unknown;war;blue_enemy1;;None;;;;;— Аргх!! — нечесанный мужчина в наглаженном красном мундире вваливается в комнату, размахивая саблей. За ним уже спешат и другие, наставив на нас дула своих мушкетов с прилаженными штыки. Краем глаза я успеваю заметить, что штыки окровавлены, словно бы ворвавшиеся чужаки уже успели расправиться с кем-то по дороге сюда…{2mm}{if:$_SESSION['labels']['rifle']}Я вскидываю свой Гаранд и стреляю, один за другим выпустив три патрона. Бережно сохраненная мной от воды винтовка не дает осечек.{1mm}Ближайший мужчина дергается, его глаза потрясенно выкатываются, словно бы он не ожидал увидеть такого чуда техники, и все же, захрипев, он отдает приказ, и другие солдаты направляют свои примитивные железки на меня.<br>— За короля, пли!! — выплевывает он...{else}— За короля, пли!! — выкрикивает мужчина, и остальные солдаты вскидывают свои допотопные орудия, направив их прямо на меня...{endif};;Скорее {page:blue_thunderbolt1};;;;;;
1;unknown;war;blue_thunderbolt1;;Lightng.WAV;;;if($_SESSION['labels']['rifle']) $sack->msg('Ближайшие 15 минут тебя трясет и колбасит, ничего не можешь удержать в руках…');;{if:$_SESSION['labels']['rifle']}Седой старик небрежно протягивает руку и комната озаряется ослепительной вспышкой молнии. Лишь в последний момент, когда моё тело сотрясает судорога, а сердце словно выпрыгивает из груди, я понимаю свою ошибку! Металлический ствол моей винтовки оказался как раз между красным мундиром и стариком…{else}Старик небрежно протягивает руку и комната озаряется ослепительной вспышкой молнии… Шокированный, я погружаюсь в темноту на несколько томительно долгих секунд...{endif};;{if:$_SESSION['labels']['rifle']}{hypno_end}{else}Потрясенный, иди {page:paine}{endif};;;;;;
1;unknown;war;paine;;;;;;;Совершенно другой мужчина сидит на том месте, где только что находился седеющий старик. Его лицо все ещё расплывается у меня в глазах, но я понимаю — он внимательно смотрит на меня, словно бы оценивая произведенный эффект. Я оглядываюсь. В комнате идеальный порядок. Лишь куча черной сажи у порога указывает на то, что только что случилось здесь.<br>— Вы что-то хотели узнать, сэр, не так ли? — любезно осведомляется мужчина. — Полагаю, нам не стоит терять времени. Мне ещё предстоит за сегодня написать монументальный труд, в котором я объясню всем и каждому, что именно они неправильно поняли. Да и письмо в Англию само себя не отвезёт! И на этот раз я сумею договориться — ни с королем, так с его премьер-министром…<br>Я ошалело кручу головой и думаю, что же мне спросить.;Узнать ли у мужчины, куда делся старик? А может — узнать, что только что тут случилось? Или спросить у нового собеседника, кто он? Или погодите, я знаю, кто он, и мне стоит ему об этом сообщить?;{comm}СПРОСИТЬ КУДА ДЕЛСЯ СТАРИК{ecomm}{hidden}{say}Я задаю свой вопрос и вдруг внезапно понимаю, что уже знаю на него ответ. Мужчина передо мной кивает, подтверждая мою догадку.<br>— Он умер. Весьма недавно по меркам истории. Довольно давно, если мерить масштабами сегодняшего дня. И, как и я, он сделал свой шаг в вечность и бессмертие. Вы удивлены моим ответом, сэр, но вы же отлично понимаете: игра разума и смыслов — самая захватывающая из игр. Вы задаете вопрос, и получаете один из возможных ответов. Каждый — предельно искренен и корректен, но лишать себя удовольствия от нашего общения было бы глупо…<br>— Загадки, опять загадки, — я качаю головой, ощущая, как теряю время.<br>— Осторожно! — мужчина резко подается вперед, в сторону двери...{said}Иди {page:blue_enemy2}{ehidden}{3mm}{comm}СПРОСИТЬ МУЖЧИНУ, КТО ОН{ecomm}{hidden}{say}Я задаю свой вопрос и вдруг внезапно понимаю, как нелепо и оскорбительно он звучит для моего собеседника. Мужчина сокрушенно кивает:<br>— Вы стали крайне мало читать, и еще меньше думать. И это не может не печалить. По сути дела, вы не знаете и не желаете знать ничего, о чем вам не покажут в кино, да и это забываете с поразительной быстротой. Такой ли век разума я представлял себе? Я полагал, что Америка готова вступить в новое время, но люди — люди бесконечно огорчают меня...<br>— Простите, сэр! — я изображаю раскаяние, но сам постепенно начинаю испытывать раздражение от этой потери времени.<br>— Осторожно! — мужчина резко подается вперед, в сторону двери...{said}Иди {page:blue_enemy2}{ehidden}{3mm} {comm}УЗНАТЬ, ЧТО ТОЛЬКО ЧТО СЛУЧИЛОСЬ{ecomm}{hidden}{say}Я задаю вопрос — и вдруг ощущаю, как нелепо он звучит. Я опять тороплюсь со своими вопросами, не думаю над ними как полагается. И это не добавляет мне уважения в глазах моего собеседника.<br>— Враг был повержен силою Чистого Разума, — внезапно отвечает мне мужчина. — Полагаю, вам может показаться, что я не человек. Но нет. Я человек, который прожил жизнь, ведомый разумом и рассудком, избавленный от стереотипов мышления и искренне желающий мира на земле. Жизнь моя была полезна для человечества…<br>— Это я видел, сэр, — киваю я, — но мой вопрос на самом деле…<br>— Осторожно! — мужчина резко подается вперед, в сторону двери...{said}Иди {page:blue_enemy2}{ehidden}{3mm} {comm}СКАЗАТЬ МУЖЧИНЕ, ЧТО Я ЕГО УЗНАЛ{ecomm}{hidden}{say}Мужчина, склонив голову, внимательно смотрит на меня {said}Иди {page:blue_whoami}{ehidden};На этой странице гипнотизер может дать тебе совет, но выбор ответа — за тобой.;;;;;
1;unknown;war;blue_whoami;;;;;;blue_enemy2#B ~ $sack->add('B');— Великолепно! — мужчина улыбается и его лицо окончательно тает в туманной дымке, — Слово есть ключ к любому знанию, величайший инструмент, позволяющий, нет, не познавать мир! Менять самую суть мира. Слова обладают властью убивать и воскрешать, как говорил один мудрый человек. Я же произношу другие слова, будьте внимательны, сэр: “Настало время испытать силу человеческой души!” Слово — словно камешек, срывающий лавины. И за каждым словом неизбежно наступают последствия. Вы произнесли ваши слова, сэр. Так ответьте, кто перед вами сейчас!;Что же мне сказать?;{comm}ЭТО ДЖОРДЖ ВАШИНГТОН{ecomm}{hidden}{say}— Ваше имя Джордж Вашингтон, — после короткого раздумия отвечаю я.{said}Иди {page:blue_insane}{ehidden}{3mm} {comm}ЭТО ТОМАС ДЖЕФФЕРСОН{ecomm}{hidden}{say}— Вы Томас Джефферсон, сэр, — после короткого раздумия отвечаю я.{said}Иди {page:blue_insane}{ehidden}{3mm}  {comm}ЭТО ДЖОН АДАМС{ecomm}{hidden}{say}— Отличная попытка, мистер Джон Адамс, сэр, но я вас узнал, — после короткого раздумия отвечаю я.{said}Иди {page:blue_insane}{ehidden}{3mm} {comm}ЭТО ТОМАС ПЕЙН{ecomm}{hidden}{say}— Ваш текущий облик... это Томас Пейн, сэр, — после короткого раздумия отвечаю я, — но что гораздо важнее и интереснее… Кто на самом деле послал вас, или кто стоит за этим обликом...<br>— О да! — мужчина кивает мне. — Вот это по-настоящему хороший вопрос. Скоро ты поймешь и это, и причины, которые побуждают меня так делать.<br>— Вы отсеиваете глупцов, сэр, — я усмехаюсь. — Идиотов, которые надувают щеки, а сами готовы не думать, а лишь катиться по накатанной. Тех, кто не может управлять ни своей жизнью, ни другими…<br>— Осторожно! — мужчина резко подается вперед, в сторону двери...{said}Иди {page:blue_enemy2#B}{ehidden}{3mm} {comm}ЭТО АЛЕКСАНДР ГАМИЛЬТОН{ecomm}{hidden}{say}— Будь я проклят, если вы не Александр Гамильтон — после короткого раздумия отвечаю я, — Я читал про вас в одной книге...{said}Иди {page:blue_insane}{ehidden}{3mm} {comm}ЭТО БЕНДЖАМИН ФРАНКЛИН{ecomm}{hidden}{say}— Вы выдающийся ученый, политик и дипломат, Бэнджамин Франклин — после короткого раздумия отвечаю я.{said}Иди {page:blue_insane}{ehidden}{3mm} ;На этой странице гипнотизер может дать тебе совет, но выбор ответа — за тобой. Даже НЕ смей читать гипнотизеру варианты и подсказывать ему!;;;;;
