print;athlas;story;page;image;music;label;rules;code;transfer_codes;scen;todos;actions;addons;—;«»;{comm}{ecomm}{hidden}{say}{said}Иди {page:years_ago#}{ehidden}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;world;entry;;;;;"arsort($_SESSION['labels']['unknown']); foreach ($_SESSION['labels']['unknown'] as $_SESSION['labels']['story_color']=>$tmp) break; $sack->msg('Императивное поведение закончилось.')";long_journey#creatures ~ $heap->add('G') ~ long_journey#question ~ $heap->add('B') ~ long_journey#feelings ~ $heap->add('R') ~ ;— Мы заберём остатки крови, выпьем его чувства, не дадим им уйти в землю, — шелест травы, запах цветов, журчание ручья и пение птиц.<br>— НЕТ! — рёв горного водопада, вой ветров и звон меди, — сперва мы заберём череп и шкуру. Это  достойный трофей!<br>— Глупцы! — презрительное мряканье, треск искр по шерсти и запах старой бумаги и озона, — Самое ценное потеряно! Память и разум уничтожены. Нечего брать…{2mm}Человек открывает глаза, заставив обступивших его созданий потрясенно попятиться назад.<br>— Немыслимо!<br>— Впечатляюще!<br>— Удивительно!<br>— Он… Он отмечен Знаком Протектора, — проносится шелест голосов. ;Но что же сделает сам человек? Схватится за оружие и вскочит на ноги, чтобы встретить угрозу лицом к лицу? Или он проявит любопытство, задаст вопрос, что есть этот Знак Протектора? Или он попытается прислушаться к своим ощущениям, а в остальном доверится интуиции?;{comm}Вскочить{ecomm}{hidden}{say}Существа окружают человека, держась тремя обособленными группами. Прекрасные Наги — полуженщины-полузмеи: тонкие красивые лица и алые цветы вместо волос. Огромные Горгоны — бычьи головы, мощные торсы, могучие мускулы играют под чешуёй шести рук. И Котоящеры — синеглазые коты, по мелким чешуйкам которых пробегают струйки электричества.<br>Револьвер человека направлен на существ, заставив их с осторожностью попятиться назад…{said}Рассмотрев существ, человек идет {page:long_journey#creatures}{ehidden}{3mm} {comm}Задать вопрос{ecomm}{hidden}{say}— Знак Протектора? — произносит человек. — О чём вы говорите?<br>— Твои глаза, — отвечают существа с почтением в голосе, — мы видим в них золото! Но в них же и чертота, окончательная и бесповоротная… Это удивительно и прекрасно. Это любопытно и захватывает. Это внушает уважение! Это… пугает нас.{said}Обдумав ответ существ, человек отправляется {page:long_journey#question}{ehidden}{3mm} {comm}Прислушаться к чувствам{ecomm}{hidden}{say}Человек ощупывает себя, прислушивается к своим ощущениям. Его тело вроде бы цело. Ему не холодно. У него ничего не болит… Минуточку! Как это ничего? Человек замирает в ужасе от потрясения, а существа придвигаются чуть ближе, словно тянутся к нему...{said}Пережив это потрясение, человек идет {page:long_journey#feelings}{ehidden};;;;;;
1;unknown;world;long_journey;;;;;;;— Он ещё не знает, ещё не понял! — произносят существа. — Должны сказать ему!<br>— О чём? — спрашивает человек, пытаясь не показать своего страха.<br>— Это сложно объяснить… Но мы попробуем… — мелодично звучат голоса существ, что похожи на прелестных девушек.<br>— Ты МЁРТВ! — рявкают огромные твари с шестью руками, решив не тянуть с этим открытием.<br>— Ты разбит на части, — спокойно поясняют создания с любопытными мордочками.<br> — Этого не может быть, — возражает человек. Существа усмехаются.<br>— Тогда скажи нам, кто ты! — Человек дергается, словно от удара. Он уже знает: существа правы. Его прошлая личность и жизнь разлетелись тысячей осколков в конце падения.<br>— Есть и хорошая новость! — замечают котоподобные создания. — Ты отмечен Знаком Протектора. А значит… Протектор мог бы помочь тебе. Собрать тебя заново.<br>— Но ты никогда не сможешь до НЕГО добраться, — хмыкают огромные быкоподобные твари.<br>— Это правда… — тихо шелестят девушки-змеи.<br>— Человек сможет, — возражает им человек, — скажите лишь, как его найти.{2mm}— Дом Великого Протектора далеко… За бесконечным Плато, длиною в целый мир. За Великим Городом, ныне населенном лишь тенями. За бескрайним, безбрежным Океаном. Но всё это не важно, — заканчивают существа, — ибо ты никогда не преодолеешь Великую Бездну!;;Путь к Бездне ведет {page:abyss};;;;;;
1;unknown;world;abyss;;;;;;plateau_leng#cats ~ $heap->add('BB') ~ plateau_leng#nagas ~ $heap->add('RR') ~ plateau_leng#bulls ~ $heap->add('GG') ~ ;Разлом рассекает мир напополам, от горизонта до горизонта. Другого его края не видно. Дна тоже не видно — в глубине клубится густой, непроглядный туман. Человек обречённо отходит от края. Нет никаких шансов перебраться на другую сторону. Лишь радужный мост, узкий и зыбкий, начинается от края Бездны. Мост не выдержит веса человека.<br>— Мы легко перевезём твоё сознание… — продолжают уговаривать Котоящеры. — Сначала мы отделим твой мозг от тела и положим его в эту банку… Это простая процедура! Что может пойти не так?.. Ведь сознание и разум — единственное, что может пересечь безграничную пустоту пространства и времени!..<br>— Не слушай их! — перебивают женщины-цветы. — Пойми и прими, что твоё тело никогда не пересечет Бездны. Но твои потомки — будут по другую её сторону. Просто будь с нами, отдай нам себя всего. Твою кровь и прах — и тогда дуновение эфиров перенесёт наши общие семена через пространство. Лишь умирая, ты продолжишь жизнь! <br>— Это бред! — ревут ящеры-быки. — Но ты же не станешь делать эти глупости? Просто брось нам вызов! Сразись с нами! И когда ты падёшь, гремящая слава этой битвы разлетится по миру. Для славы нет преград и расстояний. Слава — то единственное, что переживет тебя, но сохранит твоё имя в веках!;Что же выберет человек? Поверит котам с банкой? Отдаст свою плоть и кровь женщинам? Примет вызов быков? Или не станет играть по их правилам и ступит на радужный мост?;{comm}КОТЫ И БАНКА ЗВУЧАТ РАЗУМНО{ecomm}{hidden}{say}...Бескрайний космос проплывает вокруг, Бездна остается позади. У неё действительно не было дна. Но противоположный край — был. Синеглазые не ошиблись, рассчет был точным и верным. Молния и сознание имеют электрическую природу и могут быть сохранены в банке. На скорости мысли само время течёт по иному. Три дня — и двадцать лет, суть одно{semi} всё зависит лишь от абсолютной скорости. Конец пути уже близок...{said}Вперед, {page:plateau_leng#cats}{ehidden}{3mm} {comm}ВОЗЛЕЧЬ С ЖЕНЩИНАМИ ПРИВЛЕКАТЕЛЬНО{ecomm}{hidden}{say}Жизнь не имеет конца, как не имеет дна Бездна между человеком и вечностью. В этом самая суть жизни. Поддерживая самая себя, распространяясь вокруг и везде, занимая мир, наполняя и постигая его. Не мужи завоевывают земли. Не разум движет Вселенной. Это делает жизнь. Крошечные частички того, что ранее было человеком, плывут по эфирам, дабы через двадцать лет и три дня достичь иного конца пропасти... {said}Вперед, {page:plateau_leng#nagas}{ehidden}{3mm}{comm}СРАЗИТЬСЯ С БЫКАМИ ЗВУЧИТ ДОСТОЙНО{ecomm}{hidden}{say}Человек падает сражённым, не выпустив из рук свой револьвер. Кровь стекает по земле, переливается через край Бездны… Пропасть между человеком и иным действительно не имеет дна — но имеет иной край, как меч, имеющий две стороны клинка. Конец жизни неизбежен, и  бессмысленно бежать его. Но слава человека бежит впереди его. Это ли не подлинное бессмертие?.. {said}Вперед, {page:plateau_leng#bulls}{ehidden}{3mm} {comm}РАДУЖНЫЙ МОСТ ВЫДЕРЖИТ ЧЕЛОВЕКА!{ecomm}{hidden}{say}...Отвергнув предложения и отмахнувшись от предостережений, человек ступает на мост. Звон хрусталя. Стук капель дождя. Треск ломающихся мачт. Человек бежит вперед, и мост рассыпается у него за спиной. Красный, Зеленый, Синий — обломки сыпятся в Бездну. А потом ничего не остается под ногами человека — и он сам летит вникуда.{3mm}Страх… Жажда… Голод… Туман… Туман везде и повсюду. Нет ничего, кроме этого тумана. Проходят сутки, трое, двадцать лет. Падение длится вечно...{said}Человек падает {page:broken}{ehidden}{3mm};;;;;;
1;unknown;world;plateau_leng;;;;;;years_ago#men ~ $heap->add('GG') ~ years_ago#women ~ $heap->add('RR') ~ years_ago#shaman ~ $heap->add('BB');Мужчины с копьями, поджарые и подтянутые. Женщины почти не носят одежд. Старики в перьях выпускают струйки дыма из своих трубок. Маленькое племя, живущее на плато — и весь народ этого мира. Не знающие лживой власти денег. Не знающие войн. Как дети, они смотрят на мир открытыми глазами.<br>— Бейся с Чаком, он сильный воин! — говорит вождь. — Тогда ты будешь охотиться с нашими мужчинами, и наша добыча станет и твоей!<br>— Возляжь с женщинами, — говорит старуха, — дай племени новую кровь, и тогда их дети будут и твоими детьми. Наш народ станет и твоим народом!<br>— Воскури трубку с нашим шаманом, — говорит старик. — Так призовем мы наших духов и твоих духов, и скрепим их мудростью наш мир!;Что же сделает человек?;{comm}Охотиться с мужчинами{ecomm}{hidden}{say}Человек принимает вызов. Он охотится с мужчинами, ловко обращаясь с копьем. Он учит их делать луки, а те учат его ставить силки и находить потайные тропы… Блуждая в густых туманах, они проводят в походе трое суток...{said}Бок о бок с воинами племени человек идет {page:years_ago#men}{ehidden}{3mm} {comm}Возлечь с женщинами{ecomm}{hidden}{say}Молодые женщины искренни в своем интересе. Они приходят, принося забродивший сок ягод и лепешки. Жарко горит огонь в очаге. Так проходит трое суток...{said}В компании прекрасных дев человек идет {page:years_ago#women}{ehidden}{3mm} {comm}Курить с шаманом{ecomm}{hidden}{say}Человек затягивается, выпуская густое облако дыма. Палатка шамана утопает в ней, и духи являются на зов… Разговор с ними растягивается на трое суток...{said}Вместе с шаманом человек идет {page:years_ago#shaman}{ehidden}{3mm};;;;;;
1;unknown;world;years_ago;;;;;;;— Останься с нами, — просит старый шаман, и молодой вождь, и женщины племени. — Вокруг лишь леса и болота. Двадцать лет ты прожил среди Народа — куда же ты пойдешь сейчас?;Человек колеблется. Должен ли он уйти? Или остаться?;{comm}УЙТИ{ecomm}{hidden}{say}Покачав головой, человек уходит. Он уходит, ещё не зная о том, что он принёс племени смерть. Невидимые, черные её крупицы, что он носил в себе всю жизнь, привыкнув к ним. Племя было беззащитно перед ними...{said}Человек уходит {page:great_city}{ehidden}{3mm}{comm}ОСТАТЬСЯ{ecomm}{hidden}{say}Человек остается, чтобы прожить свою простую жизнь среди этих людей. Бесконечное плато принимает его...{said}Судьба ведет человека {page:broken}{ehidden};;;;;;
1;unknown;world;great_city;;;;;;"ship_choose#watch ~ $sack->drop('BBBBB'); $heap->drop('B') ~ ship_choose#gun ~ $sack->drop('GGGGG'); $heap->drop('G') ~ ship_choose#cloak ~ $sack->drop('RRRRR'); $heap->drop('R') ~";Некогда великий, Город лежит в руинах. На краю его — огромная воронка. Вокруг — насколько хватает глаз, пустыня. Война и осада сокрушили и уничтожили его. Жители были истреблены. Ради чего?<br>Лишь старая седая женщина, согбенная годами и горем, теперь живет в нем. Лишь слепой мальчишка, лет двенадцати, держит её за руку. Лишь бойкая девчонка добывает для них пищу…<br>— Вы не подскажите, сколько времени, сэр? — спрашивает мальчик.<br>— Четыре минуты до полуночи, — отвечает человек, холодея от смысла произнесенных им слов.<br>— Подарите мне ваши часы, сэр, — тихо произносит ребенок.<br>— Мы не разводим огонь, — говорит старуха, — ибо он привлекает тварей. Ночи здесь тянутся годами… Если бы у меня был теплый плащ, чтобы согреть детей…<br>— Я могу защитить их, сэр, — упрямо произносит девчонка, сверкая глазами. — Научите меня! Или оставьте мне ваше оружие!{3mm}Человек в смятении. Он может отдать свои часы слепому мальчишке — но тот не увидит времени. Он может отдать свой револьвер девчонке — но в нём давно уже нет патронов. Он может отдать свой плащ старухе — но это не накормит несчастных, а лишь продлит их мучения. Или он мог бы остаться здесь, взяв на себя заботу о них. Существа предупреждали не делать так!{2mm};Но что же делать человеку?;{comm}ОТДАТЬ ЧАСЫ{ecomm}{hidden}{say}Человек не произносит ни слова, передавая часы ребенку. Бессмысленность и обреченность этих людей подавляет. Где-то далеко остается лишь четыре минуты до полуночи. Человек должен спешить!{said}Человек уходит {page:ship_choose#watch}{ehidden}{3mm} {comm}ОТДАТЬ РЕВОЛЬВЕР{ecomm}{hidden}{say}Человек не произносит ни слова, передавая револьвер девочке. Бессилие и обреченность этих людей подавляет. Где-то далеко есть те, кому тоже нужны патроны… Человек должен спешить!{said}Человек уходит {page:ship_choose#gun}{ehidden}{3mm}{comm}ОТДАТЬ ПЛАЩ{ecomm}{hidden}{say}Человек не произносит ни слова, передавая плащ старухе. Безнадежная обреченность этих людей подавляет. Но где-то далеко стареют те, кто был ему дорог! Человек должен спешить!{said}Человек уходит {page:ship_choose#cloac}{3mm}{ehidden}{2mm}{comm}ОСТАТЬСЯ{ecomm}{hidden}Человек остается, а история течет дальше, {page:lost_city}{ehidden};;;;;;
1;unknown;world;lost_city;;;;;"$sack->drop('*R*G*B*Y');";;Человек остается, сам выбрав свою смерть. Здесь, на краю Вселенной, на руинах Города, остались те, кого можно спасать, но не осталось никого, кто может быть спасен. Осколки старого человека, разбросанные по всем мирам, медленно гаснут один за другим. Их никто не собирает...;;Река времени течет дальше, {page:broken};;;;;;
1;unknown;world;ship_choose;;;;;;;— Выбрать корабль следует мудро, — мрякают Котоящеры, — ведь именно он доставит тебя к Протектору. Узри же!{2mm}...{2mm}Он был плоский, как иные миры и мысли, огромный, как гора, и стоял на самом пике, балансируя на точке опоры. Корпус был собран из Столпов, переливался космическим синим цветом и отражал бирюзовые блики подступающего бурного океана...{2mm}— Монитор! Новая эпоха в истории миров! — чешуйки топорщатся, между усиками пробегают вспышки электричества. — Выбери его, не сомневайся!<br>Человек бредет мимо плоской громадины, увенчаной башней, вперед по пляжу. Он должен сделать правильный выбор, а потому сперва увидит всё своими глазами. Путь приводит его к гавани...{2mm}...{2mm}Льётся свет, и он видит множество лёгких парусников и каравелл в гавани. Алые паруса на ветру...{2mm}— Ты не сможешь управиться с целым флотом, в том нет ни малейшего смысла! — голоса преследуют человека, — Ты один, так зачем тебе эта бесполезная флотилия?<br>— Не бросай их, — просят женщины-змеи, — веди флот, ибо в руках твоих покоится наша надежда, как покоится ребенок в руках матери.<br>Человек не отвечает, двигаясь вперед. Подходит к концу третий день, когда он достигает русла реки, где возвышается третий исполин.{2mm}...{2mm}Наклонные прочные стены с малахитовыми переливами, внутри которых разместились шесть гладкоствольных и четыре нарезных орудия. Два перекрестия — полосы меди, крепят борта. Гигантский бивень, на который будут насажены те, кто пойдёт против, торчит из носа. Эта рыба умеет плыть против течения...{2mm}— Ты не управишься с ним! Это просто невозможно! — существа неустанно бегут за человеком. <br>— Это дом и надёжное судно, что унесёт тебя к новому берегу, который ты завоюешь! Нет жизни полнее, а реки полноводнее, чем Мрмк, — чеканят быкоподобные создания, пританцовывая в нетерпении.;Что же сделает человек? Взойдет на борт Монитора? Возглавит эскадру с алыми парусами? Примет речного исполина, как новый дом? Или пустится в плавание на утлом суденышке?;"{comm}ВЫБРАТЬ МОНИТОР{ecomm}Человек всходит на палубу и отчаливает {page:monitor_ship}{3mm} {comm}ВЫБРАТЬ АЛЫЕ ПАРУСА{ecomm}Человек всходит на палубу и отчаливает {page:redsails_ship}{3mm} {comm}ВЫБРАТЬ КОРАБЛЬ ДОМ{ecomm}Человек всходит на палубу и отчаливает {page:merimak_ship}{3mm} {comm}ПЛЫТЬ НА УТЛОМ СУДЕНЫШКЕ{ecomm}На утлом челне сквозь бури и шторма человек плывет {page:self_ship}{3mm}
";;;;;;
1;unknown;world;monitor_ship;;;;;"$heap->add('BBBB'); $_SESSION['labels']['unknown']['blue'] += $heap->getBlue(); ";;"Человек восходит на Монитор, открывая новую эпоху в истории миров. Корабль ныряет в эфир и начинает разгон, оставляя позади пережёванное, истерзанное пространство. Спустя трое суток он набирает достаточную скорость… Прыжок! Далеко впереди человек видит Город. И он...
";;Отправляйся в Город {page:wiseman_dome};;;;;;
1;unknown;world;redsails_ship;;;;;"$heap->add('RRRR'); $_SESSION['labels']['unknown']['red'] += $heap->getRed(); ";;Человек разрывается между двумя флагманами. Обе — прекрасны и быстры. Она королева. Она принцесса. Корабль — не просто так {quot}она{quot} в английском языке. Терзаясь сомнениями, переходя с борта на борт, человек не замечает, как проходит трое суток, а затем и двадцать лет… Далеко впереди человек видит Город. И он...;;Отправляйся в Город {page:rainbow_dome};;;;;;
