print;name;picture;flavor;check;remind;type;
0;Местные красоты;crypto/fields.png;В этом наборе архивных документов содержится набор бессвязных историй, фотографий и газетных заметок о землях, расположенных в окрестностях Салема. Даже если среди всего этого и содержится что-то полезное, все равно, читать эти документы — безумно скучно и утомительно...<br/>Но возможно, работа пошла бы бодрее и продуктивнее, если бы ты для начала лично осмотрел местные красоты и прошелся по полю, задумчиво дымя сигаретой...;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}<b>Потрать</b> из своего мешка <b>2 Синих Камня И 2 Зеленых И 2 Синих и/или Зеленых в любой пропорции</b> (просто достань и сбрось их), чтобы внимательно и скрупулезно пролистать все бумаги...{2mm}{OR}{2mm}<b>Выкури Сигару, бродя по одному из Полей</b> на окраине города, после чего, вдохновившись, <b>потрать</b> из своего мешка <b>ОДИН Камень</b> (Красный, Синий или Зеленый) на твой выбор.{2mm}<b>Второе условие</b> ({quot}скидка{quot}) одноразовое (одна прогулка с сигарой — один конверт).;;hitch;5
0;Глава семьи;crypto/folder1.png;В этой папке содержится набор старых архивных записей о том, как собственность на землю переходила от отца к сыну, начиная с первых переселенцев. Выглядит забавно, но ужасно утомительно и скучно, особенно из-за обилия местных фамилий...<br/>Возможно, изучение этих записей прошло бы продуктивнее, если бы ты переговорил с главами семей, владеющих всеми этими полями сейчас, узнал бы, кто кому кем в городе приходится и что вообще выращивают...;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}<b>Потрать</b> из своего мешка <b>5 Синих</b> Камней.{2mm}После вскрытия конверта проверь, о каком Поле идет речь. Если ты ранее общался с владельцем <b>именно этого Поля</b> и получил информацию об этом Поле — <b>верни 4 Синих</b> Камня <b>обратно</b> в свой мешок.;;hitch;6
0;Незванный гость;crypto/books.png;Ряд архивных записей косвенно свидетельствует о том, что на нынешних окраинах города, занятых бескрайними полями местных жителей, раньше находились гораздо более любопытные объекты. Однако твой догадки явно будет недостаточно, чтобы убедить кого-то из высоколобых университетских стариканов или комитетских пиджаков о том, что здесь стоит проводить раскопки и предоставить тебе грант на это дело. Эх, вот бы осмотреть дома местных! Это сразу подсказало бы, в какую сторону стоит копать!..;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}<b>Потрать</b> из своего мешка <b>5 Синих</b> Камней.{2mm} {OR} {2mm}Проникни в дом местных жителей (НЕ принадлежащий тебе) и <b>осмотри все его комнаты</b>. {1mm} После этого, вернувшись в библиотеку, напиши на этом конверте, чей дом ты осмотрел и что необычного там видел, и можешь вскрыть этот конверт.{1mm}Один осмотренный дом позволяет открыть один такой конверт.;;hitch;5
0;Этнография;crypto/book4.png;Полистав разные записи об истории города и его окрестностях, ты все больше склоняешь к мысли, что поля на окраине Салема скрывают множество загадок и исторических ценностей. Но цельная картинка у тебя все еще не сложилась. Что ж, нужно думать и копать дальше! И возможно, удачной идеей было бы начать с расспросов местных жителей...;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее {2mm}<b>Потрать</b> из своего мешка <b>5 Синих</b> Камней.{2mm}{OR}{2mm}<b>Потрать</b> из своего мешка <b>ОДИН Синий</b> Камень, если ты <b>выпил с местными</b> (в закусочной Джона Саливана, или в любой другой обстановке), и они <b>ответили на твои вопросы про Поля</b> на окраине города.;;hitch;5
0;Прикладная геометрия;crypto/salem_map_1692.jpg;Довольно свежее исследование какого-то профессора математики из Массачуссетского Университета. Нельзя отказать профессору в изобретательности — он приходит к совершенно невероятным выводам, пользуясь только картой здешних земель и курсом геометрии для средней школы. Выглядит это как ужасное нагромождение формул и схем, а некоторые закономерности, выраженные проведенными через карту Салема линиями, смотрятся просто фантастическими.;<b>Чтобы вскрыть этот конверт</b>, нужно сделать следующее: {2mm} Потрать из мешка <b>5 Синих</b> Камней, чтобы разобраться во всех схемах, чертежах и геометрических линиях, нанесенных на карту профессором.{2mm}{OR}{2mm}Пройди по всему Салему, лично увидев, где находятся <b>все шесть</b> Полей в Салеме (достаточно увидеть, где находится табличка с названием поля). {1mm}После этого <b>потрать 1 Синий</b> Камень, чтобы соотнести все выкладки профессора с реальной геометрией города.;;hitch;3
0;Еще доказательства?;crypto/books3.png;Полистав разные записи об истории города и его окрестностях, ты окончательно убедился, что поля на окраине Салема, по недоразумению используемые местными жителями для ведения сельского хозяйства, скрывают настоящие сокровища истории! Надо оформлять заявку на экспедицию — и срочно копать! Но тебе никогда не дадут грант, пока ты не напишешь по-настоящему убедительного письма, проявив настойчивость, пыл и продемонстрировав неоспоримые факты. Или не предоставишь железные доказательства своей правоты!;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}Достань из своего мешка и сбрось <b>3 Синих, 2 Зеленых и 1 Красный</b> Камни. {2mm}{OR}{2mm} Собери <b>три пробы почвы</b> с Поля «Виноградники Бейли» и отнеси их на Почту. Этих доказательств твердолобым бюрократам должно хватить.;;hitch;1
0;Еще доказательства?;crypto/books3.png;Полистав разные записи об истории города и его окрестностях, ты окончательно убедился, что поля на окраине Салема, по недоразумению используемые местными жителями для ведения сельского хозяйства, скрывают настоящие сокровища истории! Надо оформлять заявку на экспедицию — и срочно копать! Но тебе никогда не дадут грант, пока ты не напишешь по-настоящему убедительного письма, проявив настойчивость, пыл и продемонстрировав неоспоримые факты. Или не предоставишь железные доказательства своей правоты!;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}Достань из своего мешка и сбрось <b>3 Синих, 2 Зеленых и 1 Красный</b> Камни. {2mm}{OR}{2mm} Собери <b>три пробы почвы</b> с Поля «Mayflower Glory: Владения Пикерингов» и отнеси их на Почту. Этих доказательств твердолобым бюрократам должно хватить.;;hitch;1
0;Еще доказательства?;crypto/books3.png;Полистав разные записи об истории города и его окрестностях, ты окончательно убедился, что поля на окраине Салема, по недоразумению используемые местными жителями для ведения сельского хозяйства, скрывают настоящие сокровища истории! Надо оформлять заявку на экспедицию — и срочно копать! Но тебе никогда не дадут грант, пока ты не напишешь по-настоящему убедительного письма, проявив настойчивость, пыл и продемонстрировав неоспоримые факты. Или не предоставишь железные доказательства своей правоты!;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}Достань из своего мешка и сбрось <b>3 Синих, 2 Зеленых и 1 Красный</b> Камни. {2mm}{OR}{2mm} Собери <b>три пробы почвы</b> с Поля «Владение Сибли» и отнеси их на Почту. Этих доказательств твердолобым бюрократам должно хватить.;;hitch;1
0;Еще доказательства?;crypto/books3.png;Полистав разные записи об истории города и его окрестностях, ты окончательно убедился, что поля на окраине Салема, по недоразумению используемые местными жителями для ведения сельского хозяйства, скрывают настоящие сокровища истории! Надо оформлять заявку на экспедицию — и срочно копать! Но тебе никогда не дадут грант, пока ты не напишешь по-настоящему убедительного письма, проявив настойчивость, пыл и продемонстрировав неоспоримые факты. Или не предоставишь железные доказательства своей правоты!;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}Достань из своего мешка и сбрось <b>3 Синих, 2 Зеленых и 1 Красный</b> Камни. {2mm}{OR}{2mm} Собери <b>три пробы почвы</b> с Поля «The Wind that Shakes the Barley» и отнеси их на Почту. Этих доказательств твердолобым бюрократам должно хватить.;;hitch;1
0;Еще доказательства?;crypto/books3.png;Полистав разные записи об истории города и его окрестностях, ты окончательно убедился, что поля на окраине Салема, по недоразумению используемые местными жителями для ведения сельского хозяйства, скрывают настоящие сокровища истории! Надо оформлять заявку на экспедицию — и срочно копать! Но тебе никогда не дадут грант, пока ты не напишешь по-настоящему убедительного письма, проявив настойчивость, пыл и продемонстрировав неоспоримые факты. Или не предоставишь железные доказательства своей правоты!;<b>Чтобы вскрыть этот конверт</b> и забрать содержимое, нужно сделать следующее: {2mm}Достань из своего мешка и сбрось <b>3 Синих, 2 Зеленых и 1 Красный</b> Камни. {2mm}{OR}{2mm} Собери <b>три пробы почвы</b> с Поля «Виноградники Мейер» и отнеси их на Почту. Этих доказательств твердолобым бюрократам должно хватить.;;hitch;1
