print;level_name;image;level_text;difficulty1;solve_name1;solve_text1;difficulty2;solve_name2;solve_text2;success;s_effect;failure;f_effect;—
1;Электростанция 1;top_secret.gif;Мы полагали, что подключение станции пройдет без проблем, однако старший монтажник вернулся ни с чем. {quot} Топливо, госода ученые, топливо исчезло{quot} . Несомненно, это дело рук техников, простых работяг, нанятых за более чем скромную плату. Вот и стараются заработать {quot} на местах{quot} . Мы решили, что сбыть все сразу они точно не могли, а значит, часть канистр еще припрятана тут, в старых тоннелях. Один из нас, нетерпеливый <i>[персонаж]</i>, уже направлялся к техникам, чтобы поговорить по душам с воришками. А нам предстояло быстро решить, что же нам делать: разделиться и обыскать шахты, понадеявшись на свою сообразительность, или всем вместе воззвать к совести рабочих.;3;Разделиться и обыскать;{plus}  за {gem_blue} <br/>{zero}  за {gem_red}  {gem_green} ;3;Воззвать к техникам;{plus}  за {gem_red}  <br/>{zero}  за {gem_blue} {gem_green}  ;Благодаря нашим усилиям канистры с дизельным топливом были водворены на место. Их осталось вполне дотаточно, чтобы электростанция поработала еще пару часов. Большего нам и не нужно.;Из потраченных всеми на эту ситуацию Камней Рассказчик <b>забирает в свой мешок ДВА Камня, которые были в плюс</b> (учитывая лимит).;Ни уговоры, ни поиск следов не привели ни к чему. Канистры пропали совершенно бесследно. Только <i>[персонаж]</i> , кажется, хорошо провел время и прочитал техникам целую пламенную речь о войне и долге, встреченную бурным одобрением.;Герой <b>тянет из мешка 1 Камень НЕ глядя</b> и смотрит его цвет:<br/>* <b>Синий или Зеленый — сбрасывает{semi}</b><br/>* <b>Красный — возвращает в мешок и берет ещё 1 Красный.</b>;
1;Электростанция 2;top_secret.gif;Прежде чем приступить к работе, нам надлежало обеспечить лабораторию светом и теплом, и старенькая дизельная электростанция дожна была отлично справиться с задачей. Мы попросили легкого на подъем <i>[персонажа]</i> заняться этим. Однако, время идет, а света все нет. К нам прибегает запыхавшийся техник.{1mm}— БЕДА! — кричит он с порога, — Скорее идемте к  электростанции, думаю, ваш друг в опасности. Мы, побросав чертежи поспешили за ним.<br/>— За всю мою жизнь не видел ничего подобного! — торопливо бормотал техник. И не удивительно. Еще на подходе к станции мы увидели яркий свет. В пещере, где стояли генераторы, плавал ослепительный искрящийся шар электричества. Шаровая молния, тут, под землей? Но как? Однако на раздумье не было времени. Шаровая молния вилась вокруг нашего товарища. Предстояло нелегкое решение. Отбросить страх и, рискуя здоровьем, вытащить товарища и после активировать подстанцию, или осмотреться в поисках какого-то научного подхода к этому феномену.;2;Спасать товарища;{plus}  за {gem_green} <br/>{zero}  за {gem_blue}  {gem_red} ;3;Осмотреться;{plus}  за {gem_blue}   <br/>{zero}  за {gem_red}  {gem_green} ;Наши усилия увенчались успехом. Шар света безопасно разрядился в конденсаторы. Шаровая молния могла бы задеть нас, но, благодаря нашей решительности или, быть может, знаниям физики, нам удалось отвести её и даже использовать. Свет и тепло стали нашей наградой. ;Рассказчик может <b>запитать один дополнительный комплекс</b> к тем двум, что электростанция обеспечивает штатно.;Наши усилия оказались недостаточно слаженными — шаровая молния как будто парализовала нашу волю и наш рассудок. И это дорого обошлось <i>[персонажу]</i>. Шар как будто почувствовал, что мы дали слабину, и разрядился голубоватой вспышкой в нашего товарища. Впрочем, электростанцию, мы всё же подключили.;Электростанция подключена и работает.{1mm}<b>Герой Ранен</b> (но может отменить Ранение Проверкой).;
1;Электростанция 3;top_secret.gif;Мы подошли к пещере с дизельной электростанцией, каким-то шестым чувством ожидая возникновения проблем и осложнений. И они не заставили себя ждать! Стоило запустить генератор, как одна из электрических ламп внезапно вспыхнула и взорвалась, разбрызгивая осколки стекла и искры. От возникшего замыкания свет коротко мигнул и погас — кажется, катушка этого генератора расплавилась. Видимо, нам ничего не остается, кроме как выделить пару техников поумнее и отправить их на поверхность за новой катушкой. А перед этим следует подробно и обстоятельно объяснить этим деревенщинам процедуру запуска генератора и решительно донести до них всю важность быстрого выполнения этой задачи. А еще могли бы помочь деньги, скажем по полсотни баксов каждому для большей расторопности.{2mm}Однако у одного из нас — нетерпеливого <i>[персонажа]</i> — возникла альтернативная идея: не дожидаясь отправки рабочих, он взял свой ручной фонарь и направился к складу старого оборудования. Он должен быть где-то в соседних тоннелях...;3;Отправить рабочих;{plus}{plus}  за 100$ <br/>{plus}  за {gem_green}  {gem_blue}  <br/>{zero}  за {gem_red} ;;;;Спустя короткое время свет вспыхнул вновь, ярко освещая подземные проходы. Рабочие прониклись ответственностью задачи и приобрели нужную деталь. Теперь копмлексы обеспечены энергией, и мы можем приступать к главному...;Рассказчик получает <b>право: за сброс Красного И Зеленого Камня ОТМЕНИТЬ получение им Ранения</b> в любых будущих ситуациях.;Минуты проходили за минутами, но туннели по-прежнему были погружены в темноту. Нам оставалось лишь гадать — то ли рабочие не смогли понять наши инструкции, то ли просто решили  потратить корпоративные деньги с большим удовольствием. А помом мы услышали крик нашего ушедшего в туннели товарища...;Скажи Герою, что он <b>увидел Символ с ОДНИМ Красным светодиодом</b> и обязан сразу пройти Проверку «Защита от Символа».;
1;Электростанция 4;top_secret.gif;Электростанция — не такая уж безопасная штука. Вращающаяся катушка, пары испарений от топлива, недостаточная вентиляция пещер. На этот раз беда случилась с Джимми — наладчиком из верхнего Салема. Паренек только что вернулся, так и не окончив колледж, говорят, собирался вступить в добровольцы, но не прошел по зрению. А сейчас его рука терялась в недрах дизельной станции довоенного образца. Судя по бледному лицу, парень рискует потерять тут много крови. К счастью, станцию заклинило.  Находившийся ближе всего к злосчастному доходяге <i>[персонаж]</i> безошибочно уловил, что скоро дело закончится трупом, и мы застрянем тут {quot}намертво{quot} , разбираясь  с рабочей партией Салема и профсоюзными боссами. А потому, пора уже что-то решать. Следует ли нам дружно и решительно рвануть Тимми, в надежде спасти все, что осталось от его руки, или, не допуская паники и не морщась от крови, спокойно и обстоятельно подклинить механизм и освободить парня.;3;Дернуть;{plus} за {gem_red} {gem_green} <br/>{zero}  за {gem_blue} ;4;Разобраться с машиной;{plus}{plus}  за {gem_blue} <br/>{plus}  за {gem_green}  <br/>{minus}{minus}  за {gem_red} ;Джимми удалось вытащить из вала как раз вовремя. Его рука сильно пострадала, но <i>[персонаж]</i>, все время стоящий рядом перетянул её ремнем, и быть может руку еще удастся спасти.;Рассказчик получает право: <b>ОДИН РАЗ</b> в течение этой экспедиции посмотреть на Камни, вытащенные им из мешка, и <b>молча, не советуясь ни с кем и не показывая эти Камни никому</b>, решить, бросить ли их в общий котел или вернуть к себе в мешок.;Идея была неплоха, но довести ее до конца мы не сумели. Джимии запаниковал, заметался и что-то зацепил в машине. С утробным рычанием машина хищно поглотила руку Джимии, провернулась еще пару раз и затихла, Джимии упал, заливая фонтанами крови самого себя и <i>[персонажа]</i>. Последний схватил парня  как раз вовремя, но нужно спасать  беднягу. Срочно нужен бинт или врач, иначе здесь будет труп...;Если среди персонажей <b>есть врач, или они потратят бинт — можно продолжать. Иначе — играйте  оформление</b> и работы закончены.{1mm}Отведи Героя в сторону. Сообщи ему, что он буквально чувствует как старая электростанция наслаждается кровью Джимии.{1mm}Скажи ему, что он <b>увидел Символ с ДВУМЯ Красными светодиодами</b> и обязан сразу пройти Проверку «Защита от Символа».;
1;Электростанция 5;top_secret.gif;Мы спокойно и без проблем запустили электростанцию, благо она была в хорошем состоянии. И вдруг… что-то привлекло внимание <i>[персонажа]</i>. Это была лужа, вытекавшая прямо из-под электростанции. Что это? маслопроводник пришел в негодность? Или конденсат, месяцами скапливавшийся в какой-то полости наконец прорвался наружу. Жидкость быстро пробиралась прямо к ногам нашего друга, а  <i>[персонаж]</i> только смотрел на неё зачарованно. Должны ли мы встряхнуть Героя, отдернув его от края жидкости?»{2mm} У нас есть РОВНО 15 секунд на решение этой ситуации, и пусть прораб начинает считать!;4;Встряхнуть!!;{plus}  за {gem_red}  {gem_green} <br/>{zero}  за {gem_blue} ;;;;Действуя дружно и решительно, мы выдернули <i>[персонажа]</i>  прямо за долю секунды до того, как жидкость коснулась его ног. Странно, но уже через минуту вся жидкость высохла, как будто её и не было.;Рассказчик <b>получает право</b>: в процессе этих работ <b>пройти Проверку {quot}Очнись!{quot}, сбросив из своего мешка 1 Красный ИЛИ 1 Зеленый</b> Камень.;Мы замешкались, толкая и подначивая друг друга, мешая и закрывая обзор. В это время странная жидкость лужей растеклась под  ногами нашего товарища. Мы выдернули его, и удивились тому, что кажется его ботинки совсем не промокли. Вроде все хорошо, но....;В случае провала электростанция все равно подключена и работает.{2mm}Отведи Героя в сторону. Скажи ему, что в момент, когда его коснулась жадкость, он слышал голоса и марши, и теперь  <b>получил установку Пропаганды работать на самую симпатичную лично ему державу противника.</b>;
1;Электростанция 6;top_secret.gif;Мы штатно запустили электростанцию и отправились по освещенным тоннелям к следующему комплексу, оставив пару техников наблюдать за мерно гудящей машиной. Вот только неприятное свербящее чуство, никак не оставляло нас. И верно, стоило нам распаковать чертежи и оборудование, как свет стал помаргивать. {quot}Ну, это ни в  какие ворота!{quot}  — воскликнул <i>[персонаж]</i>. Сдвинув брови, наш герой отправился выяснять, что не так с электричеством на этот раз. Мы подождали его еще немного, однако он все не возвращался, а из тоннеля потянуло выхлопными газами. Военное время не терпит отлагательств, но и за товарща беспокойно. Нужно ли нам приступить к работе без него, предоставив ему в одиночку разобраться с проблемой, или следует бросить все, и не рассуждая, дружно и решительно отправиться ему на помощь?;2;Приступить к работе;Проверка проходится только героем (1 Камень) <br/>{plus}{plus} за {gem_green} {gem_blue}<br/>{zero}  за {gem_red} ;4;Пойти всем вместе;{plus} за {gem_red} {gem_green}<br/>{minus} за {gem_blue} ;Наш дорогой  <i>[персонаж]</i> уже спешил к нам с радостными известиями. {quot} Вентиляция была не исправна, но теперь все хорошо.{quot}  ;Рассказчик получает право: <b>зачесть один успех любой ситуации, кроме Экспериментального комплекса и Оформления, без прохождения ситуации.</b>;Запах выхлопа становился все сильнее, и свет окончательно померк. Мы нашли нашего дорогого <i>[персонажа]</i> только по отчаянному кашлю. {quot} Вентиляция забилась{quot}  — прохрипел он, перед тем, как потерял сознание.;Герой <b>пропускает следующую ситуацию,</b> приходя в себя.;
1;Электростанция 7;top_secret.gif;Запуск электростанции рутинное и неприятное дело. Мы наблюдали, как техник уже 5 минут неторопливо копается со стартером. У <i>[персонажа]</i> закончилось терпение. Раздраженно буркнув {quot}ну-ка дай{quot}  он оттолкнул плечом рабочего и сам погрузился в недра стартера. Пара секунд, и с громким рычанием машина начала набирать обороты. {quot}Вот как надо!{quot}  — торжествующе произнес наш Герой. И тут пещеру озарили всоплохи пламени. Дизель, должно быть, подтекал и заляпал наружные поверхности деталей, а заодно и одежду техника и  <i>[персонажа]</i> . Нужно решительно погасить пламя, пока оно не перекинулось на баки электростанции! Но невредно будет включить голову, ведь пожар в пещере вдвойне опасен...;3;Погасить огонь;{plus}  за {gem_green} {gem_blue}  <br/>{zero}  за {gem_red} ;2;;{plus}  за <br/>{minus}  за <br/>{zero}  за ;Мы решительно бросились к пострадавшим, сбили их с ног и заставили кататься, сбивая пламя. Когда это не помогло, кто-то включил голову и накинул поверх свою куртку — это позволило моментально погасить огонь. К счастью, электростанция продолжила работу.;Рассказчик получает право: <b>в ОДНОЙ</b> из следующих ситуаций, когда его <b>решат назначить Героем</b> — он имеет право сказать, что после этого случая он особенно осмотрителен, и <b>новому Рассказчику придется назначить другого</b> Героя.;Паника охватила загоревшегося техника и передалась нашему коллеге. Они, отталкивая нас и друг друга, спотыкаясь, метались по пещере,  распространяя огонь. Наконец, нам удалось набросить на обоих по куску брезента, закрывавшего станцию на время консервации. Увы, к этому моменту оба они изрядно травмировались, а огонь перекинулся на баки электростанции. Мы выскочили из пещеры и опустили защитную дверь. Погасший через минуту свет дал нам знать, что с электростанцией все кончено.;Отведи Героя в сторону. Предложи ему на <b>выбор: он либо Ранен</b> (и может попытаться отменить Ранение Проверкой), <b>либо Избит.</b>;
1;Электростанция 8;top_secret.gif;Мы подошли к крупной пещере, где была развернута свежепривезенная новенькая дизельная электростанция последней модели. {quot}Ну, тут проблем не будет{quot}  — радостно сказал <i>[персонаж]</i>. Но мы чувствовали, что рано радуемся. И лица озадаченных техников окончательно убедили нас в этом. {quot}Господа ученые{quot} , — произнес старший из них, —{quot}мы все подключили, но кажется, что-то напутали с проводами. в общем, это... Она не работает{quot} . <br>— Кто вас вообще пустил к технике — вспылил <i>[персонаж]</i>, разочарованный своей преждевременной радостью, и, отстранив рабочих, сам отпрвился перетыкать коммутацию. Что нам стоит делать? Дать ему пару дельных советов? Или отойти в сторону и не мешать, предоставим ему самостоятельно, в одиночку разобраться с этой проблемой?;3;Дать совет;{plus} за {gem_blue}<br/>{zero} за {gem_red} {gem_green} ;2;Ждать;Проверка проходится только героем (1 Камень)<br/>{plus}{plus} за {gem_blue}<br/>{zero}  за {gem_red} {gem_green} ;Прошло совсем немного времени, и тихий гул новенькой элетростанции лишь ненадолго опередил элетрический свет разносящийся по коридорам. Ура умелому мастеру и умным нам!;Рассказчик получает <b>право: может добавить в ОДНУ любую из Ситуаций 1 Камень ПОСЛЕ оглашения результата. Этот Камень пойдет в плюс или в ноль,</b> но НЕ в минус.;Что ж такое, бесконечные провода. Что бы мы ни делали, а света все не было. Наш товарищ, отчаявшись, резко переткнул какой-то крупный кабель и голубая вспышка возвестила, что дело приняло дурной оборот. Станцию придется отправить на гарантийный ремонт, а вот <i>[персонажа]</i> основательно шарахнуло током. Вот интересно, как это возможно, если станция даже не была включена?;Герой <b>пропускает следующую ситуацию,</b> приходя в себя.;
1;Электростанция 9;top_secret.gif;Старенькая электростанция претендавала на звание {quot}рухлядь года{quot} . Должно быть в ней не осталось ни одного живого места. Как будто кто-то сознательно её испортил. Техники перешептывались о гремлинах и цвергах, а мы кляли их на все лады за глупость и суеверность. Но один из нас, романтический  <i>[персонаж]</i>, кажется решил подыграть рабочим и предложил изловить {quot}гремлина{quot} . Вооруженный фонарем и сетью он отправился в один из боковых проходов. Что нам предпринять в этой ситуации? Плюнуть на суеверных рабочих, засучить рукава и самим починить генератор? Или подыграть коллеге и {quot}поймать{quot}  гремлина, чтобы убедить техников, наконец, выполнить свою работу?;5;Починить самим;{plus} за {gem_blue} {gem_green}<br/>{zero} за {gem_red} ;3;Поймать гремлина;Автопровал;Мы собрались с духом и, засучив рукава, сделали всё, что нужно. Затарахтев, станция завелась, выдав необходимую рабочую мощность. Может и старенькая, но нам хватит. Пора заняться делом….;Рассказчик получает <b>право: ОДИН раз, когда его назначат Героем — сразу назначить Героем самого Рассказчика!</b>;Темнота вокруг порядком остечертела и даже фонари стали гаснуть. Мы совсем потеряли нашего <i>[персонажа]</i>, и зачем только он отправился на поиски этой тварии.  Гремлин, какая же глупость, но по вине вот такой вот глупости мы сидим тут в темноте. Но тссс... кажется раздаются какие-то скребущие звуки? Лучше бросить эту электростанцию, ко всем чертям — не хватало ещё довести дело до паники среди персонала... ;Отведи Героя в сторону. Скажи ему, что ОН ВИДЕЛ ГРЕМЛИНА СВОИМИ ГЛАЗАМИ  и <b>увидел Символ с ОДНИМ Красным светодиодом</b> и обязан сразу пройти Проверку «Защита от Символа».;
1;Химический комплекс 1;top_secret.gif;В склянках и ретортах что-то булькало, по змеевику переливалась светящаяся жидкость, а пожилой химик торопливо пересказывал нам суть его действий, и как это соотносится с тем заданием, которое мы ему поручили. В его поведении неуловимо сквозила какая-то странность. {quot}Давйте, может я сам все сделаю{quot} ,  — сказал хорошо понимающий в химии  <i>[персонаж]</i>. {quot}Чаю?{quot}  —  резко прервав свой монолог предложил наш визави? И подмигнул. Кажется, он тут гонит алкоголь. Может это объясняет его странность? Согласимся выпить с ним,  быть может, так мы лучше поймем друг друга? Или лучше предложить химику продолжить беседу за хорошей сигарой, как подобает людям науки? (можно потратить сигару, угостив Химика);3;Выпьем;{plus}  за {gem_red}  {zero}  за {gem_green} {minus}  за {gem_blue} ;4;Предложить покурить;{plus}{plus}  за «сигару»<br/>{plus}  за {gem_blue} <br/>{zero}  за {gem_red}  <br/>{minus}  за {gem_green} {2mm}В любом случае провала — наклей 2 марки в шпионские секции готовых Проектов.;Атмосфера сразу стала уютнее, и ситуация прояснилась. То ли химик расслабился, то ли мы сосредоточились, да только его странность перестала быть для нас загадкой. {quot}Откуда, говорите, Вы родом, милейший?{quot}  — вкрадчиво спросил  <i>[персонаж]</i>. Так и есть, конечно акцент, почти неуловимый. Химик-негодяй был шпионом. Ну что ж, пришлось доделывать работу без него. Впрочем, мы неплохо справились и сами...;Игроки получают успех в химическом комплексе.;Мы мило провели время с химиком, кажется, все впорядке. Милейший человек, ну а что касается самогоноварения, так время такое. Дефицит. Да и дело свое он знает отлично. Как бы то ни было, наша работа тут закончена.;Игроки получают успех в химическом комплексе.;
