print;display_type;price;name;trinket_flavor;trinket_tech;2print
0;souvenir;0;Раритет, лот;На вид — обычная, не имеющая никакой цены безделушка, этот предмет на самом деле принадлежал индейцам, населявших эти земли во времена первых переселенцев. Некоторые знатоки истории и ценители старины собирают такие вещи для своих коллекций — и с удовольствием окажут ответную услугу тем, кто поможет их колекцию пополнить...;Этот сертификат позволяет некоторым персонажам, имеющим особые телеграммы, заказывать особые товары на Почте — по одной штуке за Раритет.;18
0;souvenir;0;Раритет, лот;Загадочный артефакт в форме двойной спирали, символизирующей… впрочем, вряд ли когда-то удастся разгадать его тайный смысл. Однако среди коллекционеров и ценителей найдутся те, кто с радостью примут такой артефакт в качестве пополнения своей коллекции!;Этот сертификат позволяет некоторым персонажам, имеющим особые телеграммы, заказывать особые товары на Почте — по одной штуке за Раритет.;6
0;souvenir;0;Раритет, лот;Очень странный предмет... Он слишком искусно изготовлен, чтобы принадлежать примитивным племенам местных охотников и собирателей, коренных жителей Америки. Для его изготовления понадобились бы существенно более высокие технологии и инструменты, чем были доступны индейцам или колонистам... Несомненно, эта находка заинтересует многих людей, увлеченных загадками старины!;Этот сертификат позволяет некоторым персонажам, имеющим особые телеграммы, заказывать особые товары на Почте — по одной штуке за Раритет.;6
0;valuable;100;Украшение, лот;Это  — какое-то старинное украшение, которое использовали во времена первых переселенцев в Америку. Не особо дорогое на вид, оно все же может быть продано знающим людям за небольшую сумму наличных. И вроде бы такие штуки охотно скупает почтмейстер...;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;12
0;valuable;200;Украшение, лот;Это  — какое-то старинное украшение, которое использовали во времена первых переселенцев в Америку. Не особо дорогое на вид, оно все же может быть продано знающим людям за небольшую сумму наличных. И вроде бы такие штуки охотно скупает почтмейстер...;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;3
0;valuable;200;Ценность, лот;На вид — довольно ценная вещь, сделанная из серебра с добавлением золота. Знающие люди с готовностью покупают такие предметы старины — для перепродажи или в качестве ценных подарков родным. Наверное, почтмейстер знает, сколько это может стоить. Впрочем, почтмейстер — мужик хитрый, настоящей цены сразу никогда не даст. Надо будет поторговаться!;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;5
0;valuable;300;Ценность, лот;На вид — довольно ценная вещь, сделанная из серебра с добавлением золота. Знающие люди с готовностью покупают такие предметы старины — для перепродажи или в качестве ценных подарков родным. Наверное, почтмейстер знает, сколько это может стоить. Впрочем, почтмейстер — мужик хитрый, настоящей цены сразу никогда не даст. Надо будет поторговаться!;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;3
0;valuable;400;Ценность, лот;На вид — довольно ценная вещь, сделанная из серебра с добавлением золота. Знающие люди с готовностью покупают такие предметы старины — для перепродажи или в качестве ценных подарков родным. Наверное, почтмейстер знает, сколько это может стоить. Впрочем, почтмейстер — мужик хитрый, настоящей цены сразу никогда не даст. Надо будет поторговаться!;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;2
0;valuable;400;Сокровище, лот;Самое настоящее древнее сокровище, оставшееся со времен прибытия первых поселенцев, или чуть более позднего периода. Вещь искуссно выполнена настоящим мастером из золота и серебра и наверняка стоит немалых денег! Будь уверен, здешний почмейстер оторвет ее с руками! Впрочем, почтмейстер — мужик хитрый и настоящей цены сразу никогда не даст. Надо будет поторговаться!;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;1
0;valuable;500;Сокровище, лот;Самое настоящее древнее сокровище, оставшееся со времен прибытия первых поселенцев, или чуть более позднего периода. Вещь искуссно выполнена настоящим мастером из золота и серебра и наверняка стоит немалых денег! Будь уверен, здешний почмейстер оторвет ее с руками! Впрочем, почтмейстер — мужик хитрый и настоящей цены сразу никогда не даст. Надо будет поторговаться!;Отнеси это почтмейстеру — возможно, он купит у тебя эту вещь за несколько сотен долларов!;3
