print;back_class;ult_class;ult_text;<div class=tech>(назови цель – ОДНОГО персонажа)</div>
1;;rainbow;Именем Принцессы Радуги, я обрушиваю на тебя, нечестивый, всю тяжесть небесного свода! Ты прижат к земле и раздавлен, беспомощный в своем одиночестве!{3mm}УМРИ!!;
1;;rainbow;Именем Великой Защитницы этой земли, я обращаю гнев нашей матери против тебя, нечестивец. Земля расступается у тебя под ногами и поглощает тебя навеки!{3mm}Иcчезни !!;
1;;rainbow;Именем Лунной Волчицы, с заоблачных высот я обрушиваю на тебя, нечестивец, ледяное дыхание ночи! Ты повержен и разбит на тысячи осколков!{3mm}УМРИ !!;
1;;wiseman;Именем Великого Судии, Хранителя Истины, я выношу тебе, ничтожный глупец, смертный приговор! Удар молнии с небес испепеляет тебя на месте!{3mm}УМРИ !!;
1;;wiseman;Именем Лучезарного, что знает все пути и гибельные тропы, я опускаю на тебя, глупец, туман забвения. Тебя более нет в этом мире!{3mm}Изчезни !!;
1;;wiseman;Именем Мудреца, что властен и над временем, говорю тебе, ничтожный глупец: твое время истекло, и твое тело рассыпается в прах и тлен!{3mm}УМРИ !!;
1;;hunter;Именем Великого Охотника, посылаю в тебя, жалкий слабак, стрелу заката, разящую без промаха. Ты повержен и истекаешь кровью!{3mm}УМРИ !!;
1;;hunter;Именем Могучего Воина, я обрушиваю на тебя, жалкий слабак, сокрушающий огненный молот войны! Твои кости раздроблены, а плоть сожжена!{3mm}УМРИ !!;
1;;hunter;Именем Бога Войны и Победы, я заставляю тебя, жалкий слабак, остолбенеть от ужаса. Твое сердце остановлено. Ты падаешь замертво.{3mm}УМРИ !!;
1;;gloaki;Именем Повелителя Вечного Подобия, омнипотентного Глоаки, я лишаю тебя, смертный, Дара голоса! Отныне и до рассвета ты НЕ сможешь произнести ни слова!{3mm}Умолкни же!;
1;;gloaki;Именем Повелителя Вечного Подобия, омнипотентного Глоаки, я лишаю тебя, смертный, Дара разума! Отныне и бессрочно твоим Императивным Поведением будет Безумие!{3mm}Скитайся же в безумии!;
1;;gloaki;Именем Повелителя Вечного Подобия, омнипотентного Глоаки, я лишаю тебя, смертный, Дара обрести спасение! Еще до рассвета проклятие повиснет на тебе, словно ДВА Черных, как ночь, Камня.{3mm}Так возьми же их!;
1;;gloaki;Именем Повелителя Вечного Подобия, омнипотентного Глоаки, я лишаю тебя, смертный, Дара Здоровья! Твоя Болезнь немедленно переходит в свою последнюю стадию, и ее Приступ немедленно накрывает тебя со всей силой!{3mm}Страдай!;
1;;gloaki;Именем Повелителя Вечного Подобия, омнипотентного Глоаки, я лишаю тебя, смертный, Дара познать блаженство! Дюжину раз возляжешь ты — и плотские утехи НЕ дадут тебе новых сил!{3mm}Так отдавай же, НЕ получая!;
1;;gloaki;Именем Повелителя Вечного Подобия, омнипотентного Глоаки, я лишаю тебя, смертный, Дара жизни. Твои силы покинули тебя, и твое сердце остановлено.{3mm}УМРИ!!;
1;;rainbow;Именем Лесной Девы, Протектора и защитницы этой земли, я направляю на тебя, нечестивый, тысячи тысяч ползучих корней. Они терзают и разрывают тебя на части!{3mm}УМРИ!!;
1;;rainbow;Именем Алой Девы, Протектора и защитницы этой земли, я заставляю тебя, нечестивец, орать от немыслимой боли! Когда же крик твой оборвется — кровь твоя вскипит и ты умрешь!{3mm}ОЩУТИ ЖЕ МОЙ ГНЕВ!!;
1;;rainbow;Именем Лунной Богини, Протектора и защитницы этой земли, я дарую тебе, человек, всю силу жизни. Отныне и вовек, в любую проверку твою и испытание твое ты сможешь вложить столько сил, сколько пожелаешь, и обреченность твоя не помешает более успехам твоим!{3mm}ДА БУДЕТ ПО МОЕМУ СЛОВУ!!;
1;;rainbow;Именем Принцесы Радуги, Протектора и защитницы этой земли, я говорю тебе, несчастный. Отныне никакое лекарство, никакой напиток хмельной, никакая сигара — не принесут тебе внутренних сил и иной пользы, если только не будут получены из рук моих!{3mm}ДА БУДЕТ ТАК!!;
1;;rainbow;Именем Пылающей Любовницы, Протектора и защитницы этой земли, я открываю тебе, недостойный, всю силу Ее любви. Отныне ты всегда будешь вожделеть меня, и по слову моему будешь терять внутренние силы свои, как если бы не удовлетворил иную свою зависимость!{3mm}УЗРИ ЖЕ!!;
1;;rainbow;Именем Великой Матери, Протектора и защитницы этой земли, я исцеляю все раны твои и травмы, снимаю с сердца твоего все лживые слова Пропаганды и Гипноза.{3mm}ДАРУЮ ТЕБЕ ИСЦЕЛЕНИЕ!!;
1;;rainbow;Именем Женщины, Дарующей Жизнь, Протектора и защитницы этой земли, я возвращаю тебя, безвременно умерший, чье тело сейчас предо мной, обратно к жизни!{3mm}ЖИВИ ЖЕ СНОВА!!;
1;;wiseman;Именем Великого Судии, Протектора и покровителя этой земли, я выношу тебе, жалкий глупец, смертный приговор! Удар молнии с небес испепеляет тебя на месте!{3mm}УМРИ!!;
1;;wiseman;Именем Повелителя Пространства и Времени, Протектора и покровителя этой земли, я говорю тебе, жалкий глупец. Отныне ты везде и нигде. Твое тело распылено на крошечные частицы, и даже забытых воспоминаний не останется после твоей смерти!{3mm}ИЗЧЕЗНИ!!;
1;;wiseman;Именем Владетеля Лучезарной Дельты, Протектора и покровителя этой земли, я направляю на тебя, жалкий глупец, ее пронзающий взгляд. Теперь ты дашь правдивые ответы на три моих вопроса — или умрешь!{3mm}РЕШАЙ ЖЕ!!;
1;;wiseman;Именем Лучезарного Мудреца, Протектора и покровителя этой земли, я закрываю тебе, ослепленный гордыней глупец, дорогу в мир Коллективного Бессознательного и Неведомого и саму возможность создавать Идеи. Отныне ты бесполезен — так будет до тех пор, пока ты не получишь моего прощения.{3mm}ДА БУДЕТ ТАК!!;
1;;wiseman;Именем Чистого Разума, Протектора и покровителя этой земли, я дарую тебе выбор: присягни мне и служи мне. Сделай это — и разум твой будет защищен от Гипноза, Пропаганды и всех их эффектов, нынешних и прошлых! Откажись — и более не сможешь иметь ни единой крупицы разума в своем мешке.{3mm}РЕШАЙ ЖЕ!!;
1;;wiseman;Именем Повелителя Столпов Разума, Протектора и покровителя этой земли, я лишаю тебя, заблудший глупец, всей твоей памяти —лишь три забытых воспоминания разрешено сохранить тебе. Теперь же я назову тебе одну страну — и ты будешь  служить ее интересам.{3mm}ВНЕМЛИ ЖЕ!!;
